# material=Ac density=10.07
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 4.483401e-02
1.016170e+01 4.706039e-02
1.032610e+01 4.939756e-02
1.049310e+01 5.185037e-02
1.066280e+01 5.442493e-02
1.083530e+01 5.712780e-02
1.101060e+01 6.004339e-02
1.118860e+01 6.331196e-02
1.136960e+01 6.675912e-02
1.155350e+01 7.020965e-02
1.174040e+01 7.321167e-02
1.193030e+01 7.634215e-02
1.212320e+01 7.960587e-02
1.231930e+01 8.301425e-02
1.251860e+01 8.666580e-02
1.272100e+01 9.047710e-02
1.292680e+01 9.445695e-02
1.313590e+01 9.861156e-02
1.334830e+01 1.039341e-01
1.356420e+01 1.097458e-01
1.378360e+01 1.158825e-01
1.400660e+01 1.210516e-01
1.423310e+01 1.243048e-01
1.446330e+01 1.276461e-01
1.469730e+01 1.317671e-01
1.493500e+01 1.356995e-01
1.517650e+01 1.370770e-01
1.542200e+01 1.365115e-01
1.567140e+01 1.313275e-01
1.592490e+01 1.158463e-01
1.618250e+01 9.614867e-02
1.644420e+01 8.138913e-02
1.671020e+01 6.688159e-02
1.698050e+01 5.603487e-02
1.725510e+01 4.695642e-02
1.753420e+01 3.810848e-02
1.781780e+01 3.332670e-02
1.810600e+01 2.994495e-02
1.839890e+01 2.641590e-02
1.869640e+01 2.330247e-02
1.899880e+01 2.137047e-02
1.930610e+01 1.960777e-02
1.961840e+01 1.799053e-02
1.993570e+01 1.649807e-02
2.025820e+01 1.512752e-02
2.058580e+01 1.398309e-02
2.091880e+01 1.344730e-02
2.125710e+01 1.293198e-02
2.160090e+01 1.245396e-02
2.195030e+01 1.202948e-02
2.230530e+01 1.161942e-02
2.266610e+01 1.122337e-02
2.303270e+01 1.111787e-02
2.340530e+01 1.104192e-02
2.378380e+01 1.096639e-02
2.416850e+01 1.089140e-02
2.455940e+01 1.081696e-02
2.495660e+01 1.081259e-02
2.536030e+01 1.081019e-02
2.577050e+01 1.089729e-02
2.618730e+01 1.107214e-02
2.661090e+01 1.124991e-02
2.704130e+01 1.143042e-02
2.747860e+01 1.167144e-02
2.792310e+01 1.192520e-02
2.837470e+01 1.218432e-02
2.883370e+01 1.244917e-02
2.930000e+01 1.297811e-02
2.977390e+01 1.365558e-02
3.025550e+01 1.436777e-02
3.074490e+01 1.507140e-02
3.124210e+01 1.580948e-02
3.174750e+01 1.658375e-02
3.226090e+01 1.763694e-02
3.278270e+01 1.883873e-02
3.331300e+01 2.012243e-02
3.385180e+01 2.149357e-02
3.439930e+01 2.280092e-02
3.495570e+01 2.412568e-02
3.552110e+01 2.552741e-02
3.609560e+01 2.713928e-02
3.667940e+01 2.919643e-02
3.727270e+01 3.140953e-02
3.787550e+01 3.405679e-02
3.848820e+01 3.693598e-02
3.911070e+01 4.001978e-02
3.974320e+01 4.297261e-02
4.038610e+01 4.614352e-02
4.103930e+01 4.954820e-02
4.170310e+01 5.314978e-02
4.237760e+01 5.697971e-02
4.306300e+01 6.108563e-02
4.375950e+01 6.548427e-02
4.446730e+01 7.018429e-02
4.518650e+01 7.522116e-02
4.591740e+01 8.062021e-02
4.666000e+01 8.640626e-02
4.741470e+01 9.338369e-02
4.818160e+01 1.009474e-01
4.896090e+01 1.091241e-01
4.975280e+01 1.179629e-01
5.055760e+01 1.260645e-01
5.137530e+01 1.334860e-01
5.220620e+01 1.413439e-01
5.305060e+01 1.496655e-01
5.390870e+01 1.582589e-01
5.478060e+01 1.659129e-01
5.566670e+01 1.739374e-01
5.656700e+01 1.823494e-01
5.748200e+01 1.907939e-01
5.841170e+01 1.994622e-01
5.935640e+01 2.085248e-01
6.031650e+01 2.178701e-01
6.129210e+01 2.275593e-01
6.228340e+01 2.376789e-01
6.329080e+01 2.452621e-01
6.431450e+01 2.529714e-01
6.535470e+01 2.574618e-01
6.641180e+01 2.603587e-01
6.748590e+01 2.601132e-01
6.857750e+01 2.581939e-01
6.968670e+01 2.572994e-01
7.081380e+01 2.561762e-01
7.195910e+01 2.549529e-01
7.312300e+01 2.537350e-01
7.430570e+01 2.469380e-01
7.550760e+01 2.393731e-01
7.672890e+01 2.295938e-01
7.796990e+01 2.195084e-01
7.923100e+01 2.061371e-01
8.051250e+01 1.864788e-01
8.181470e+01 1.516577e-01
8.313800e+01 9.829328e-02
8.448270e+01 6.087061e-02
8.584910e+01 2.472814e-02
8.723770e+01 1.620539e-02
8.864870e+01 1.497436e-02
9.008250e+01 1.439099e-02
9.153950e+01 1.385890e-02
9.302010e+01 1.363408e-02
9.452460e+01 1.341292e-02
9.605350e+01 1.319537e-02
9.760710e+01 1.310795e-02
9.918580e+01 1.315581e-02
1.007900e+02 1.320385e-02
1.024200e+02 1.329910e-02
1.040770e+02 1.353372e-02
1.057600e+02 1.377232e-02
1.074710e+02 1.406241e-02
1.092090e+02 1.443402e-02
1.109750e+02 1.481544e-02
1.127700e+02 1.520701e-02
