# material=Ag density=10.49
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.061004e-02
1.016170e+01 2.019801e-02
1.032610e+01 1.979429e-02
1.049310e+01 1.939860e-02
1.066280e+01 1.885189e-02
1.083530e+01 1.819259e-02
1.101060e+01 1.755628e-02
1.118860e+01 1.694212e-02
1.136960e+01 1.634957e-02
1.155350e+01 1.579408e-02
1.174040e+01 1.526066e-02
1.193030e+01 1.474520e-02
1.212320e+01 1.424710e-02
1.231930e+01 1.376588e-02
1.251860e+01 1.330093e-02
1.272100e+01 1.285467e-02
1.292680e+01 1.247589e-02
1.313590e+01 1.210823e-02
1.334830e+01 1.175139e-02
1.356420e+01 1.140505e-02
1.378360e+01 1.106899e-02
1.400660e+01 1.074284e-02
1.423310e+01 1.042622e-02
1.446330e+01 1.016542e-02
1.469730e+01 9.958588e-03
1.493500e+01 9.755864e-03
1.517650e+01 9.557274e-03
1.542200e+01 9.362763e-03
1.567140e+01 9.172180e-03
1.592490e+01 9.056015e-03
1.618250e+01 8.958017e-03
1.644420e+01 8.861064e-03
1.671020e+01 8.765173e-03
1.698050e+01 8.670332e-03
1.725510e+01 8.603326e-03
1.753420e+01 8.587745e-03
1.781780e+01 8.572205e-03
1.810600e+01 8.556698e-03
1.839890e+01 8.498259e-03
1.869640e+01 8.367910e-03
1.899880e+01 8.239595e-03
1.930610e+01 8.113252e-03
1.961840e+01 7.988871e-03
1.993570e+01 7.866368e-03
2.025820e+01 7.703323e-03
2.058580e+01 7.538657e-03
2.091880e+01 7.377537e-03
2.125710e+01 7.219824e-03
2.160090e+01 7.065503e-03
2.195030e+01 6.968164e-03
2.230530e+01 6.887844e-03
2.266610e+01 6.808463e-03
2.303270e+01 6.729998e-03
2.340530e+01 6.652440e-03
2.378380e+01 6.591886e-03
2.416850e+01 6.656374e-03
2.455940e+01 6.721482e-03
2.495660e+01 6.787217e-03
2.536030e+01 6.853622e-03
2.577050e+01 6.920615e-03
2.618730e+01 6.942005e-03
2.661090e+01 6.963490e-03
2.704130e+01 6.985011e-03
2.747860e+01 7.006596e-03
2.792310e+01 7.028280e-03
2.837470e+01 7.043334e-03
2.883370e+01 7.024591e-03
2.930000e+01 7.005835e-03
2.977390e+01 6.987129e-03
3.025550e+01 6.968513e-03
3.074490e+01 6.949960e-03
3.124210e+01 6.942703e-03
3.174750e+01 6.941205e-03
3.226090e+01 6.939642e-03
3.278270e+01 6.938044e-03
3.331300e+01 6.936493e-03
3.385180e+01 6.934931e-03
3.439930e+01 6.933399e-03
3.495570e+01 6.955984e-03
3.552110e+01 6.982802e-03
3.609560e+01 7.009743e-03
3.667940e+01 7.036773e-03
3.727270e+01 7.063915e-03
3.787550e+01 7.091154e-03
3.848820e+01 7.118493e-03
3.911070e+01 7.145954e-03
3.974320e+01 7.173502e-03
4.038610e+01 7.201193e-03
4.103930e+01 7.228942e-03
4.170310e+01 7.262060e-03
4.237760e+01 7.295964e-03
4.306300e+01 7.330046e-03
