# material=Al density=2.7
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 7.611728e-03
1.016170e+01 7.890810e-03
1.032610e+01 8.180190e-03
1.049310e+01 8.480121e-03
1.066280e+01 8.791052e-03
1.083530e+01 9.113426e-03
1.101060e+01 9.447615e-03
1.118860e+01 9.761387e-03
1.136960e+01 1.003178e-02
1.155350e+01 1.030968e-02
1.174040e+01 1.059526e-02
1.193030e+01 1.088871e-02
1.212320e+01 1.119026e-02
1.231930e+01 1.150023e-02
1.251860e+01 1.181883e-02
1.272100e+01 1.224707e-02
1.292680e+01 1.271822e-02
1.313590e+01 1.320744e-02
1.334830e+01 1.372871e-02
1.356420e+01 1.441867e-02
1.378360e+01 1.519951e-02
1.400660e+01 1.614150e-02
1.423310e+01 1.717890e-02
1.446330e+01 1.894443e-02
1.469730e+01 2.567390e-02
1.493500e+01 3.932034e-02
1.517650e+01 5.916374e-02
1.542200e+01 8.329653e-02
1.567140e+01 1.000335e-01
1.592490e+01 1.160049e-01
1.618250e+01 1.345261e-01
1.644420e+01 1.579717e-01
1.671020e+01 1.858519e-01
1.698050e+01 2.051933e-01
1.725510e+01 2.262741e-01
1.753420e+01 2.472900e-01
1.781780e+01 2.631300e-01
1.810600e+01 2.799829e-01
1.839890e+01 2.979169e-01
1.869640e+01 3.169994e-01
1.899880e+01 3.388155e-01
1.930610e+01 3.622184e-01
1.961840e+01 3.872385e-01
1.993570e+01 4.139818e-01
2.025820e+01 4.383412e-01
2.058580e+01 4.403820e-01
2.091880e+01 4.424361e-01
2.125710e+01 4.444963e-01
2.160090e+01 4.465696e-01
2.195030e+01 4.486530e-01
2.230530e+01 4.507416e-01
2.266610e+01 4.528458e-01
2.303270e+01 4.549532e-01
2.340530e+01 4.528070e-01
2.378380e+01 4.471469e-01
2.416850e+01 4.415539e-01
2.455940e+01 4.360323e-01
2.495660e+01 4.305813e-01
2.536030e+01 4.251991e-01
2.577050e+01 4.206285e-01
2.618730e+01 4.195054e-01
2.661090e+01 4.183860e-01
2.704130e+01 4.172713e-01
2.747860e+01 4.161557e-01
2.792310e+01 4.150475e-01
2.837470e+01 4.139382e-01
2.883370e+01 4.128334e-01
2.930000e+01 4.117325e-01
2.977390e+01 4.106334e-01
3.025550e+01 4.095385e-01
3.074490e+01 4.084453e-01
3.124210e+01 4.073551e-01
3.174750e+01 4.062693e-01
3.226090e+01 4.051842e-01
3.278270e+01 4.046814e-01
3.331300e+01 4.066136e-01
3.385180e+01 4.085577e-01
3.439930e+01 4.105089e-01
3.495570e+01 4.124707e-01
3.552110e+01 4.144410e-01
3.609560e+01 4.164220e-01
3.667940e+01 4.184109e-01
3.727270e+01 4.204089e-01
3.787550e+01 4.224170e-01
3.848820e+01 4.244365e-01
3.911070e+01 4.264652e-01
3.974320e+01 4.285022e-01
