# material=As density=5.727
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 6.720459e-03
1.016170e+01 6.753997e-03
1.032610e+01 6.787761e-03
1.049310e+01 6.821653e-03
1.066280e+01 6.855721e-03
1.083530e+01 6.889983e-03
1.101060e+01 6.924434e-03
1.118860e+01 6.958966e-03
1.136960e+01 6.993747e-03
1.155350e+01 7.028683e-03
1.174040e+01 7.063802e-03
1.193030e+01 7.099087e-03
1.212320e+01 7.134518e-03
1.231930e+01 7.199971e-03
1.251860e+01 7.321833e-03
1.272100e+01 7.445689e-03
1.292680e+01 7.571719e-03
1.313590e+01 7.699855e-03
1.334830e+01 7.830130e-03
1.356420e+01 7.962621e-03
1.378360e+01 8.097379e-03
1.400660e+01 8.235356e-03
1.423310e+01 8.379162e-03
1.446330e+01 8.525500e-03
1.469730e+01 8.674436e-03
1.493500e+01 8.825938e-03
1.517650e+01 8.980057e-03
1.542200e+01 9.136903e-03
1.567140e+01 9.296461e-03
1.592490e+01 9.458843e-03
1.618250e+01 9.624076e-03
1.644420e+01 9.916970e-03
1.671020e+01 1.025566e-02
1.698050e+01 1.060591e-02
1.725510e+01 1.096805e-02
1.753420e+01 1.134263e-02
1.781780e+01 1.172997e-02
1.810600e+01 1.213057e-02
1.839890e+01 1.260696e-02
1.869640e+01 1.328015e-02
1.899880e+01 1.398938e-02
1.930610e+01 1.473648e-02
1.961840e+01 1.552352e-02
1.993570e+01 1.635254e-02
2.025820e+01 1.722587e-02
2.058580e+01 1.816436e-02
2.091880e+01 1.916173e-02
2.125710e+01 2.021377e-02
2.160090e+01 2.132358e-02
2.195030e+01 2.249440e-02
2.230530e+01 2.407703e-02
2.266610e+01 2.596387e-02
2.303270e+01 2.799852e-02
2.340530e+01 3.019268e-02
2.378380e+01 3.255868e-02
2.416850e+01 3.511015e-02
2.455940e+01 3.792270e-02
2.495660e+01 4.101873e-02
2.536030e+01 4.436729e-02
2.577050e+01 4.798937e-02
2.618730e+01 5.190706e-02
2.661090e+01 5.614451e-02
2.704130e+01 6.104104e-02
2.747860e+01 6.663473e-02
2.792310e+01 7.274086e-02
2.837470e+01 7.940670e-02
2.883370e+01 8.668311e-02
2.930000e+01 9.406975e-02
2.977390e+01 1.010328e-01
3.025550e+01 1.085112e-01
3.074490e+01 1.165432e-01
3.124210e+01 1.251693e-01
3.174750e+01 1.344345e-01
3.226090e+01 1.465116e-01
3.278270e+01 1.603367e-01
3.331300e+01 1.754314e-01
3.385180e+01 1.853128e-01
3.439930e+01 1.957511e-01
3.495570e+01 2.059830e-01
3.552110e+01 2.131936e-01
3.609560e+01 2.206563e-01
3.667940e+01 2.240445e-01
3.727270e+01 2.241154e-01
3.787550e+01 2.184362e-01
3.848820e+01 2.099987e-01
3.911070e+01 1.888747e-01
3.974320e+01 1.612575e-01
4.038610e+01 1.376786e-01
4.103930e+01 1.183702e-01
4.170310e+01 1.027957e-01
