# material=Au density=19.3
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.396670e-02
1.016170e+01 1.358393e-02
1.032610e+01 1.321180e-02
1.049310e+01 1.284979e-02
1.066280e+01 1.249761e-02
1.083530e+01 1.216424e-02
1.101060e+01 1.184072e-02
1.118860e+01 1.152563e-02
1.136960e+01 1.122276e-02
1.155350e+01 1.093523e-02
1.174040e+01 1.065513e-02
1.193030e+01 1.038842e-02
1.212320e+01 1.018007e-02
1.231930e+01 9.975946e-03
1.251860e+01 9.789609e-03
1.272100e+01 9.648597e-03
1.292680e+01 9.509750e-03
1.313590e+01 9.372868e-03
1.334830e+01 9.237877e-03
1.356420e+01 9.104900e-03
1.378360e+01 8.958454e-03
1.400660e+01 8.813215e-03
1.423310e+01 8.670255e-03
1.446330e+01 8.529633e-03
1.469730e+01 8.391348e-03
1.493500e+01 8.255987e-03
1.517650e+01 8.158019e-03
1.542200e+01 8.061283e-03
1.567140e+01 7.965627e-03
1.592490e+01 7.870763e-03
1.618250e+01 7.775865e-03
1.644420e+01 7.682091e-03
1.671020e+01 7.589466e-03
1.698050e+01 7.497956e-03
1.725510e+01 7.359438e-03
1.753420e+01 7.174697e-03
1.781780e+01 6.994592e-03
1.810600e+01 6.819007e-03
1.839890e+01 6.658623e-03
1.869640e+01 6.506967e-03
1.899880e+01 6.358807e-03
1.930610e+01 6.214012e-03
1.961840e+01 6.072530e-03
1.993570e+01 5.952092e-03
2.025820e+01 5.835346e-03
2.058580e+01 5.720855e-03
2.091880e+01 5.608645e-03
2.125710e+01 5.498608e-03
2.160090e+01 5.425168e-03
2.195030e+01 5.402405e-03
2.230530e+01 5.379731e-03
2.266610e+01 5.423709e-03
2.303270e+01 5.581592e-03
2.340530e+01 5.744077e-03
2.378380e+01 5.966599e-03
2.416850e+01 6.203655e-03
2.455940e+01 6.474664e-03
2.495660e+01 6.791435e-03
2.536030e+01 6.988111e-03
2.577050e+01 7.075458e-03
2.618730e+01 7.163892e-03
2.661090e+01 7.253453e-03
2.704130e+01 7.159467e-03
2.747860e+01 7.046248e-03
2.792310e+01 6.934854e-03
2.837470e+01 6.703327e-03
2.883370e+01 6.468547e-03
2.930000e+01 6.242019e-03
