# material=B density=2.46
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 7.012305e-03
1.016170e+01 7.166547e-03
1.032610e+01 7.324235e-03
1.049310e+01 7.485339e-03
1.066280e+01 7.649976e-03
1.083530e+01 7.818260e-03
1.101060e+01 7.990293e-03
1.118860e+01 8.165995e-03
1.136960e+01 8.345631e-03
1.155350e+01 8.529236e-03
1.174040e+01 8.716877e-03
1.193030e+01 8.908602e-03
1.212320e+01 9.104527e-03
1.231930e+01 9.304792e-03
1.251860e+01 9.509518e-03
1.272100e+01 9.718617e-03
1.292680e+01 9.932446e-03
1.313590e+01 1.015099e-02
1.334830e+01 1.037423e-02
1.356420e+01 1.060239e-02
1.378360e+01 1.083568e-02
1.400660e+01 1.107409e-02
1.423310e+01 1.131760e-02
1.446330e+01 1.156652e-02
1.469730e+01 1.182109e-02
1.493500e+01 1.208103e-02
1.517650e+01 1.235330e-02
1.542200e+01 1.266976e-02
1.567140e+01 1.299414e-02
1.592490e+01 1.332697e-02
1.618250e+01 1.366828e-02
1.644420e+01 1.401834e-02
1.671020e+01 1.437736e-02
1.698050e+01 1.474562e-02
1.725510e+01 1.512328e-02
1.753420e+01 1.551056e-02
1.781780e+01 1.590776e-02
1.810600e+01 1.631528e-02
1.839890e+01 1.673312e-02
1.869640e+01 1.716150e-02
1.899880e+01 1.760104e-02
1.930610e+01 1.805195e-02
1.961840e+01 1.851420e-02
1.993570e+01 1.898832e-02
2.025820e+01 1.947470e-02
2.058580e+01 1.997349e-02
2.091880e+01 2.048499e-02
2.125710e+01 2.100973e-02
2.160090e+01 2.154774e-02
2.195030e+01 2.209956e-02
2.230530e+01 2.266542e-02
2.266610e+01 2.324602e-02
2.303270e+01 2.384137e-02
2.340530e+01 2.445203e-02
2.378380e+01 2.507448e-02
2.416850e+01 2.570957e-02
2.455940e+01 2.636068e-02
2.495660e+01 2.702832e-02
2.536030e+01 2.771289e-02
2.577050e+01 2.841478e-02
2.618730e+01 2.913442e-02
2.661090e+01 2.987236e-02
2.704130e+01 3.062890e-02
2.747860e+01 3.140457e-02
2.792310e+01 3.220000e-02
2.837470e+01 3.301551e-02
2.883370e+01 3.385172e-02
2.930000e+01 3.470902e-02
2.977390e+01 3.558810e-02
3.025550e+01 3.645833e-02
3.074490e+01 3.732138e-02
3.124210e+01 3.820492e-02
3.174750e+01 3.910972e-02
3.226090e+01 4.003578e-02
3.278270e+01 4.098396e-02
3.331300e+01 4.195464e-02
3.385180e+01 4.294815e-02
3.439930e+01 4.396526e-02
3.495570e+01 4.500647e-02
3.552110e+01 4.612516e-02
3.609560e+01 4.727623e-02
3.667940e+01 4.845610e-02
3.727270e+01 4.966546e-02
3.787550e+01 5.090495e-02
3.848820e+01 5.217575e-02
3.911070e+01 5.347813e-02
3.974320e+01 5.481246e-02
4.038610e+01 5.621402e-02
4.103930e+01 5.767444e-02
4.170310e+01 5.917297e-02
4.237760e+01 6.071038e-02
4.306300e+01 6.228765e-02
4.375950e+01 6.390571e-02
4.446730e+01 6.556604e-02
4.518650e+01 6.728317e-02
4.591740e+01 6.908581e-02
4.666000e+01 7.093655e-02
4.741470e+01 7.283672e-02
4.818160e+01 7.478770e-02
4.896090e+01 7.679135e-02
4.975280e+01 7.884891e-02
5.055760e+01 8.104989e-02
5.137530e+01 8.335287e-02
5.220620e+01 8.572129e-02
5.305060e+01 8.815714e-02
5.390870e+01 9.066346e-02
5.478060e+01 9.324002e-02
5.566670e+01 9.588998e-02
5.656700e+01 9.861421e-02
5.748200e+01 1.014159e-01
5.841170e+01 1.042976e-01
5.935640e+01 1.072979e-01
6.031650e+01 1.104461e-01
6.129210e+01 1.137175e-01
6.228340e+01 1.171617e-01
6.329080e+01 1.207098e-01
6.431450e+01 1.243644e-01
6.535470e+01 1.281300e-01
6.641180e+01 1.320103e-01
6.748590e+01 1.360079e-01
6.857750e+01 1.401264e-01
6.968670e+01 1.444434e-01
7.081380e+01 1.489408e-01
7.195910e+01 1.536878e-01
7.312300e+01 1.586082e-01
7.430570e+01 1.636859e-01
7.550760e+01 1.689239e-01
7.672890e+01 1.743319e-01
7.796990e+01 1.799145e-01
7.923100e+01 1.857561e-01
8.051250e+01 1.917890e-01
8.181470e+01 1.981271e-01
8.313800e+01 2.047438e-01
8.448270e+01 2.115879e-01
8.584910e+01 2.186597e-01
8.723770e+01 2.259659e-01
8.864870e+01 2.335474e-01
9.008250e+01 2.414229e-01
9.153950e+01 2.496221e-01
9.302010e+01 2.582044e-01
9.452460e+01 2.670806e-01
9.605350e+01 2.762610e-01
9.760710e+01 2.857540e-01
9.918580e+01 2.955683e-01
1.007900e+02 3.061633e-01
1.024200e+02 3.175892e-01
1.040770e+02 3.293705e-01
1.057600e+02 3.416063e-01
1.074710e+02 3.540623e-01
1.092090e+02 3.663159e-01
1.109750e+02 3.784705e-01
1.127700e+02 3.908422e-01
1.145940e+02 4.039689e-01
1.164480e+02 4.185232e-01
1.183310e+02 4.338871e-01
1.202450e+02 4.498155e-01
1.221900e+02 4.663302e-01
1.241660e+02 4.834522e-01
1.261750e+02 5.012041e-01
1.282150e+02 5.196023e-01
1.302890e+02 5.386848e-01
1.323970e+02 5.585021e-01
1.345380e+02 5.794182e-01
1.367140e+02 6.012715e-01
