# material=Ba density=3.51
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 9.063556e-01
1.016170e+01 8.780186e-01
1.032610e+01 8.505742e-01
1.049310e+01 8.239830e-01
1.066280e+01 7.982271e-01
1.083530e+01 7.732732e-01
1.101060e+01 7.491047e-01
1.118860e+01 7.256845e-01
1.136960e+01 7.030022e-01
1.155350e+01 6.810258e-01
1.174040e+01 6.597400e-01
1.193030e+01 6.391150e-01
1.212320e+01 6.148010e-01
1.231930e+01 5.895353e-01
1.251860e+01 5.653120e-01
1.272100e+01 5.420785e-01
1.292680e+01 5.198035e-01
1.313590e+01 4.932336e-01
1.334830e+01 4.679428e-01
1.356420e+01 4.439515e-01
1.378360e+01 4.211896e-01
1.400660e+01 3.590728e-01
1.423310e+01 3.150764e-01
1.446330e+01 2.836446e-01
1.469730e+01 2.560231e-01
1.493500e+01 2.316047e-01
1.517650e+01 2.115744e-01
1.542200e+01 1.961629e-01
1.567140e+01 2.102104e-01
1.592490e+01 2.261622e-01
1.618250e+01 2.397615e-01
1.644420e+01 2.056637e-01
1.671020e+01 1.028528e-01
1.698050e+01 6.815876e-02
1.725510e+01 2.753134e-02
1.753420e+01 1.774413e-02
1.781780e+01 1.497161e-02
1.810600e+01 1.383185e-02
1.839890e+01 1.277884e-02
1.869640e+01 1.068317e-02
1.899880e+01 8.479764e-03
1.930610e+01 7.028437e-03
1.961840e+01 6.968272e-03
1.993570e+01 6.908604e-03
2.025820e+01 6.983119e-03
2.058580e+01 7.169219e-03
2.091880e+01 7.444211e-03
2.125710e+01 7.951509e-03
2.160090e+01 8.493410e-03
2.195030e+01 9.072241e-03
2.230530e+01 9.690537e-03
2.266610e+01 1.035098e-02
2.303270e+01 1.105641e-02
2.340530e+01 1.180995e-02
2.378380e+01 1.261476e-02
2.416850e+01 1.348588e-02
2.455940e+01 1.441877e-02
2.495660e+01 1.541613e-02
2.536030e+01 1.648254e-02
2.577050e+01 1.762268e-02
2.618730e+01 1.884158e-02
2.661090e+01 2.014500e-02
2.704130e+01 2.153847e-02
2.747860e+01 2.302823e-02
2.792310e+01 2.462133e-02
2.837470e+01 2.637685e-02
2.883370e+01 2.828026e-02
2.930000e+01 3.032103e-02
2.977390e+01 3.250918e-02
3.025550e+01 3.485530e-02
3.074490e+01 3.737062e-02
3.124210e+01 4.006746e-02
3.174750e+01 4.295901e-02
3.226090e+01 4.605907e-02
3.278270e+01 4.938298e-02
3.331300e+01 5.294678e-02
3.385180e+01 5.676765e-02
3.439930e+01 6.086426e-02
3.495570e+01 6.588297e-02
3.552110e+01 7.177182e-02
3.609560e+01 7.818708e-02
3.667940e+01 8.517562e-02
3.727270e+01 9.278906e-02
3.787550e+01 1.010826e-01
3.848820e+01 1.101180e-01
3.911070e+01 1.199604e-01
3.974320e+01 1.306826e-01
4.038610e+01 1.416537e-01
4.103930e+01 1.522179e-01
4.170310e+01 1.635693e-01
4.237760e+01 1.757674e-01
4.306300e+01 1.888753e-01
4.375950e+01 2.029608e-01
4.446730e+01 2.180972e-01
4.518650e+01 2.343610e-01
4.591740e+01 2.518393e-01
4.666000e+01 2.706196e-01
4.741470e+01 2.908004e-01
4.818160e+01 3.124871e-01
4.896090e+01 3.357930e-01
4.975280e+01 3.599372e-01
5.055760e+01 3.812075e-01
5.137530e+01 4.037374e-01
5.220620e+01 4.264476e-01
5.305060e+01 4.404104e-01
5.390870e+01 4.546298e-01
5.478060e+01 4.661647e-01
5.566670e+01 4.779924e-01
5.656700e+01 4.901228e-01
5.748200e+01 5.025609e-01
5.841170e+01 5.149357e-01
5.935640e+01 5.240987e-01
6.031650e+01 5.334272e-01
6.129210e+01 5.385920e-01
6.228340e+01 5.356390e-01
6.329080e+01 5.327037e-01
6.431450e+01 5.297809e-01
6.535470e+01 5.268756e-01
6.641180e+01 5.214095e-01
6.748590e+01 5.132475e-01
6.857750e+01 5.052134e-01
6.968670e+01 4.973040e-01
7.081380e+01 4.863144e-01
7.195910e+01 4.742009e-01
7.312300e+01 4.623906e-01
7.430570e+01 4.499563e-01
7.550760e+01 4.376548e-01
7.672890e+01 4.256902e-01
7.796990e+01 4.100962e-01
7.923100e+01 3.935025e-01
8.051250e+01 3.780586e-01
8.181470e+01 3.642712e-01
8.313800e+01 3.509853e-01
8.448270e+01 3.381846e-01
8.584910e+01 3.319755e-01
8.723770e+01 3.274338e-01
8.864870e+01 3.145643e-01
9.008250e+01 3.125381e-01
9.153950e+01 1.718042e-01
9.302010e+01 9.443998e-02
9.452460e+01 2.538180e-01
9.605350e+01 2.090346e-01
9.760710e+01 1.560075e-01
9.918580e+01 9.742732e-02
1.007900e+02 5.404969e-02
1.024200e+02 2.714161e-02
1.040770e+02 2.014678e-02
1.057600e+02 1.717269e-02
1.074710e+02 1.718860e-02
1.092090e+02 1.788956e-02
1.109750e+02 1.879370e-02
1.127700e+02 1.939912e-02
1.145940e+02 1.873560e-02
1.164480e+02 1.827883e-02
1.183310e+02 2.002537e-02
1.202450e+02 2.275782e-02
1.221900e+02 2.629429e-02
1.241660e+02 3.017962e-02
1.261750e+02 3.454585e-02
1.282150e+02 3.954332e-02
1.302890e+02 4.624193e-02
1.323970e+02 5.419606e-02
1.345380e+02 6.382940e-02
1.367140e+02 7.479267e-02
1.389250e+02 8.602503e-02
1.411720e+02 9.953949e-02
1.434560e+02 1.174465e-01
1.457760e+02 1.385722e-01
1.481340e+02 1.639823e-01
1.505300e+02 1.943464e-01
1.529640e+02 2.303321e-01
1.554390e+02 2.731272e-01
1.579530e+02 3.246773e-01
1.605070e+02 3.845567e-01
1.631030e+02 4.560036e-01
1.657420e+02 5.127400e-01
1.684220e+02 5.765312e-01
1.711460e+02 6.398475e-01
1.739150e+02 7.095850e-01
1.767270e+02 7.753077e-01
1.795860e+02 8.283753e-01
1.824910e+02 8.695531e-01
1.854420e+02 8.925524e-01
1.884420e+02 8.956507e-01
1.914890e+02 8.670165e-01
1.945870e+02 8.393004e-01
1.977340e+02 8.138683e-01
2.009320e+02 7.901222e-01
2.041820e+02 7.670728e-01
2.074850e+02 7.446941e-01
2.108400e+02 7.227796e-01
2.142510e+02 6.962167e-01
2.177160e+02 6.706261e-01
2.212370e+02 6.459759e-01
2.248160e+02 6.222335e-01
2.284520e+02 6.003415e-01
2.321470e+02 5.794126e-01
2.359020e+02 5.592144e-01
2.397170e+02 5.397181e-01
2.435950e+02 5.209051e-01
2.475350e+02 5.031054e-01
2.515380e+02 4.883572e-01
2.556070e+02 4.740442e-01
2.597410e+02 4.601488e-01
2.639420e+02 4.466616e-01
2.682110e+02 4.335692e-01
2.725490e+02 4.252011e-01
2.769570e+02 4.190521e-01
2.814370e+02 4.129930e-01
2.859890e+02 4.085045e-01
2.906150e+02 4.052115e-01
2.953150e+02 4.019438e-01
3.000920e+02 3.987043e-01
3.049450e+02 3.954886e-01
3.098780e+02 3.923012e-01
3.148900e+02 3.891384e-01
3.199830e+02 3.890125e-01
3.251580e+02 3.898178e-01
3.304180e+02 3.906256e-01
3.357620e+02 3.914336e-01
3.411920e+02 3.922432e-01
3.467110e+02 3.930553e-01
3.523190e+02 3.977016e-01
3.580170e+02 4.031034e-01
3.638080e+02 4.085792e-01
3.696920e+02 4.141293e-01
3.756720e+02 4.197549e-01
3.817480e+02 4.256676e-01
3.879220e+02 4.321824e-01
3.941970e+02 4.387979e-01
4.005730e+02 4.455139e-01
4.070520e+02 4.523324e-01
4.136350e+02 4.592552e-01
4.203260e+02 4.662849e-01
4.271240e+02 4.734207e-01
4.340320e+02 4.806666e-01
4.410520e+02 4.887564e-01
4.481860e+02 4.975432e-01
4.554350e+02 5.064874e-01
4.628020e+02 5.155941e-01
4.702870e+02 5.248625e-01
4.778940e+02 5.342982e-01
4.856230e+02 5.439035e-01
4.934780e+02 5.536817e-01
5.014590e+02 5.636349e-01
5.095700e+02 5.737684e-01
5.178120e+02 5.840829e-01
5.261870e+02 5.954572e-01
5.346980e+02 6.121172e-01
5.433460e+02 6.292429e-01
5.521340e+02 6.468480e-01
5.610650e+02 6.649465e-01
5.701390e+02 6.835493e-01
5.793610e+02 7.026745e-01
5.887320e+02 7.223348e-01
5.982540e+02 7.423276e-01
6.079300e+02 7.609265e-01
6.177630e+02 7.799912e-01
6.277550e+02 7.995332e-01
6.379080e+02 8.195655e-01
6.482260e+02 8.401005e-01
6.587110e+02 8.618061e-01
6.693650e+02 8.870653e-01
6.801910e+02 9.130654e-01
6.911930e+02 9.398292e-01
7.023720e+02 9.678834e-01
7.137330e+02 9.990722e-01
7.252770e+02 1.031265e+00
7.370080e+02 1.064495e+00
7.489280e+02 1.098795e+00
7.610420e+02 1.134201e+00
7.733510e+02 1.170748e+00
7.801000e+02 1.191028e+00
7.803000e+02 2.260664e-01
7.858590e+02 2.283136e-01
7.985700e+02 2.334759e-01
8.114860e+02 2.387544e-01
8.246110e+02 2.441520e-01
8.379490e+02 2.496714e-01
8.515020e+02 2.553157e-01
8.652740e+02 2.610878e-01
8.792690e+02 2.669908e-01
8.934910e+02 2.730267e-01
9.079430e+02 2.791991e-01
9.226280e+02 2.857982e-01
9.375510e+02 2.925839e-01
9.527150e+02 2.995300e-01
9.681240e+02 3.066423e-01
9.837830e+02 3.139227e-01
9.996950e+02 3.213760e-01
1.015860e+03 3.290048e-01
1.032290e+03 3.368156e-01
1.048990e+03 3.448140e-01
1.065960e+03 3.530019e-01
1.083200e+03 3.613832e-01
1.100720e+03 3.700754e-01
1.118520e+03 3.791006e-01
1.136610e+03 3.883449e-01
1.155000e+03 3.978181e-01
1.173680e+03 4.075190e-01
1.192660e+03 4.174562e-01
1.211950e+03 4.276372e-01
1.231550e+03 4.380660e-01
1.251470e+03 4.487483e-01
1.271720e+03 4.596971e-01
1.292290e+03 4.709078e-01
1.313190e+03 4.823920e-01
1.334430e+03 4.941557e-01
1.356010e+03 5.080844e-01
1.377940e+03 5.251348e-01
1.400230e+03 5.427599e-01
1.422880e+03 5.609763e-01
1.445890e+03 5.798013e-01
1.469280e+03 5.992606e-01
1.493040e+03 6.193711e-01
1.517190e+03 6.401575e-01
1.541730e+03 6.616425e-01
1.566670e+03 6.838512e-01
1.592010e+03 7.081134e-01
1.617760e+03 7.339092e-01
1.643920e+03 7.606448e-01
1.670510e+03 7.883549e-01
1.697530e+03 8.170734e-01
1.724990e+03 8.468405e-01
1.752890e+03 8.776936e-01
1.781240e+03 9.096620e-01
1.810050e+03 9.428056e-01
1.839320e+03 9.771455e-01
1.869070e+03 1.012812e+00
1.899300e+03 1.050293e+00
1.930020e+03 1.089170e+00
1.961240e+03 1.129480e+00
1.992960e+03 1.171291e+00
2.025200e+03 1.214005e+00
2.057950e+03 1.259625e+00
2.091240e+03 1.307071e+00
2.125060e+03 1.356459e+00
2.159430e+03 1.407819e+00
2.194360e+03 1.461289e+00
2.229850e+03 1.516976e+00
2.265920e+03 1.574910e+00
2.302570e+03 1.635234e+00
2.339810e+03 1.698023e+00
2.377660e+03 1.763369e+00
2.416110e+03 1.831461e+00
2.455190e+03 1.902340e+00
2.494900e+03 1.976073e+00
2.535260e+03 2.052987e+00
2.576260e+03 2.133040e+00
2.617930e+03 2.216452e+00
2.660270e+03 2.303243e+00
2.703300e+03 2.393842e+00
2.747030e+03 2.488137e+00
2.791460e+03 2.586407e+00
2.836610e+03 2.688723e+00
2.882490e+03 2.795724e+00
2.929110e+03 2.906973e+00
2.976480e+03 3.023056e+00
3.024630e+03 3.144099e+00
3.073550e+03 3.270367e+00
3.123260e+03 3.402067e+00
3.173780e+03 3.539475e+00
3.225110e+03 3.682807e+00
3.277270e+03 3.832427e+00
3.330280e+03 3.988615e+00
3.384150e+03 4.151644e+00
