# material=Bi density=9.78
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 9.076261e-03
1.016170e+01 9.155732e-03
1.032610e+01 9.235979e-03
1.049310e+01 9.316883e-03
1.066280e+01 9.423516e-03
1.083530e+01 9.558234e-03
1.101060e+01 9.694902e-03
1.118860e+01 9.833405e-03
1.136960e+01 9.973993e-03
1.155350e+01 1.014420e-02
1.174040e+01 1.032532e-02
1.193030e+01 1.050968e-02
1.212320e+01 1.069724e-02
1.231930e+01 1.088825e-02
1.251860e+01 1.108268e-02
1.272100e+01 1.128508e-02
1.292680e+01 1.157387e-02
1.313590e+01 1.187002e-02
1.334830e+01 1.217365e-02
1.356420e+01 1.248513e-02
1.378360e+01 1.280456e-02
1.400660e+01 1.314544e-02
1.423310e+01 1.366642e-02
1.446330e+01 1.420813e-02
1.469730e+01 1.477136e-02
1.493500e+01 1.535682e-02
1.517650e+01 1.596548e-02
1.542200e+01 1.670809e-02
1.567140e+01 1.753490e-02
1.592490e+01 1.840266e-02
1.618250e+01 1.931342e-02
1.644420e+01 2.051033e-02
1.671020e+01 2.191230e-02
1.698050e+01 2.341011e-02
1.725510e+01 2.500667e-02
1.753420e+01 2.670875e-02
1.781780e+01 2.852685e-02
1.810600e+01 3.046852e-02
1.839890e+01 3.263035e-02
1.869640e+01 3.495785e-02
1.899880e+01 3.745154e-02
1.930610e+01 4.021051e-02
1.961840e+01 4.351995e-02
1.993570e+01 4.710167e-02
2.025820e+01 5.091513e-02
2.058580e+01 5.500402e-02
2.091880e+01 5.876253e-02
2.125710e+01 6.133957e-02
2.160090e+01 6.402939e-02
2.195030e+01 6.683636e-02
2.230530e+01 6.814285e-02
2.266610e+01 6.947499e-02
2.303270e+01 7.009013e-02
2.340530e+01 6.952734e-02
2.378380e+01 6.577928e-02
2.416850e+01 3.863215e-02
2.455940e+01 2.370737e-02
2.495660e+01 2.242972e-02
2.536030e+01 2.142681e-02
2.577050e+01 2.108007e-02
2.618730e+01 2.073886e-02
2.661090e+01 2.048604e-02
2.704130e+01 2.058930e-02
2.747860e+01 2.069299e-02
2.792310e+01 2.112651e-02
2.837470e+01 2.222869e-02
2.883370e+01 2.353457e-02
2.930000e+01 2.498957e-02
2.977390e+01 2.693537e-02
3.025550e+01 3.005627e-02
3.074490e+01 3.126192e-02
3.124210e+01 3.222833e-02
3.174750e+01 3.323882e-02
3.226090e+01 3.442139e-02
3.278270e+01 3.506921e-02
3.331300e+01 3.488584e-02
3.385180e+01 3.463419e-02
3.439930e+01 3.393762e-02
3.495570e+01 3.325514e-02
3.552110e+01 3.214920e-02
3.609560e+01 3.085910e-02
3.667940e+01 2.962089e-02
3.727270e+01 2.816509e-02
3.787550e+01 2.658186e-02
