# material=C density=2.267
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.560365e-02
1.016170e+01 1.502479e-02
1.032610e+01 1.446752e-02
1.049310e+01 1.393083e-02
1.066280e+01 1.341411e-02
1.083530e+01 1.289965e-02
1.101060e+01 1.235901e-02
1.118860e+01 1.184086e-02
1.136960e+01 1.134459e-02
1.155350e+01 1.086904e-02
1.174040e+01 1.041352e-02
1.193030e+01 9.976994e-03
1.212320e+01 9.601457e-03
1.231930e+01 9.242301e-03
1.251860e+01 8.896628e-03
1.272100e+01 8.563750e-03
1.292680e+01 8.243451e-03
1.313590e+01 7.935092e-03
1.334830e+01 7.638212e-03
1.356420e+01 7.449910e-03
1.378360e+01 7.282828e-03
1.400660e+01 7.119533e-03
1.423310e+01 6.959833e-03
1.446330e+01 6.803714e-03
1.469730e+01 6.677546e-03
1.493500e+01 6.606942e-03
1.517650e+01 6.537076e-03
1.542200e+01 6.467988e-03
1.567140e+01 6.399613e-03
1.592490e+01 6.331974e-03
1.618250e+01 6.284243e-03
1.644420e+01 6.297204e-03
1.671020e+01 6.310204e-03
1.698050e+01 6.323234e-03
1.725510e+01 6.336284e-03
1.753420e+01 6.349365e-03
1.781780e+01 6.372335e-03
1.810600e+01 6.434537e-03
1.839890e+01 6.497346e-03
1.869640e+01 6.560724e-03
1.899880e+01 6.624760e-03
1.930610e+01 6.689413e-03
1.961840e+01 6.754719e-03
1.993570e+01 6.820638e-03
2.025820e+01 6.887219e-03
2.058580e+01 7.014618e-03
2.091880e+01 7.172443e-03
2.125710e+01 7.333773e-03
2.160090e+01 7.498763e-03
2.195030e+01 7.667477e-03
2.230530e+01 7.839966e-03
2.266610e+01 8.016352e-03
2.303270e+01 8.207566e-03
2.340530e+01 8.470471e-03
2.378380e+01 8.741759e-03
2.416850e+01 9.021743e-03
2.455940e+01 9.310708e-03
2.495660e+01 9.608939e-03
2.536030e+01 9.916703e-03
2.577050e+01 1.023435e-02
2.618730e+01 1.056429e-02
2.661090e+01 1.093653e-02
2.704130e+01 1.132193e-02
2.747860e+01 1.172084e-02
2.792310e+01 1.213386e-02
2.837470e+01 1.256140e-02
2.883370e+01 1.300405e-02
2.930000e+01 1.346222e-02
2.977390e+01 1.393660e-02
3.025550e+01 1.444997e-02
3.074490e+01 1.498254e-02
3.124210e+01 1.553474e-02
3.174750e+01 1.610736e-02
3.226090e+01 1.670097e-02
3.278270e+01 1.731650e-02
3.331300e+01 1.795480e-02
3.385180e+01 1.861649e-02
3.439930e+01 1.930264e-02
3.495570e+01 2.001403e-02
3.552110e+01 2.072406e-02
3.609560e+01 2.145412e-02
3.667940e+01 2.220992e-02
3.727270e+01 2.299236e-02
3.787550e+01 2.380235e-02
