# material=Ca density=1.55
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.435502e+00
1.016170e+01 1.379306e+00
1.032610e+01 1.325326e+00
1.049310e+01 1.273450e+00
1.066280e+01 1.223602e+00
1.083530e+01 1.175715e+00
1.101060e+01 1.129699e+00
1.118860e+01 1.085473e+00
1.136960e+01 1.053070e+00
1.155350e+01 1.025566e+00
1.174040e+01 9.987809e-01
1.193030e+01 9.726931e-01
1.212320e+01 9.472826e-01
1.231930e+01 9.311970e-01
1.251860e+01 9.180923e-01
1.272100e+01 9.051625e-01
1.292680e+01 8.924234e-01
1.313590e+01 8.819074e-01
1.334830e+01 8.744428e-01
1.356420e+01 8.670454e-01
1.378360e+01 8.597102e-01
1.400660e+01 8.524439e-01
1.423310e+01 8.445795e-01
1.446330e+01 8.330509e-01
1.469730e+01 8.216816e-01
1.493500e+01 8.104667e-01
1.517650e+01 7.993990e-01
1.542200e+01 7.885170e-01
1.567140e+01 7.804928e-01
1.592490e+01 7.725545e-01
1.618250e+01 7.646934e-01
1.644420e+01 7.569193e-01
1.671020e+01 7.492167e-01
1.698050e+01 7.413637e-01
1.725510e+01 7.335111e-01
1.753420e+01 7.257441e-01
1.781780e+01 7.180576e-01
1.810600e+01 7.122754e-01
1.839890e+01 7.078858e-01
1.869640e+01 7.035178e-01
1.899880e+01 6.991830e-01
1.930610e+01 6.938610e-01
1.961840e+01 6.840672e-01
1.993570e+01 6.744114e-01
2.025820e+01 6.648917e-01
2.058580e+01 6.555009e-01
2.091880e+01 6.470975e-01
2.125710e+01 6.389665e-01
2.160090e+01 6.309362e-01
2.195030e+01 6.230055e-01
2.230530e+01 6.151767e-01
2.266610e+01 6.061613e-01
2.303270e+01 5.971817e-01
2.340530e+01 5.883376e-01
2.378380e+01 5.796224e-01
2.416850e+01 5.710377e-01
2.455940e+01 5.586506e-01
2.495660e+01 5.443484e-01
2.536030e+01 5.304148e-01
2.577050e+01 5.168369e-01
2.618730e+01 5.036042e-01
2.661090e+01 4.926930e-01
2.704130e+01 4.822370e-01
2.747860e+01 4.563088e-01
2.792310e+01 4.144471e-01
2.837470e+01 3.615421e-01
2.883370e+01 3.074092e-01
2.930000e+01 2.263267e-01
2.977390e+01 1.588972e-01
3.025550e+01 1.961058e-02
3.074490e+01 1.380641e-02
3.124210e+01 1.207562e-02
3.174750e+01 1.118058e-02
3.226090e+01 1.053412e-02
3.278270e+01 9.990248e-03
3.331300e+01 9.868237e-03
3.385180e+01 9.747674e-03
3.439930e+01 9.628595e-03
3.495570e+01 9.608168e-03
3.552110e+01 9.677388e-03
3.609560e+01 9.747083e-03
3.667940e+01 9.926760e-03
3.727270e+01 1.022546e-02
3.787550e+01 1.061229e-02
3.848820e+01 1.108024e-02
3.911070e+01 1.159445e-02
3.974320e+01 1.294827e-02
4.038610e+01 1.446029e-02
4.103930e+01 1.614877e-02
4.170310e+01 1.803446e-02
4.237760e+01 2.014034e-02
4.306300e+01 2.249209e-02
4.375950e+01 2.536945e-02
4.446730e+01 2.869891e-02
4.518650e+01 3.246505e-02
4.591740e+01 3.672555e-02
4.666000e+01 4.154498e-02
4.741470e+01 4.699712e-02
4.818160e+01 5.316462e-02
4.896090e+01 6.014136e-02
4.975280e+01 6.803402e-02
5.055760e+01 7.853591e-02
5.137530e+01 9.312508e-02
5.220620e+01 1.104241e-01
5.305060e+01 1.309367e-01
5.390870e+01 1.552898e-01
5.478060e+01 1.851804e-01
5.566670e+01 2.208262e-01
5.656700e+01 2.633324e-01
5.748200e+01 3.140217e-01
5.841170e+01 3.663205e-01
5.935640e+01 4.219497e-01
6.031650e+01 4.860307e-01
6.129210e+01 5.471029e-01
6.228340e+01 5.875253e-01
6.329080e+01 6.213215e-01
6.431450e+01 6.353450e-01
6.535470e+01 6.353441e-01
6.641180e+01 6.314974e-01
6.748590e+01 6.012543e-01
6.857750e+01 5.724620e-01
6.968670e+01 5.370271e-01
7.081380e+01 5.030209e-01
7.195910e+01 4.728905e-01
7.312300e+01 4.529172e-01
7.430570e+01 4.337852e-01
7.550760e+01 4.154645e-01
7.672890e+01 4.002906e-01
7.796990e+01 3.884224e-01
7.923100e+01 3.769081e-01
8.051250e+01 3.657325e-01
8.181470e+01 3.548908e-01
8.313800e+01 3.443674e-01
8.448270e+01 3.358073e-01
8.584910e+01 3.291324e-01
8.723770e+01 3.225929e-01
8.864870e+01 3.161825e-01
9.008250e+01 3.098991e-01
9.153950e+01 3.037405e-01
9.302010e+01 2.977039e-01
9.452460e+01 2.925830e-01
9.605350e+01 2.914472e-01
9.760710e+01 2.903164e-01
9.918580e+01 2.891887e-01
1.007900e+02 2.880663e-01
1.024200e+02 2.869471e-01
1.040770e+02 2.858342e-01
1.057600e+02 2.856784e-01
1.074710e+02 2.862494e-01
1.092090e+02 2.868218e-01
1.109750e+02 2.873940e-01
1.127700e+02 2.879682e-01
1.145940e+02 2.885429e-01
1.164480e+02 2.893529e-01
1.183310e+02 2.928723e-01
1.202450e+02 2.964382e-01
1.221900e+02 3.000462e-01
1.241660e+02 3.036969e-01
1.261750e+02 3.069636e-01
1.282150e+02 3.093933e-01
1.302890e+02 3.118446e-01
1.323970e+02 3.143165e-01
1.345380e+02 3.168045e-01
1.367140e+02 3.193146e-01
1.389250e+02 3.218436e-01
1.411720e+02 3.243927e-01
1.434560e+02 3.269633e-01
1.457760e+02 3.306431e-01
1.481340e+02 3.362074e-01
1.505300e+02 3.418639e-01
1.529640e+02 3.476152e-01
1.554390e+02 3.534659e-01
1.579530e+02 3.594128e-01
1.605070e+02 3.654584e-01
1.631030e+02 3.716074e-01
1.657420e+02 3.778610e-01
1.684220e+02 3.851269e-01
1.711460e+02 3.964129e-01
1.739150e+02 4.080329e-01
1.767270e+02 4.199880e-01
1.795860e+02 4.322981e-01
1.824910e+02 4.449686e-01
1.854420e+02 4.578765e-01
1.884420e+02 4.709727e-01
1.914890e+02 4.844383e-01
1.945870e+02 4.982950e-01
1.977340e+02 5.125462e-01
2.009320e+02 5.272031e-01
2.041820e+02 5.422811e-01
2.074850e+02 5.577896e-01
2.108400e+02 5.719740e-01
2.142510e+02 5.857297e-01
2.177160e+02 5.998139e-01
2.212370e+02 6.142375e-01
2.248160e+02 6.290115e-01
2.284520e+02 6.441355e-01
2.321470e+02 6.596237e-01
2.359020e+02 6.784946e-01
2.397170e+02 6.980342e-01
2.435950e+02 7.181410e-01
2.475350e+02 7.388240e-01
2.515380e+02 7.600982e-01
2.556070e+02 7.856698e-01
2.597410e+02 8.132912e-01
2.639420e+02 8.418851e-01
2.682110e+02 8.714800e-01
2.725490e+02 9.021187e-01
2.769570e+02 9.282190e-01
2.814370e+02 9.547264e-01
2.859890e+02 9.819868e-01
2.906150e+02 1.010028e+00
2.953150e+02 1.038873e+00
3.000920e+02 1.068555e+00
3.049450e+02 1.099083e+00
3.098780e+02 1.130490e+00
3.148900e+02 1.162600e+00
3.199830e+02 1.193350e+00
3.251580e+02 1.224917e+00
3.304180e+02 1.257327e+00
3.357620e+02 1.290586e+00
3.411920e+02 1.324725e+00
3.461000e+02 1.355870e+00
3.463000e+02 1.439919e-01
3.467110e+02 1.443073e-01
3.523190e+02 1.486411e-01
3.580170e+02 1.531044e-01
3.638080e+02 1.577024e-01
3.696920e+02 1.624383e-01
3.756720e+02 1.673176e-01
3.817480e+02 1.723422e-01
3.879220e+02 1.774726e-01
3.941970e+02 1.826498e-01
4.005730e+02 1.864590e-01
4.070520e+02 1.897364e-01
4.136350e+02 1.930700e-01
4.203260e+02 1.964618e-01
4.271240e+02 1.999129e-01
4.340320e+02 2.034251e-01
4.410520e+02 2.070026e-01
4.481860e+02 2.109535e-01
4.554350e+02 2.165853e-01
4.628020e+02 2.235402e-01
4.702870e+02 2.313751e-01
4.778940e+02 2.394858e-01
4.856230e+02 2.478752e-01
4.934780e+02 2.565583e-01
5.014590e+02 2.655495e-01
5.095700e+02 2.748570e-01
5.178120e+02 2.844998e-01
5.261870e+02 2.945182e-01
5.346980e+02 3.049658e-01
5.433460e+02 3.158168e-01
5.521340e+02 3.270566e-01
5.610650e+02 3.390172e-01
5.701390e+02 3.515594e-01
5.793610e+02 3.644419e-01
5.887320e+02 3.777511e-01
5.982540e+02 3.915156e-01
6.079300e+02 4.057734e-01
6.177630e+02 4.205490e-01
6.277550e+02 4.358931e-01
6.379080e+02 4.522041e-01
6.482260e+02 4.697573e-01
6.587110e+02 4.884270e-01
6.693650e+02 5.078463e-01
6.801910e+02 5.267645e-01
6.911930e+02 5.453718e-01
7.023720e+02 5.644366e-01
7.137330e+02 5.856232e-01
7.252770e+02 6.086551e-01
7.370080e+02 6.325928e-01
7.489280e+02 6.574529e-01
7.610420e+02 6.832885e-01
7.733510e+02 7.102652e-01
7.858590e+02 7.387011e-01
7.985700e+02 7.686182e-01
8.114860e+02 7.997441e-01
