# material=Cd density=8.65
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 7.719894e-02
1.016170e+01 7.500128e-02
1.032610e+01 7.286669e-02
1.049310e+01 7.079250e-02
1.066280e+01 6.671087e-02
1.083530e+01 6.233053e-02
1.101060e+01 5.738246e-02
1.118860e+01 5.209442e-02
1.136960e+01 4.729434e-02
1.155350e+01 4.142814e-02
1.174040e+01 3.648557e-02
1.193030e+01 3.528834e-02
1.212320e+01 3.413030e-02
1.231930e+01 3.301043e-02
1.251860e+01 3.192722e-02
1.272100e+01 3.087943e-02
1.292680e+01 3.031230e-02
1.313590e+01 2.993481e-02
1.334830e+01 2.956177e-02
1.356420e+01 2.919350e-02
1.378360e+01 2.902153e-02
1.400660e+01 2.893320e-02
1.423310e+01 2.884484e-02
1.446330e+01 2.875693e-02
1.469730e+01 2.866937e-02
1.493500e+01 2.857940e-02
1.517650e+01 2.837293e-02
1.542200e+01 2.816806e-02
1.567140e+01 2.796435e-02
1.592490e+01 2.776253e-02
1.618250e+01 2.756188e-02
1.644420e+01 2.736278e-02
1.671020e+01 2.716518e-02
1.698050e+01 2.696888e-02
1.725510e+01 2.677396e-02
1.753420e+01 2.658067e-02
1.781780e+01 2.638857e-02
1.810600e+01 2.619790e-02
1.839890e+01 2.600876e-02
1.869640e+01 2.582075e-02
1.899880e+01 2.547299e-02
1.930610e+01 2.501982e-02
1.961840e+01 2.457469e-02
1.993570e+01 2.413742e-02
2.025820e+01 2.370800e-02
2.058580e+01 2.328617e-02
2.091880e+01 2.287184e-02
2.125710e+01 2.235689e-02
2.160090e+01 2.176787e-02
2.195030e+01 2.119435e-02
2.230530e+01 2.063598e-02
2.266610e+01 2.009236e-02
2.303270e+01 1.956302e-02
2.340530e+01 1.904764e-02
2.378380e+01 1.854577e-02
2.416850e+01 1.818847e-02
2.455940e+01 1.784754e-02
2.495660e+01 1.751296e-02
2.536030e+01 1.718472e-02
2.577050e+01 1.686261e-02
2.618730e+01 1.654653e-02
2.661090e+01 1.623640e-02
2.704130e+01 1.600907e-02
2.747860e+01 1.579483e-02
2.792310e+01 1.558349e-02
2.837470e+01 1.537497e-02
2.883370e+01 1.516925e-02
2.930000e+01 1.496626e-02
2.977390e+01 1.476598e-02
3.025550e+01 1.456841e-02
3.074490e+01 1.437348e-02
3.124210e+01 1.418110e-02
3.174750e+01 1.405438e-02
3.226090e+01 1.396609e-02
3.278270e+01 1.387837e-02
3.331300e+01 1.379125e-02
3.385180e+01 1.370464e-02
3.439930e+01 1.361857e-02
3.495570e+01 1.353306e-02
