# material=Ce density=6.689
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 3.877817e-02
1.016170e+01 4.002254e-02
1.032610e+01 4.130668e-02
1.049310e+01 4.263215e-02
1.066280e+01 4.400036e-02
1.083530e+01 4.541239e-02
1.101060e+01 4.686965e-02
1.118860e+01 4.837317e-02
1.136960e+01 4.992582e-02
1.155350e+01 5.152790e-02
1.174040e+01 5.318147e-02
1.193030e+01 5.488777e-02
1.212320e+01 5.664908e-02
1.231930e+01 5.846659e-02
1.251860e+01 6.034330e-02
1.272100e+01 6.227902e-02
1.292680e+01 6.391644e-02
1.313590e+01 6.536456e-02
1.334830e+01 6.684510e-02
1.356420e+01 6.835960e-02
1.378360e+01 6.990837e-02
1.400660e+01 7.293217e-02
1.423310e+01 7.648877e-02
1.446330e+01 8.021905e-02
1.469730e+01 8.413168e-02
1.493500e+01 8.775656e-02
1.517650e+01 9.145745e-02
1.542200e+01 9.531481e-02
1.567140e+01 9.933443e-02
1.592490e+01 1.032146e-01
1.618250e+01 1.071696e-01
1.644420e+01 1.101560e-01
1.671020e+01 1.126477e-01
1.698050e+01 1.151957e-01
1.725510e+01 1.175850e-01
1.753420e+01 1.191441e-01
1.781780e+01 1.207238e-01
1.810600e+01 1.220710e-01
1.839890e+01 1.216409e-01
1.869640e+01 1.212115e-01
1.899880e+01 1.207841e-01
1.930610e+01 1.197809e-01
1.961840e+01 1.175284e-01
1.993570e+01 1.153179e-01
2.025820e+01 1.125169e-01
2.058580e+01 1.081472e-01
2.091880e+01 1.016388e-01
2.125710e+01 9.090335e-02
2.160090e+01 7.724840e-02
2.195030e+01 6.269393e-02
2.230530e+01 4.851714e-02
2.266610e+01 2.618040e-02
2.303270e+01 1.258392e-02
2.340530e+01 8.017562e-03
2.378380e+01 7.378488e-03
2.416850e+01 7.288480e-03
2.455940e+01 7.199622e-03
2.495660e+01 7.216823e-03
2.536030e+01 7.270422e-03
2.577050e+01 7.399398e-03
2.618730e+01 7.575131e-03
2.661090e+01 7.755123e-03
2.704130e+01 8.020383e-03
2.747860e+01 8.361522e-03
2.792310e+01 8.715534e-03
2.837470e+01 9.025127e-03
2.883370e+01 9.345791e-03
2.930000e+01 9.814409e-03
2.977390e+01 1.032260e-02
3.025550e+01 1.089998e-02
3.074490e+01 1.151341e-02
3.124210e+01 1.211918e-02
3.174750e+01 1.268625e-02
3.226090e+01 1.327986e-02
3.278270e+01 1.396166e-02
3.331300e+01 1.486765e-02
3.385180e+01 1.583233e-02
3.439930e+01 1.685966e-02
3.495570e+01 1.795377e-02
3.552110e+01 1.903805e-02
3.609560e+01 2.015830e-02
3.667940e+01 2.134446e-02
3.727270e+01 2.260044e-02
3.787550e+01 2.392458e-02
3.848820e+01 2.532648e-02
3.911070e+01 2.681038e-02
3.974320e+01 2.838120e-02
4.038610e+01 3.020012e-02
4.103930e+01 3.220957e-02
4.170310e+01 3.435266e-02
4.237760e+01 3.674772e-02
4.306300e+01 3.940268e-02
4.375950e+01 4.224947e-02
4.446730e+01 4.493567e-02
4.518650e+01 4.718924e-02
4.591740e+01 4.955586e-02
4.666000e+01 5.204103e-02
4.741470e+01 5.455718e-02
4.818160e+01 5.714869e-02
4.896090e+01 5.986329e-02
4.975280e+01 6.279035e-02
5.055760e+01 6.630052e-02
5.137530e+01 7.000662e-02
5.220620e+01 7.391992e-02
5.305060e+01 7.774623e-02
5.390870e+01 8.080267e-02
5.478060e+01 8.397898e-02
5.566670e+01 8.728019e-02
5.656700e+01 9.071121e-02
5.748200e+01 9.397926e-02
5.841170e+01 9.714108e-02
5.935640e+01 1.004713e-01
6.031650e+01 1.039540e-01
6.129210e+01 1.075577e-01
6.228340e+01 1.112859e-01
6.329080e+01 1.151433e-01
6.431450e+01 1.191348e-01
6.535470e+01 1.232643e-01
6.641180e+01 1.271988e-01
6.748590e+01 1.303443e-01
6.857750e+01 1.335680e-01
6.968670e+01 1.368712e-01
7.081380e+01 1.402559e-01
