# material=Co density=8.9
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.107607e-02
1.016170e+01 1.095791e-02
1.032610e+01 1.084107e-02
1.049310e+01 1.072551e-02
1.066280e+01 1.061113e-02
1.083530e+01 1.049798e-02
1.101060e+01 1.038613e-02
1.118860e+01 1.027532e-02
1.136960e+01 1.016578e-02
1.155350e+01 1.005739e-02
1.174040e+01 9.950153e-03
1.193030e+01 9.844092e-03
1.212320e+01 9.799015e-03
1.231930e+01 9.761077e-03
1.251860e+01 9.723348e-03
1.272100e+01 9.685596e-03
1.292680e+01 9.648135e-03
1.313590e+01 9.610784e-03
1.334830e+01 9.573536e-03
1.356420e+01 9.536482e-03
1.378360e+01 9.499570e-03
1.400660e+01 9.462821e-03
1.423310e+01 9.426161e-03
1.446330e+01 9.390262e-03
1.469730e+01 9.355819e-03
1.493500e+01 9.321455e-03
1.517650e+01 9.287157e-03
1.542200e+01 9.253081e-03
1.567140e+01 9.219088e-03
1.592490e+01 9.185226e-03
1.618250e+01 9.151528e-03
1.644420e+01 9.117890e-03
1.671020e+01 9.084396e-03
1.698050e+01 9.051073e-03
1.725510e+01 9.044684e-03
1.753420e+01 9.062621e-03
1.781780e+01 9.080562e-03
1.810600e+01 9.098549e-03
1.839890e+01 9.116590e-03
1.869640e+01 9.134622e-03
1.899880e+01 9.152697e-03
1.930610e+01 9.170830e-03
1.961840e+01 9.189027e-03
1.993570e+01 9.207682e-03
2.025820e+01 9.235572e-03
2.058580e+01 9.263508e-03
2.091880e+01 9.291556e-03
2.125710e+01 9.319679e-03
2.160090e+01 9.347870e-03
2.195030e+01 9.376180e-03
2.230530e+01 9.404541e-03
2.266610e+01 9.433020e-03
2.303270e+01 9.461573e-03
2.340530e+01 9.490240e-03
2.378380e+01 9.518938e-03
2.416850e+01 9.547747e-03
2.455940e+01 9.596313e-03
2.495660e+01 9.662406e-03
2.536030e+01 9.728988e-03
2.577050e+01 9.796008e-03
2.618730e+01 9.863473e-03
2.661090e+01 9.931430e-03
2.704130e+01 9.999825e-03
2.747860e+01 1.006869e-02
2.792310e+01 1.013806e-02
2.837470e+01 1.023225e-02
2.883370e+01 1.040992e-02
2.930000e+01 1.059064e-02
2.977390e+01 1.077450e-02
3.025550e+01 1.096156e-02
3.074490e+01 1.115189e-02
3.124210e+01 1.134547e-02
3.174750e+01 1.154248e-02
3.226090e+01 1.174287e-02
3.278270e+01 1.194673e-02
3.331300e+01 1.218525e-02
3.385180e+01 1.245441e-02
3.439930e+01 1.272954e-02
3.495570e+01 1.301073e-02
3.552110e+01 1.329815e-02
3.609560e+01 1.359190e-02
3.667940e+01 1.389218e-02
3.727270e+01 1.419905e-02
3.787550e+01 1.448046e-02
3.848820e+01 1.476533e-02
3.911070e+01 1.505574e-02
3.974320e+01 1.535184e-02
4.038610e+01 1.565386e-02
4.103930e+01 1.596173e-02
4.170310e+01 1.627571e-02
4.237760e+01 1.659434e-02
4.306300e+01 1.691852e-02
4.375950e+01 1.724909e-02
4.446730e+01 1.758611e-02
4.518650e+01 1.792971e-02
4.591740e+01 1.828002e-02
4.666000e+01 1.863695e-02
4.741470e+01 1.899833e-02
4.818160e+01 1.936666e-02
4.896090e+01 1.974218e-02
4.975280e+01 2.012498e-02
5.055760e+01 2.051523e-02
5.137530e+01 2.083972e-02
5.220620e+01 2.114314e-02
5.305060e+01 2.141226e-02
5.390870e+01 2.125737e-02
5.478060e+01 2.110349e-02
5.566670e+01 2.077389e-02
5.656700e+01 2.021445e-02
5.748200e+01 1.792390e-02
5.841170e+01 1.466275e-02
5.935640e+01 1.199493e-02
6.031650e+01 9.812463e-03
6.129210e+01 9.053051e-03
6.228340e+01 8.870260e-03
6.329080e+01 9.100295e-03
6.431450e+01 9.462787e-03
6.535470e+01 9.820415e-03
6.641180e+01 1.017009e-02
6.748590e+01 1.053229e-02
6.857750e+01 1.090745e-02
6.968670e+01 1.129591e-02
7.081380e+01 1.167800e-02
7.195910e+01 1.203390e-02
7.312300e+01 1.240064e-02
7.430570e+01 1.277858e-02
7.550760e+01 1.316802e-02
7.672890e+01 1.356647e-02
7.796990e+01 1.378817e-02
