# material=Cr density=7.14
# Photon Energy [eV]  Attenuation Length [um]
4.200000e-01 2.637038e-02
4.600000e-01 2.633814e-02
5.000000e-01 2.621308e-02
5.400000e-01 2.605943e-02
5.800000e-01 2.575808e-02
6.200000e-01 2.539440e-02
6.600000e-01 2.529874e-02
7.000000e-01 2.538901e-02
7.400000e-01 2.533101e-02
7.800000e-01 2.532187e-02
8.200000e-01 2.518826e-02
8.600000e-01 2.478980e-02
9.200000e-01 2.368129e-02
1.000000e+00 2.242623e-02
1.040000e+00 2.190990e-02
1.160000e+00 1.991747e-02
1.280000e+00 1.813469e-02
1.320000e+00 1.754378e-02
1.500000e+00 1.529598e-02
1.770000e+00 1.284389e-02
2.030000e+00 1.122465e-02
2.130000e+00 1.064900e-02
2.220000e+00 1.014766e-02
2.330000e+00 9.581704e-03
2.420000e+00 9.204645e-03
2.530000e+00 8.844152e-03
2.630000e+00 8.663973e-03
2.720000e+00 8.655164e-03
2.830000e+00 8.646521e-03
2.920000e+00 8.746240e-03
3.030000e+00 8.837712e-03
3.130000e+00 8.966180e-03
3.220000e+00 9.074536e-03
3.330000e+00 9.013335e-03
3.420000e+00 8.965823e-03
3.530000e+00 8.850250e-03
3.630000e+00 8.771950e-03
3.720000e+00 8.784947e-03
3.830000e+00 8.792982e-03
3.920000e+00 8.892606e-03
4.030000e+00 8.931864e-03
4.130000e+00 9.009386e-03
4.220000e+00 9.124856e-03
4.320000e+00 9.235843e-03
4.400000e+00 9.330226e-03
4.500000e+00 9.394587e-03
4.600000e+00 9.472515e-03
4.700000e+00 9.564629e-03
4.800000e+00 9.717169e-03
4.900000e+00 9.794608e-03
5.000000e+00 9.885342e-03
5.210000e+00 1.019708e-02
5.300000e+00 1.024314e-02
5.390000e+00 1.023994e-02
5.510000e+00 1.024456e-02
5.610000e+00 1.017758e-02
5.710000e+00 9.942202e-03
5.790000e+00 9.861333e-03
5.900000e+00 9.733523e-03
5.990000e+00 9.586811e-03
6.110000e+00 9.453633e-03
6.200000e+00 9.481833e-03
6.290000e+00 9.401792e-03
6.390000e+00 9.366014e-03
6.490000e+00 9.390896e-03
6.600000e+00 9.466951e-03
6.700000e+00 9.444437e-03
6.810000e+00 9.661666e-03
6.890000e+00 9.677581e-03
7.130000e+00 9.812396e-03
7.380000e+00 1.012184e-02
7.520000e+00 1.040206e-02
7.610000e+00 1.061393e-02
7.700000e+00 1.084257e-02
7.800000e+00 1.107530e-02
7.900000e+00 1.132978e-02
8.000000e+00 1.160592e-02
8.100000e+00 1.179350e-02
8.210000e+00 1.210129e-02
8.320000e+00 1.230956e-02
8.490000e+00 1.271984e-02
8.610000e+00 1.296472e-02
8.730000e+00 1.308054e-02
8.920000e+00 1.341867e-02
9.050000e+00 1.355297e-02
9.250000e+00 1.394784e-02
9.540000e+00 1.407245e-02
9.760000e+00 1.394414e-02
1.000000e+01 1.360953e-02
1.030000e+01 1.339625e-02
1.050000e+01 1.314085e-02
1.080000e+01 1.314093e-02
1.110000e+01 1.297152e-02
1.130000e+01 1.274149e-02
1.150000e+01 1.251998e-02
1.170000e+01 1.230649e-02
1.200000e+01 1.182701e-02
1.230000e+01 1.137632e-02
1.250100e+01 1.088836e-02
1.310100e+01 9.849868e-03
1.330100e+01 9.337772e-03
1.350100e+01 9.199409e-03
1.380100e+01 8.780177e-03
1.390100e+01 8.716898e-03
1.430100e+01 8.473118e-03
1.460100e+01 8.298839e-03
1.480100e+01 8.186661e-03
1.490100e+01 8.131774e-03
1.530100e+01 8.117135e-03
1.550100e+01 8.012495e-03
1.570100e+01 8.010599e-03
1.610100e+01 8.014320e-03
1.630100e+01 8.020215e-03
1.650100e+01 8.028684e-03
1.680100e+01 7.991754e-03
1.700100e+01 8.005909e-03
1.720100e+01 8.022810e-03
1.750100e+01 7.885189e-03
1.770100e+01 7.905935e-03
1.800100e+01 7.885262e-03
1.820100e+01 7.798569e-03
1.880100e+01 7.771646e-03
1.910100e+01 7.649538e-03
1.940100e+01 7.643739e-03
1.970100e+01 7.758933e-03
2.000100e+01 7.761914e-03
2.030100e+01 7.893914e-03
2.070100e+01 7.999305e-03
2.100100e+01 8.156941e-03
2.180100e+01 8.439633e-03
2.210100e+01 8.645309e-03
2.250100e+01 8.831322e-03
2.300100e+01 8.999195e-03
2.509700e+01 9.598969e-03
2.514900e+01 9.678580e-03
2.519900e+01 9.946667e-03
2.525100e+01 9.807341e-03
2.530200e+01 9.855661e-03
2.535400e+01 1.004655e-02
2.545800e+01 1.007547e-02
2.556200e+01 1.029772e-02
2.572300e+01 1.054587e-02
2.577500e+01 1.070713e-02
2.588300e+01 1.077301e-02
2.593900e+01 1.094988e-02
2.626800e+01 1.144191e-02
2.632300e+01 1.145126e-02
2.672000e+01 1.215705e-02
2.683700e+01 1.233914e-02
2.726270e+01 1.303951e-02
2.769530e+01 1.373843e-02
2.813460e+01 1.438654e-02
2.858100e+01 1.506534e-02
2.903440e+01 1.569499e-02
2.949500e+01 1.629305e-02
2.996290e+01 1.691389e-02
3.043820e+01 1.755836e-02
3.092110e+01 1.822747e-02
3.141160e+01 1.892196e-02
3.191000e+01 1.964310e-02
3.241620e+01 2.039158e-02
3.293050e+01 2.100462e-02
3.345290e+01 2.162258e-02
3.398360e+01 2.225874e-02
3.452270e+01 2.280744e-02
3.507040e+01 2.326529e-02
3.562670e+01 2.373240e-02
3.619190e+01 2.420889e-02
3.676610e+01 2.469492e-02
3.734940e+01 2.519083e-02
3.794190e+01 2.569651e-02
3.854380e+01 2.622948e-02
3.915530e+01 2.701649e-02
3.977640e+01 2.782702e-02
4.040750e+01 2.866189e-02
4.104850e+01 2.952180e-02
4.118700e+01 2.970919e-02
4.146200e+01 2.969025e-02
4.160600e+01 2.945298e-02
4.174200e+01 2.893578e-02
4.188700e+01 2.801544e-02
4.217200e+01 2.546345e-02
4.275300e+01 2.025881e-02
4.304900e+01 1.855201e-02
4.365400e+01 1.611798e-02
4.396300e+01 1.472186e-02
4.466040e+01 1.132198e-02
4.491700e+01 1.029016e-02
4.524400e+01 9.386667e-03
4.557800e+01 8.742136e-03
4.575100e+01 8.503282e-03
4.625800e+01 8.085968e-03
4.695800e+01 7.837069e-03
4.770300e+01 7.768565e-03
4.845970e+01 7.700704e-03
4.922850e+01 7.644782e-03
5.000950e+01 7.843984e-03
5.080280e+01 8.030864e-03
5.160880e+01 8.090727e-03
5.242750e+01 8.020790e-03
5.325920e+01 7.911970e-03
5.410420e+01 7.799031e-03
5.496250e+01 7.819904e-03
5.583440e+01 7.939191e-03
5.672020e+01 8.158116e-03
5.762000e+01 8.383055e-03
5.853410e+01 8.614247e-03
5.946270e+01 8.878733e-03
6.040600e+01 9.160345e-03
6.136430e+01 9.450843e-03
6.233780e+01 9.750634e-03
6.332680e+01 1.005990e-02
6.433140e+01 1.037897e-02
6.535200e+01 1.070815e-02
6.638870e+01 1.109912e-02
6.744190e+01 1.152140e-02
6.851190e+01 1.195971e-02
6.959880e+01 1.241474e-02
7.070290e+01 1.298812e-02
7.182450e+01 1.366162e-02
7.296400e+01 1.451821e-02
7.412150e+01 1.547213e-02
7.529740e+01 1.648879e-02
7.649190e+01 1.757215e-02
7.770540e+01 1.864715e-02
7.893810e+01 1.964886e-02
