# material=Cs density=1.879
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 3.914151e+00
1.016170e+01 4.067780e+00
1.032610e+01 4.227483e+00
1.049310e+01 4.393421e+00
1.066280e+01 4.565878e+00
1.083530e+01 4.745129e+00
1.101060e+01 4.421509e+00
1.118860e+01 3.771237e+00
1.136960e+01 3.037973e+00
1.155350e+01 2.846435e+00
1.174040e+01 2.824116e+00
1.193030e+01 2.475620e+00
1.212320e+01 1.910740e+00
1.231930e+01 1.369420e+00
1.251860e+01 9.129921e-01
1.272100e+01 5.826434e-01
1.292680e+01 4.112465e-01
1.313590e+01 2.698748e-01
1.334830e+01 2.191104e-01
1.356420e+01 1.797072e-01
1.378360e+01 1.493255e-01
1.400660e+01 1.254211e-01
1.423310e+01 1.008080e-01
1.446330e+01 8.321440e-02
1.469730e+01 6.738995e-02
1.493500e+01 5.283398e-02
1.517650e+01 3.660560e-02
1.542200e+01 2.907145e-02
1.567140e+01 2.508643e-02
1.592490e+01 2.386685e-02
1.618250e+01 2.270655e-02
1.644420e+01 2.182089e-02
1.671020e+01 2.104401e-02
1.698050e+01 2.052554e-02
1.725510e+01 2.067799e-02
1.753420e+01 2.083156e-02
1.781780e+01 2.098634e-02
1.810600e+01 2.114223e-02
1.839890e+01 2.129929e-02
1.869640e+01 2.191109e-02
1.899880e+01 2.259618e-02
1.930610e+01 2.330281e-02
1.961840e+01 2.403145e-02
1.993570e+01 2.492194e-02
2.025820e+01 2.586763e-02
2.058580e+01 2.684887e-02
2.091880e+01 2.787517e-02
2.125710e+01 2.923184e-02
2.160090e+01 3.065435e-02
2.195030e+01 3.214624e-02
2.230530e+01 3.391365e-02
2.266610e+01 3.585149e-02
2.303270e+01 3.790000e-02
2.340530e+01 4.006584e-02
2.378380e+01 4.231461e-02
2.416850e+01 4.458964e-02
2.455940e+01 4.698702e-02
2.495660e+01 4.951321e-02
2.536030e+01 5.283638e-02
2.577050e+01 5.727584e-02
2.618730e+01 6.208828e-02
2.661090e+01 6.631750e-02
2.704130e+01 7.040569e-02
2.747860e+01 7.474554e-02
2.792310e+01 7.935343e-02
2.837470e+01 8.434562e-02
2.883370e+01 8.977117e-02
2.930000e+01 9.554537e-02
2.977390e+01 1.016912e-01
3.025550e+01 1.080158e-01
3.074490e+01 1.146516e-01
3.124210e+01 1.216946e-01
3.174750e+01 1.291710e-01
3.226090e+01 1.371059e-01
3.278270e+01 1.489647e-01
3.331300e+01 1.625612e-01
3.385180e+01 1.757664e-01
3.439930e+01 1.896658e-01
3.495570e+01 2.046640e-01
3.552110e+01 2.208490e-01
3.609560e+01 2.383123e-01
3.667940e+01 2.571583e-01
3.727270e+01 2.774942e-01
3.787550e+01 2.994371e-01
3.848820e+01 3.231166e-01
3.911070e+01 3.481351e-01
3.974320e+01 3.731377e-01
4.038610e+01 3.999354e-01
4.103930e+01 4.286578e-01
4.170310e+01 4.594418e-01
4.237760e+01 4.890574e-01
4.306300e+01 5.197520e-01
4.375950e+01 5.523687e-01
4.446730e+01 5.870397e-01
4.518650e+01 6.238809e-01
4.591740e+01 6.552204e-01
4.666000e+01 6.870836e-01
4.741470e+01 7.193327e-01
4.818160e+01 7.509554e-01
4.896090e+01 7.839719e-01
4.975280e+01 8.108255e-01
5.055760e+01 8.328480e-01
5.137530e+01 8.554735e-01
5.220620e+01 8.769015e-01
5.305060e+01 8.988336e-01
5.390870e+01 9.213180e-01
5.478060e+01 9.421631e-01
5.566670e+01 9.627204e-01
5.656700e+01 9.837237e-01
5.748200e+01 9.903173e-01
5.841170e+01 9.895278e-01
5.935640e+01 9.888210e-01
6.031650e+01 9.881662e-01
6.129210e+01 9.875080e-01
6.228340e+01 9.868409e-01
6.329080e+01 9.817220e-01
6.431450e+01 9.642334e-01
6.535470e+01 9.470617e-01
6.641180e+01 9.301986e-01
6.748590e+01 9.136257e-01
6.857750e+01 8.973549e-01
6.968670e+01 8.720921e-01
7.081380e+01 8.326017e-01
7.195910e+01 7.873322e-01
7.312300e+01 6.483540e-01
7.430570e+01 3.096036e-01
7.550760e+01 2.292481e-01
7.672890e+01 2.420104e-01
7.796990e+01 2.337569e-01
7.923100e+01 2.048969e-01
8.051250e+01 1.732295e-01
8.181470e+01 1.464570e-01
8.313800e+01 1.241263e-01
8.448270e+01 1.055684e-01
8.584910e+01 8.978424e-02
8.723770e+01 7.826859e-02
8.864870e+01 6.965396e-02
9.008250e+01 6.198719e-02
9.153950e+01 5.516449e-02
9.302010e+01 5.218938e-02
9.452460e+01 4.966479e-02
9.605350e+01 4.726226e-02
9.760710e+01 4.497606e-02
9.918580e+01 4.367381e-02
1.007900e+02 4.318994e-02
1.024200e+02 4.271136e-02
1.040770e+02 4.223834e-02
1.057600e+02 4.177015e-02
1.074710e+02 4.221825e-02
1.092090e+02 4.284672e-02
1.109750e+02 4.348457e-02
1.127700e+02 4.462411e-02
1.145940e+02 4.606730e-02
1.164480e+02 5.001233e-02
1.183310e+02 5.460230e-02
1.202450e+02 5.965619e-02
1.221900e+02 6.556706e-02
1.241660e+02 7.206305e-02
1.261750e+02 8.078943e-02
1.282150e+02 9.206388e-02
1.302890e+02 1.054397e-01
1.323970e+02 1.214433e-01
1.345380e+02 1.399301e-01
1.367140e+02 1.640245e-01
1.389250e+02 1.922674e-01
1.411720e+02 2.268535e-01
1.434560e+02 2.679294e-01
1.457760e+02 3.164396e-01
1.481340e+02 3.729395e-01
1.505300e+02 4.395073e-01
1.529640e+02 5.076294e-01
1.554390e+02 5.764200e-01
1.579530e+02 6.540509e-01
1.605070e+02 7.393437e-01
1.631030e+02 8.357647e-01
1.657420e+02 9.447660e-01
1.684220e+02 1.037344e+00
1.711460e+02 1.132480e+00
1.739150e+02 1.212079e+00
1.767270e+02 1.262547e+00
1.795860e+02 1.315128e+00
1.824910e+02 1.364418e+00
1.854420e+02 1.363084e+00
1.884420e+02 1.349147e+00
1.914890e+02 1.329383e+00
1.945870e+02 1.309924e+00
1.977340e+02 1.309998e+00
2.009320e+02 1.292271e+00
2.041820e+02 1.275469e+00
2.074850e+02 1.254731e+00
2.108400e+02 1.229009e+00
2.142510e+02 1.194391e+00
2.177160e+02 1.159343e+00
2.212370e+02 1.124380e+00
2.248160e+02 1.090390e+00
2.284520e+02 1.057687e+00
2.321470e+02 1.026419e+00
2.359020e+02 9.975577e-01
2.397170e+02 9.705858e-01
2.435950e+02 9.456480e-01
2.475350e+02 9.230851e-01
2.515380e+02 9.023604e-01
2.556070e+02 8.838558e-01
2.597410e+02 8.676122e-01
2.639420e+02 8.526959e-01
2.682110e+02 8.389953e-01
2.725490e+02 8.280404e-01
2.769570e+02 8.182211e-01
2.814370e+02 8.090584e-01
2.859890e+02 8.023767e-01
2.906150e+02 7.966477e-01
2.953150e+02 7.920004e-01
3.000920e+02 7.886784e-01
3.049450e+02 7.863541e-01
3.098780e+02 7.851979e-01
3.148900e+02 7.847953e-01
3.199830e+02 7.853674e-01
3.251580e+02 7.871362e-01
3.304180e+02 7.895144e-01
3.357620e+02 7.926139e-01
3.411920e+02 7.969639e-01
3.467110e+02 8.018646e-01
3.523190e+02 8.072705e-01
3.580170e+02 8.139751e-01
3.638080e+02 8.214271e-01
3.696920e+02 8.293228e-01
3.756720e+02 8.378790e-01
3.817480e+02 8.474141e-01
3.879220e+02 8.573749e-01
3.941970e+02 8.676000e-01
4.005730e+02 8.793556e-01
4.070520e+02 8.918385e-01
4.136350e+02 9.044861e-01
4.203260e+02 9.179660e-01
4.271240e+02 9.319127e-01
4.340320e+02 9.465867e-01
4.410520e+02 9.614851e-01
4.481860e+02 9.781572e-01
4.554350e+02 1.003074e+00
4.628020e+02 1.025099e+00
4.702870e+02 1.045669e+00
4.778940e+02 1.066666e+00
4.856230e+02 1.088070e+00
4.934780e+02 1.109904e+00
5.014590e+02 1.132176e+00
5.095700e+02 1.154904e+00
5.178120e+02 1.178290e+00
5.261870e+02 1.202876e+00
5.346980e+02 1.229408e+00
5.433460e+02 1.257250e+00
5.521340e+02 1.285719e+00
5.610650e+02 1.315644e+00
5.701390e+02 1.346728e+00
5.793610e+02 1.379083e+00
5.887320e+02 1.412322e+00
5.982540e+02 1.446436e+00
6.079300e+02 1.481385e+00
6.177630e+02 1.517168e+00
6.277550e+02 1.553906e+00
6.379080e+02 1.592852e+00
6.482260e+02 1.634775e+00
6.587110e+02 1.679155e+00
6.693650e+02 1.724731e+00
6.801910e+02 1.768832e+00
6.911930e+02 1.811908e+00
7.023720e+02 1.855455e+00
7.137330e+02 1.902079e+00
7.252770e+02 1.951319e+00
7.265000e+02 1.956564e+00
7.267000e+02 3.334989e-01
7.370080e+02 3.453319e-01
7.489280e+02 3.593249e-01
7.610420e+02 3.738849e-01
7.733510e+02 3.890342e-01
7.858590e+02 4.047988e-01
7.985700e+02 4.212000e-01
8.114860e+02 4.382676e-01
8.246110e+02 4.551964e-01
8.379490e+02 4.726327e-01
8.515020e+02 4.907353e-01
8.652740e+02 5.095317e-01
8.792690e+02 5.290473e-01
8.934910e+02 5.493121e-01
9.079430e+02 5.689558e-01
9.226280e+02 5.875750e-01
9.375510e+02 6.068061e-01
9.527150e+02 6.024448e-01
9.681240e+02 5.966165e-01
9.837830e+02 5.908474e-01
9.996950e+02 5.851313e-01
1.015860e+03 5.794714e-01
1.032290e+03 5.997072e-01
1.048990e+03 6.217633e-01
1.065960e+03 6.446287e-01
1.083200e+03 6.665850e-01
1.100720e+03 6.848483e-01
1.118520e+03 7.036115e-01
1.136610e+03 7.228880e-01
1.155000e+03 7.426971e-01
1.173680e+03 7.667081e-01
1.192660e+03 7.925046e-01
1.211950e+03 8.191696e-01
1.231550e+03 8.467280e-01
1.251470e+03 8.752194e-01
1.271720e+03 9.046745e-01
1.292290e+03 9.335226e-01
1.313190e+03 9.622170e-01
1.334430e+03 9.917925e-01
1.356010e+03 1.022278e+00
1.377940e+03 1.053697e+00
1.400230e+03 1.086089e+00
1.422880e+03 1.119475e+00
1.445890e+03 1.154295e+00
1.469280e+03 1.190393e+00
1.493040e+03 1.227614e+00
1.517190e+03 1.265999e+00
1.541730e+03 1.305590e+00
1.566670e+03 1.346415e+00
1.592010e+03 1.392014e+00
