# material=Cu density=8.92
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.301389e-02
1.016170e+01 1.289851e-02
1.032610e+01 1.278426e-02
1.049310e+01 1.267096e-02
1.066280e+01 1.255868e-02
1.083530e+01 1.244741e-02
1.101060e+01 1.233720e-02
1.118860e+01 1.222774e-02
1.136960e+01 1.211941e-02
1.155350e+01 1.201200e-02
1.174040e+01 1.190560e-02
1.193030e+01 1.180010e-02
1.212320e+01 1.169544e-02
1.231930e+01 1.159180e-02
1.251860e+01 1.148917e-02
1.272100e+01 1.138725e-02
1.292680e+01 1.128640e-02
1.313590e+01 1.118639e-02
1.334830e+01 1.108719e-02
1.356420e+01 1.098891e-02
1.378360e+01 1.089156e-02
1.400660e+01 1.079509e-02
1.423310e+01 1.069937e-02
1.446330e+01 1.061000e-02
1.469730e+01 1.052610e-02
1.493500e+01 1.044280e-02
1.517650e+01 1.036015e-02
1.542200e+01 1.027824e-02
1.567140e+01 1.021111e-02
1.592490e+01 1.015369e-02
1.618250e+01 1.009659e-02
1.644420e+01 1.003979e-02
1.671020e+01 9.983324e-03
1.698050e+01 9.927188e-03
1.725510e+01 9.938838e-03
1.753420e+01 9.978465e-03
1.781780e+01 1.001822e-02
1.810600e+01 1.005813e-02
1.839890e+01 1.009824e-02
1.869640e+01 1.019158e-02
1.899880e+01 1.028604e-02
1.930610e+01 1.038140e-02
1.961840e+01 1.047765e-02
1.993570e+01 1.057475e-02
2.025820e+01 1.071533e-02
2.058580e+01 1.090309e-02
2.091880e+01 1.109414e-02
2.125710e+01 1.128855e-02
2.160090e+01 1.148633e-02
2.195030e+01 1.159720e-02
2.230530e+01 1.167776e-02
2.266610e+01 1.175894e-02
2.303270e+01 1.184064e-02
2.340530e+01 1.189764e-02
2.378380e+01 1.185413e-02
2.416850e+01 1.181085e-02
2.455940e+01 1.176770e-02
2.495660e+01 1.172470e-02
2.536030e+01 1.168189e-02
2.577050e+01 1.155475e-02
2.618730e+01 1.139022e-02
2.661090e+01 1.122804e-02
2.704130e+01 1.106816e-02
2.747860e+01 1.091054e-02
2.792310e+01 1.075522e-02
2.837470e+01 1.060206e-02
2.883370e+01 1.056135e-02
2.930000e+01 1.053599e-02
2.977390e+01 1.051072e-02
3.025550e+01 1.048551e-02
3.074490e+01 1.046038e-02
3.124210e+01 1.044033e-02
3.174750e+01 1.062655e-02
3.226090e+01 1.081604e-02
3.278270e+01 1.100892e-02
3.331300e+01 1.121102e-02
3.385180e+01 1.154757e-02
3.439930e+01 1.189424e-02
3.495570e+01 1.225129e-02
3.552110e+01 1.261908e-02
3.609560e+01 1.299790e-02
3.667940e+01 1.338810e-02
3.727270e+01 1.364841e-02
3.787550e+01 1.380082e-02
3.848820e+01 1.395502e-02
3.911070e+01 1.411085e-02
3.974320e+01 1.426845e-02
4.038610e+01 1.442781e-02
4.103930e+01 1.458898e-02
4.170310e+01 1.463185e-02
4.237760e+01 1.462967e-02
4.306300e+01 1.462752e-02
4.375950e+01 1.462535e-02
4.446730e+01 1.462320e-02
4.518650e+01 1.462103e-02
4.591740e+01 1.461891e-02
4.666000e+01 1.461671e-02
4.741470e+01 1.464156e-02
4.818160e+01 1.468546e-02
4.896090e+01 1.472951e-02
4.975280e+01 1.477371e-02
5.055760e+01 1.481804e-02
5.137530e+01 1.486248e-02
5.220620e+01 1.490704e-02
5.305060e+01 1.495173e-02
5.390870e+01 1.499295e-02
5.478060e+01 1.502955e-02
5.566670e+01 1.506626e-02
5.656700e+01 1.510303e-02
5.748200e+01 1.513993e-02
5.841170e+01 1.517690e-02
5.935640e+01 1.521394e-02
6.031650e+01 1.525188e-02
6.129210e+01 1.530969e-02
6.228340e+01 1.536773e-02
6.329080e+01 1.542602e-02
6.431450e+01 1.548450e-02
6.535470e+01 1.554321e-02
6.641180e+01 1.560215e-02
6.748590e+01 1.566130e-02
6.857750e+01 1.572070e-02
6.968670e+01 1.583239e-02
7.081380e+01 1.595086e-02
7.195910e+01 1.607022e-02
7.312300e+01 1.619047e-02
7.430570e+01 1.631162e-02
7.550760e+01 1.643370e-02
7.672890e+01 1.655666e-02
7.796990e+01 1.667615e-02
7.923100e+01 1.678669e-02
8.051250e+01 1.689796e-02
8.181470e+01 1.700999e-02
8.313800e+01 1.712276e-02
8.448270e+01 1.723627e-02
8.584910e+01 1.731927e-02
8.723770e+01 1.738282e-02
8.864870e+01 1.744658e-02
9.008250e+01 1.751058e-02
9.153950e+01 1.757483e-02
9.302010e+01 1.763931e-02
9.452460e+01 1.770401e-02
9.605350e+01 1.775196e-02
9.760710e+01 1.779558e-02
9.918580e+01 1.783932e-02
1.007900e+02 1.788314e-02
1.024200e+02 1.792703e-02
1.040770e+02 1.797117e-02
1.057600e+02 1.801526e-02
1.074710e+02 1.806820e-02
1.092090e+02 1.813474e-02
1.109750e+02 1.820161e-02
1.127700e+02 1.826876e-02
1.145940e+02 1.833615e-02
1.164480e+02 1.840373e-02
1.183310e+02 1.847163e-02
1.202450e+02 1.853963e-02
1.221900e+02 1.861171e-02
1.241660e+02 1.876211e-02
1.261750e+02 1.891375e-02
1.282150e+02 1.906642e-02
1.302890e+02 1.922053e-02
1.323970e+02 1.937584e-02
1.345380e+02 1.953247e-02
1.367140e+02 1.969017e-02
1.389250e+02 1.984920e-02
1.411720e+02 2.000965e-02
1.434560e+02 2.017142e-02
1.457760e+02 2.034656e-02
1.481340e+02 2.067636e-02
1.505300e+02 2.101166e-02
1.529640e+02 2.135211e-02
1.554390e+02 2.169831e-02
1.579530e+02 2.204997e-02
1.605070e+02 2.240725e-02
1.631030e+02 2.277060e-02
1.657420e+02 2.313979e-02
1.684220e+02 2.351473e-02
1.711460e+02 2.389583e-02
1.739150e+02 2.443439e-02
1.767270e+02 2.502385e-02
1.795860e+02 2.562780e-02
1.824910e+02 2.624634e-02
1.854420e+02 2.687947e-02
1.884420e+02 2.752809e-02
1.914890e+02 2.819239e-02
1.945870e+02 2.887272e-02
1.977340e+02 2.956929e-02
2.009320e+02 3.036157e-02
2.041820e+02 3.121062e-02
2.074850e+02 3.208340e-02
2.108400e+02 3.298023e-02
2.142510e+02 3.390253e-02
2.177160e+02 3.481298e-02
2.212370e+02 3.574467e-02
2.248160e+02 3.670155e-02
2.284520e+02 3.768396e-02
2.321470e+02 3.869271e-02
2.359020e+02 3.972847e-02
2.397170e+02 4.079164e-02
2.435950e+02 4.188365e-02
2.475350e+02 4.306698e-02
2.515380e+02 4.428905e-02
2.556070e+02 4.554598e-02
2.597410e+02 4.683850e-02
2.639420e+02 4.816772e-02
2.682110e+02 4.953457e-02
2.725490e+02 5.094029e-02
2.769570e+02 5.238582e-02
2.814370e+02 5.387254e-02
2.859890e+02 5.540137e-02
2.906150e+02 5.697369e-02
2.953150e+02 5.859035e-02
3.000920e+02 6.025318e-02
3.049450e+02 6.198544e-02
3.098780e+02 6.386407e-02
3.148900e+02 6.579961e-02
3.199830e+02 6.779367e-02
3.251580e+02 6.984812e-02
3.304180e+02 7.196504e-02
3.357620e+02 7.414601e-02
3.411920e+02 7.639290e-02
3.467110e+02 7.870807e-02
3.523190e+02 8.109359e-02
3.580170e+02 8.355093e-02
3.638080e+02 8.611475e-02
3.696920e+02 8.877443e-02
3.756720e+02 9.151615e-02
3.817480e+02 9.434243e-02
3.879220e+02 9.725601e-02
3.941970e+02 1.002598e-01
4.005730e+02 1.033563e-01
4.070520e+02 1.065483e-01
4.136350e+02 1.101078e-01
4.203260e+02 1.141587e-01
4.271240e+02 1.183582e-01
4.340320e+02 1.227125e-01
4.410520e+02 1.272265e-01
4.481860e+02 1.319070e-01
4.554350e+02 1.367597e-01
4.628020e+02 1.415723e-01
4.702870e+02 1.457965e-01
4.778940e+02 1.501471e-01
4.856230e+02 1.546275e-01
4.934780e+02 1.592416e-01
5.014590e+02 1.639929e-01
5.095700e+02 1.690618e-01
5.178120e+02 1.748567e-01
5.261870e+02 1.808506e-01
5.346980e+02 1.870496e-01
5.433460e+02 1.934617e-01
5.521340e+02 2.000924e-01
5.610650e+02 2.069519e-01
5.701390e+02 2.140451e-01
5.793610e+02 2.213823e-01
5.887320e+02 2.294453e-01
5.982540e+02 2.380175e-01
6.079300e+02 2.469096e-01
6.177630e+02 2.561343e-01
6.277550e+02 2.657035e-01
6.379080e+02 2.756302e-01
6.482260e+02 2.860973e-01
6.587110e+02 2.974314e-01
6.693650e+02 3.092150e-01
6.801910e+02 3.214651e-01
6.911930e+02 3.342013e-01
7.023720e+02 3.474408e-01
7.137330e+02 3.598638e-01
7.252770e+02 3.714974e-01
7.370080e+02 3.835074e-01
7.489280e+02 3.959052e-01
7.610420e+02 4.087040e-01
7.733510e+02 4.219152e-01
7.858590e+02 4.363294e-01
7.985700e+02 4.528626e-01
8.114860e+02 4.700211e-01
8.246110e+02 4.878310e-01
8.379490e+02 5.063142e-01
8.515020e+02 5.254979e-01
8.652740e+02 5.510973e-01
8.792690e+02 5.787375e-01
8.934910e+02 6.060169e-01
9.079430e+02 6.309713e-01
9.226280e+02 6.914128e-01
9.324000e+02 7.342202e-01
9.326000e+02 8.544186e-02
9.375510e+02 8.675604e-02
9.527150e+02 9.086349e-02
9.681240e+02 9.516596e-02
