# material=Dy density=8.551
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.888507e-01
1.016170e+01 2.831023e-01
1.032610e+01 2.774703e-01
1.049310e+01 2.719496e-01
1.066280e+01 2.665382e-01
1.083530e+01 2.612358e-01
1.101060e+01 2.560388e-01
1.118860e+01 2.509430e-01
1.136960e+01 2.459513e-01
1.155350e+01 2.409522e-01
1.174040e+01 2.355903e-01
1.193030e+01 2.303478e-01
1.212320e+01 2.252203e-01
1.231930e+01 2.202087e-01
1.251860e+01 2.153086e-01
1.272100e+01 2.105652e-01
1.292680e+01 2.063494e-01
1.313590e+01 2.022178e-01
1.334830e+01 1.981676e-01
1.356420e+01 1.941991e-01
1.378360e+01 1.903108e-01
1.400660e+01 1.867308e-01
1.423310e+01 1.833359e-01
1.446330e+01 1.800035e-01
1.469730e+01 1.767322e-01
1.493500e+01 1.735194e-01
1.517650e+01 1.703645e-01
1.542200e+01 1.676213e-01
1.567140e+01 1.662316e-01
1.592490e+01 1.648541e-01
1.618250e+01 1.634880e-01
1.644420e+01 1.621327e-01
1.671020e+01 1.607893e-01
1.698050e+01 1.594569e-01
1.725510e+01 1.565856e-01
1.753420e+01 1.536500e-01
1.781780e+01 1.507689e-01
1.810600e+01 1.488373e-01
1.839890e+01 1.471283e-01
1.869640e+01 1.454378e-01
1.899880e+01 1.437675e-01
1.930610e+01 1.421163e-01
1.961840e+01 1.404843e-01
1.993570e+01 1.381679e-01
2.025820e+01 1.356085e-01
2.058580e+01 1.330958e-01
2.091880e+01 1.296499e-01
2.125710e+01 1.236821e-01
2.160090e+01 1.179890e-01
2.195030e+01 1.125582e-01
2.230530e+01 1.073772e-01
2.266610e+01 1.001457e-01
2.303270e+01 9.094101e-02
2.340530e+01 8.258201e-02
2.378380e+01 7.499128e-02
2.416850e+01 6.809867e-02
2.455940e+01 6.183924e-02
2.495660e+01 5.615507e-02
2.536030e+01 5.075562e-02
2.577050e+01 4.328489e-02
2.618730e+01 3.691364e-02
2.661090e+01 3.148032e-02
2.704130e+01 2.684665e-02
2.747860e+01 2.289496e-02
2.792310e+01 1.980941e-02
2.837470e+01 1.722337e-02
2.883370e+01 1.497498e-02
2.930000e+01 1.302002e-02
2.977390e+01 1.156625e-02
3.025550e+01 1.092302e-02
3.074490e+01 1.031562e-02
3.124210e+01 9.921973e-03
3.174750e+01 9.690302e-03
3.226090e+01 9.531097e-03
3.278270e+01 9.411457e-03
3.331300e+01 9.372677e-03
3.385180e+01 9.399133e-03
3.439930e+01 9.426944e-03
3.495570e+01 9.471824e-03
3.552110e+01 9.516934e-03
3.609560e+01 9.628698e-03
3.667940e+01 9.964598e-03
3.727270e+01 1.031225e-02
3.787550e+01 1.070342e-02
3.848820e+01 1.115745e-02
3.911070e+01 1.163072e-02
3.974320e+01 1.212403e-02
4.038610e+01 1.263842e-02
4.103930e+01 1.317450e-02
4.170310e+01 1.373328e-02
4.237760e+01 1.431587e-02
4.306300e+01 1.492315e-02
4.375950e+01 1.555618e-02
4.446730e+01 1.621602e-02
4.518650e+01 1.690390e-02
4.591740e+01 1.762091e-02
4.666000e+01 1.836837e-02
4.741470e+01 1.901792e-02
4.818160e+01 1.961099e-02
4.896090e+01 2.022254e-02
4.975280e+01 2.085325e-02
5.055760e+01 2.150351e-02
5.137530e+01 2.217416e-02
5.220620e+01 2.286562e-02
5.305060e+01 2.357870e-02
5.390870e+01 2.431400e-02
5.478060e+01 2.507230e-02
5.566670e+01 2.585426e-02
5.656700e+01 2.666048e-02
5.748200e+01 2.728904e-02
5.841170e+01 2.776125e-02
5.935640e+01 2.824159e-02
6.031650e+01 2.873034e-02
6.129210e+01 2.922754e-02
6.228340e+01 2.973324e-02
6.329080e+01 3.024780e-02
6.431450e+01 3.077124e-02
6.535470e+01 3.128446e-02
6.641180e+01 3.172619e-02
6.748590e+01 3.217413e-02
6.857750e+01 3.262842e-02
6.968670e+01 3.308909e-02
7.081380e+01 3.355624e-02
7.195910e+01 3.401334e-02
7.312300e+01 3.436326e-02
7.430570e+01 3.471675e-02
7.550760e+01 3.507389e-02
7.672890e+01 3.543472e-02
7.796990e+01 3.579935e-02
7.923100e+01 3.617989e-02
8.051250e+01 3.656446e-02
8.181470e+01 3.695314e-02
8.313800e+01 3.734600e-02
8.448270e+01 3.774318e-02
8.584910e+01 3.814570e-02
8.723770e+01 3.855294e-02
8.864870e+01 3.896450e-02
9.008250e+01 3.938007e-02
9.153950e+01 3.980240e-02
9.302010e+01 4.024007e-02
9.452460e+01 4.068242e-02
9.605350e+01 4.112956e-02
