# material=Er density=9.066
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.391502e-01
1.016170e+01 2.391828e-01
1.032610e+01 2.392175e-01
1.049310e+01 2.392494e-01
1.066280e+01 2.392834e-01
1.083530e+01 2.393167e-01
1.101060e+01 2.393517e-01
1.118860e+01 2.365315e-01
1.136960e+01 2.329445e-01
1.155350e+01 2.294125e-01
1.174040e+01 2.259332e-01
1.193030e+01 2.225078e-01
1.212320e+01 2.191318e-01
1.231930e+01 2.156706e-01
1.251860e+01 2.122432e-01
1.272100e+01 2.088681e-01
1.292680e+01 2.055493e-01
1.313590e+01 2.022823e-01
1.334830e+01 1.990660e-01
1.356420e+01 1.959135e-01
1.378360e+01 1.934091e-01
1.400660e+01 1.909375e-01
1.423310e+01 1.884954e-01
1.446330e+01 1.860854e-01
1.469730e+01 1.837071e-01
1.493500e+01 1.812674e-01
1.517650e+01 1.787628e-01
1.542200e+01 1.762943e-01
1.567140e+01 1.738588e-01
1.592490e+01 1.714578e-01
1.618250e+01 1.690898e-01
1.644420e+01 1.667539e-01
1.671020e+01 1.644469e-01
1.698050e+01 1.621236e-01
1.725510e+01 1.598327e-01
1.753420e+01 1.575743e-01
1.781780e+01 1.553481e-01
1.810600e+01 1.531532e-01
1.839890e+01 1.509896e-01
1.869640e+01 1.488556e-01
1.899880e+01 1.472089e-01
1.930610e+01 1.456787e-01
1.961840e+01 1.441647e-01
1.993570e+01 1.426659e-01
2.025820e+01 1.411831e-01
2.058580e+01 1.394763e-01
2.091880e+01 1.372175e-01
2.125710e+01 1.349944e-01
2.160090e+01 1.328078e-01
2.195030e+01 1.306567e-01
2.230530e+01 1.285401e-01
2.266610e+01 1.229313e-01
2.303270e+01 1.165434e-01
2.340530e+01 1.104878e-01
2.378380e+01 1.025189e-01
2.416850e+01 9.434067e-02
2.455940e+01 8.577652e-02
2.495660e+01 7.486748e-02
2.536030e+01 6.037224e-02
2.577050e+01 4.093570e-02
2.618730e+01 2.236502e-02
2.661090e+01 1.679706e-02
2.704130e+01 1.504588e-02
2.747860e+01 1.363922e-02
2.792310e+01 1.244668e-02
2.837470e+01 1.137293e-02
2.883370e+01 1.083973e-02
2.930000e+01 1.047699e-02
2.977390e+01 1.000085e-02
3.025550e+01 9.765341e-03
3.074490e+01 9.765921e-03
3.124210e+01 9.905697e-03
3.174750e+01 1.005206e-02
3.226090e+01 1.020054e-02
3.278270e+01 1.035119e-02
3.331300e+01 1.051508e-02
3.385180e+01 1.113647e-02
3.439930e+01 1.171660e-02
3.495570e+01 1.215880e-02
3.552110e+01 1.261396e-02
3.609560e+01 1.298318e-02
3.667940e+01 1.336309e-02
3.727270e+01 1.371015e-02
3.787550e+01 1.405213e-02
3.848820e+01 1.441497e-02
3.911070e+01 1.488966e-02
3.974320e+01 1.537980e-02
4.038610e+01 1.588617e-02
4.103930e+01 1.629457e-02
4.170310e+01 1.669832e-02
4.237760e+01 1.716562e-02
