# material=Eu density=5.244
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 3.705730e-01
1.016170e+01 3.590673e-01
1.032610e+01 3.479221e-01
1.049310e+01 3.371223e-01
1.066280e+01 3.266565e-01
1.083530e+01 3.171253e-01
1.101060e+01 3.082538e-01
1.118860e+01 2.996262e-01
1.136960e+01 2.919650e-01
1.155350e+01 2.856388e-01
1.174040e+01 2.794505e-01
1.193030e+01 2.733955e-01
1.212320e+01 2.686017e-01
1.231930e+01 2.641850e-01
1.251860e+01 2.598415e-01
1.272100e+01 2.553703e-01
1.292680e+01 2.502136e-01
1.313590e+01 2.451610e-01
1.334830e+01 2.402090e-01
1.356420e+01 2.354515e-01
1.378360e+01 2.324811e-01
1.400660e+01 2.289781e-01
1.423310e+01 2.255256e-01
1.446330e+01 2.221257e-01
1.469730e+01 2.188831e-01
1.493500e+01 2.157894e-01
1.517650e+01 2.127393e-01
1.542200e+01 2.097333e-01
1.567140e+01 2.071631e-01
1.592490e+01 2.054377e-01
1.618250e+01 2.037262e-01
1.644420e+01 2.020283e-01
1.671020e+01 2.000186e-01
1.698050e+01 1.973946e-01
1.725510e+01 1.948044e-01
1.753420e+01 1.922486e-01
1.781780e+01 1.897092e-01
1.810600e+01 1.871712e-01
1.839890e+01 1.846674e-01
1.869640e+01 1.821961e-01
1.899880e+01 1.792437e-01
1.930610e+01 1.755538e-01
1.961840e+01 1.719401e-01
1.993570e+01 1.657873e-01
2.025820e+01 1.578371e-01
2.058580e+01 1.462956e-01
2.091880e+01 1.274371e-01
2.125710e+01 1.100862e-01
2.160090e+01 8.702722e-02
2.195030e+01 7.358447e-02
2.230530e+01 5.977733e-02
2.266610e+01 4.980624e-02
2.303270e+01 4.328465e-02
2.340530e+01 3.564605e-02
2.378380e+01 3.147680e-02
2.416850e+01 2.351127e-02
2.455940e+01 1.868129e-02
2.495660e+01 1.674547e-02
2.536030e+01 1.512631e-02
2.577050e+01 1.388166e-02
2.618730e+01 1.305301e-02
2.661090e+01 1.264463e-02
2.704130e+01 1.227806e-02
2.747860e+01 1.198738e-02
2.792310e+01 1.170361e-02
2.837470e+01 1.175255e-02
2.883370e+01 1.186013e-02
2.930000e+01 1.211642e-02
2.977390e+01 1.242927e-02
3.025550e+01 1.275019e-02
3.074490e+01 1.307945e-02
3.124210e+01 1.341712e-02
3.174750e+01 1.395726e-02
3.226090e+01 1.452647e-02
3.278270e+01 1.511899e-02
3.331300e+01 1.572843e-02
3.385180e+01 1.636164e-02
3.439930e+01 1.702036e-02
3.495570e+01 1.770566e-02
3.552110e+01 1.841852e-02
3.609560e+01 1.918828e-02
3.667940e+01 2.004340e-02
3.727270e+01 2.093679e-02
3.787550e+01 2.185658e-02
3.848820e+01 2.270171e-02
3.911070e+01 2.357944e-02
3.974320e+01 2.456045e-02
4.038610e+01 2.583262e-02
4.103930e+01 2.717057e-02
4.170310e+01 2.831705e-02
4.237760e+01 2.928695e-02
4.306300e+01 3.029003e-02
4.375950e+01 3.134665e-02
4.446730e+01 3.248658e-02
4.518650e+01 3.366796e-02
4.591740e+01 3.490941e-02
4.666000e+01 3.625234e-02
4.741470e+01 3.764694e-02
4.818160e+01 3.902751e-02
4.896090e+01 4.011889e-02
4.975280e+01 4.124078e-02
5.055760e+01 4.239414e-02
5.137530e+01 4.357962e-02
5.220620e+01 4.485944e-02
5.305060e+01 4.617873e-02
5.390870e+01 4.753695e-02
5.478060e+01 4.893503e-02
5.566670e+01 5.008716e-02
5.656700e+01 5.117505e-02
5.748200e+01 5.228665e-02
5.841170e+01 5.342227e-02
5.935640e+01 5.458261e-02
6.031650e+01 5.567552e-02
6.129210e+01 5.679011e-02
6.228340e+01 5.792674e-02
6.329080e+01 5.908623e-02
6.431450e+01 6.012294e-02
6.535470e+01 6.114166e-02
6.641180e+01 6.217767e-02
6.748590e+01 6.323108e-02
6.857750e+01 6.407541e-02
6.968670e+01 6.478961e-02
7.081380e+01 6.551176e-02
7.195910e+01 6.624179e-02
7.312300e+01 6.706256e-02
7.430570e+01 6.811069e-02
7.550760e+01 6.922648e-02
7.672890e+01 7.036052e-02
7.796990e+01 7.151318e-02
7.923100e+01 7.268466e-02
8.051250e+01 7.387534e-02
8.181470e+01 7.508549e-02
8.313800e+01 7.631551e-02
8.448270e+01 7.756568e-02
8.584910e+01 7.891174e-02
8.723770e+01 8.056947e-02
8.864870e+01 8.226206e-02
9.008250e+01 8.399015e-02
9.153950e+01 8.575463e-02
9.302010e+01 8.755615e-02
9.452460e+01 8.939554e-02
9.605350e+01 9.127355e-02
9.760710e+01 9.373725e-02
9.918580e+01 9.645521e-02
1.007900e+02 9.925214e-02
1.024200e+02 1.021300e-01
1.040770e+02 1.050919e-01
1.057600e+02 1.092527e-01
1.074710e+02 1.146301e-01
1.092090e+02 1.202713e-01
1.109750e+02 1.272716e-01
1.127700e+02 1.357867e-01
1.145940e+02 1.448714e-01
1.164480e+02 1.554970e-01
1.183310e+02 1.686659e-01
1.202450e+02 1.829516e-01
1.221900e+02 1.973147e-01
1.241660e+02 2.119227e-01
1.261750e+02 2.282712e-01
1.282150e+02 2.484030e-01
1.302890e+02 2.703113e-01
1.323970e+02 2.089671e-01
1.345380e+02 6.156739e-02
1.367140e+02 2.276250e-02
1.389250e+02 1.445729e-02
1.411720e+02 1.681897e-02
1.434560e+02 2.348701e-02
1.457760e+02 3.187724e-02
1.481340e+02 3.646237e-02
1.505300e+02 4.063208e-02
1.529640e+02 4.263709e-02
1.554390e+02 4.474151e-02
1.579530e+02 4.691951e-02
1.605070e+02 4.915058e-02
1.631030e+02 5.134745e-02
1.657420e+02 5.361805e-02
1.684220e+02 5.590961e-02
1.711460e+02 5.828124e-02
1.739150e+02 6.075395e-02
1.767270e+02 6.333100e-02
1.795860e+02 6.586603e-02
1.824910e+02 6.848529e-02
1.854420e+02 7.120859e-02
1.884420e+02 7.404088e-02
1.914890e+02 7.698494e-02
1.945870e+02 8.008611e-02
1.977340e+02 8.352993e-02
2.009320e+02 8.712228e-02
2.041820e+02 9.086861e-02
2.074850e+02 9.477689e-02
2.108400e+02 9.885221e-02
2.142510e+02 1.031034e-01
2.177160e+02 1.064793e-01
2.212370e+02 1.096687e-01
2.248160e+02 1.129535e-01
2.284520e+02 1.163370e-01
2.321470e+02 1.198224e-01
2.359020e+02 1.234116e-01
2.397170e+02 1.271078e-01
2.435950e+02 1.309160e-01
2.475350e+02 1.348371e-01
2.515380e+02 1.377652e-01
2.556070e+02 1.404092e-01
2.597410e+02 1.431047e-01
2.639420e+02 1.458521e-01
2.682110e+02 1.486513e-01
2.725490e+02 1.515055e-01
2.769570e+02 1.543246e-01
2.814370e+02 1.568425e-01
2.859890e+02 1.594025e-01
2.906150e+02 1.620045e-01
2.953150e+02 1.646485e-01
3.000920e+02 1.673349e-01
3.049450e+02 1.700658e-01
3.098780e+02 1.728420e-01
3.148900e+02 1.749278e-01
3.199830e+02 1.764447e-01
3.251580e+02 1.779730e-01
3.304180e+02 1.795165e-01
3.357620e+02 1.810728e-01
3.411920e+02 1.826424e-01
3.467110e+02 1.842249e-01
3.523190e+02 1.859293e-01
3.580170e+02 1.878180e-01
3.638080e+02 1.897358e-01
3.696920e+02 1.916722e-01
3.756720e+02 1.936269e-01
3.817480e+02 1.956005e-01
3.879220e+02 1.977693e-01
3.941970e+02 2.003602e-01
4.005730e+02 2.039517e-01
4.070520e+02 2.079994e-01
4.136350e+02 2.121298e-01
4.203260e+02 2.163426e-01
4.271240e+02 2.206381e-01
4.340320e+02 2.250184e-01
4.410520e+02 2.294854e-01
4.481860e+02 2.340709e-01
4.554350e+02 2.388950e-01
4.628020e+02 2.439279e-01
4.702870e+02 2.491258e-01
4.778940e+02 2.544315e-01
4.856230e+02 2.598522e-01
4.934780e+02 2.653896e-01
5.014590e+02 2.710427e-01
5.095700e+02 2.768195e-01
5.178120e+02 2.827556e-01
5.261870e+02 2.889580e-01
5.346980e+02 2.955645e-01
5.433460e+02 3.024619e-01
5.521340e+02 3.095206e-01
5.610650e+02 3.169291e-01
5.701390e+02 3.246109e-01
5.793610e+02 3.325366e-01
5.887320e+02 3.406609e-01
5.982540e+02 3.489857e-01
6.079300e+02 3.575192e-01
6.177630e+02 3.662608e-01
6.277550e+02 3.752378e-01
6.379080e+02 3.847128e-01
6.482260e+02 3.948637e-01
6.587110e+02 4.055771e-01
6.693650e+02 4.165766e-01
6.801910e+02 4.272058e-01
6.911930e+02 4.375718e-01
7.023720e+02 4.480884e-01
7.137330e+02 4.595553e-01
7.252770e+02 4.718053e-01
7.370080e+02 4.843827e-01
7.489280e+02 4.972904e-01
7.610420e+02 5.105523e-01
7.733510e+02 5.242850e-01
7.858590e+02 5.387687e-01
7.985700e+02 5.539849e-01
8.114860e+02 5.696254e-01
8.246110e+02 5.857121e-01
8.379490e+02 6.022593e-01
8.515020e+02 6.194205e-01
8.652740e+02 6.372522e-01
8.792690e+02 6.557630e-01
8.934910e+02 6.748174e-01
9.079430e+02 6.944229e-01
9.226280e+02 7.145932e-01
9.375510e+02 7.358719e-01
9.527150e+02 7.579083e-01
