# material=Fe density=7.874
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.222635e-02
1.016170e+01 1.198005e-02
1.032610e+01 1.173884e-02
1.049310e+01 1.150237e-02
1.066280e+01 1.127064e-02
1.083530e+01 1.104371e-02
1.101060e+01 1.082130e-02
1.118860e+01 1.060325e-02
1.136960e+01 1.038974e-02
1.155350e+01 1.018046e-02
1.174040e+01 1.002400e-02
1.193030e+01 1.000161e-02
1.212320e+01 9.979275e-03
1.231930e+01 9.957021e-03
1.251860e+01 9.934871e-03
1.272100e+01 9.912670e-03
1.292680e+01 9.890583e-03
1.313590e+01 9.868549e-03
1.334830e+01 9.846458e-03
1.356420e+01 9.824521e-03
1.378360e+01 9.802627e-03
1.400660e+01 9.780784e-03
1.423310e+01 9.758942e-03
1.446330e+01 9.737178e-03
1.469730e+01 9.715500e-03
1.493500e+01 9.693821e-03
1.517650e+01 9.672189e-03
1.542200e+01 9.650605e-03
1.567140e+01 9.668432e-03
1.592490e+01 9.735734e-03
1.618250e+01 9.803500e-03
1.644420e+01 9.871737e-03
1.671020e+01 9.940463e-03
1.698050e+01 1.000965e-02
1.725510e+01 1.007930e-02
1.753420e+01 1.014947e-02
1.781780e+01 1.022012e-02
1.810600e+01 1.030049e-02
1.839890e+01 1.040775e-02
1.869640e+01 1.051607e-02
1.899880e+01 1.062556e-02
1.930610e+01 1.073619e-02
1.961840e+01 1.084801e-02
1.993570e+01 1.096096e-02
2.025820e+01 1.107508e-02
2.058580e+01 1.119037e-02
2.091880e+01 1.130691e-02
2.125710e+01 1.142463e-02
2.160090e+01 1.154355e-02
2.195030e+01 1.166377e-02
2.230530e+01 1.178519e-02
2.266610e+01 1.194183e-02
2.303270e+01 1.211121e-02
2.340530e+01 1.228299e-02
2.378380e+01 1.245718e-02
2.416850e+01 1.263387e-02
2.455940e+01 1.281305e-02
2.495660e+01 1.299473e-02
2.536030e+01 1.317908e-02
2.577050e+01 1.336600e-02
2.618730e+01 1.355556e-02
2.661090e+01 1.374781e-02
2.704130e+01 1.394281e-02
2.747860e+01 1.414052e-02
2.792310e+01 1.434110e-02
2.837470e+01 1.457215e-02
2.883370e+01 1.489059e-02
2.930000e+01 1.521598e-02
2.977390e+01 1.554841e-02
3.025550e+01 1.588823e-02
3.074490e+01 1.623542e-02
3.124210e+01 1.659014e-02
3.174750e+01 1.695268e-02
3.226090e+01 1.732309e-02
3.278270e+01 1.770158e-02
3.331300e+01 1.808841e-02
3.385180e+01 1.848369e-02
3.439930e+01 1.889620e-02
3.495570e+01 1.933023e-02
3.552110e+01 1.977421e-02
3.609560e+01 2.022846e-02
3.667940e+01 2.069303e-02
3.727270e+01 2.116840e-02
3.787550e+01 2.165457e-02
3.848820e+01 2.215208e-02
3.911070e+01 2.266080e-02
3.974320e+01 2.318131e-02
4.038610e+01 2.371378e-02
4.103930e+01 2.426956e-02
4.170310e+01 2.491034e-02
4.237760e+01 2.556814e-02
4.306300e+01 2.624321e-02
4.375950e+01 2.693609e-02
4.446730e+01 2.764743e-02
4.518650e+01 2.837744e-02
4.591740e+01 2.912666e-02
4.666000e+01 2.989577e-02
4.741470e+01 3.068505e-02
4.818160e+01 3.149531e-02
4.896090e+01 3.232694e-02
4.975280e+01 3.318822e-02
5.055760e+01 3.414071e-02
5.137530e+01 3.512038e-02
5.220620e+01 3.520293e-02
5.305060e+01 3.472764e-02
5.390870e+01 1.890863e-02
5.478060e+01 9.943757e-03
5.566670e+01 9.398775e-03
5.656700e+01 9.119124e-03
5.748200e+01 9.047937e-03
5.841170e+01 9.009255e-03
5.935640e+01 9.362738e-03
6.031650e+01 9.730186e-03
6.129210e+01 1.021571e-02
6.228340e+01 1.080348e-02
6.329080e+01 1.142511e-02
6.431450e+01 1.208252e-02
6.535470e+01 1.277775e-02
6.641180e+01 1.351297e-02
6.748590e+01 1.427107e-02
6.857750e+01 1.470014e-02
6.968670e+01 1.514212e-02
7.081380e+01 1.559736e-02
7.195910e+01 1.606630e-02
