# material=Ga density=5.904
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 9.400849e-03
1.016170e+01 9.565229e-03
1.032610e+01 9.732547e-03
1.049310e+01 9.902785e-03
1.066280e+01 1.007595e-02
1.083530e+01 1.025221e-02
1.101060e+01 1.045003e-02
1.118860e+01 1.079553e-02
1.136960e+01 1.115253e-02
1.155350e+01 1.152130e-02
1.174040e+01 1.190231e-02
1.193030e+01 1.255692e-02
1.212320e+01 1.332163e-02
1.231930e+01 1.413299e-02
1.251860e+01 1.499387e-02
1.272100e+01 1.590696e-02
1.292680e+01 1.687586e-02
1.313590e+01 1.823513e-02
1.334830e+01 1.977260e-02
1.356420e+01 2.229354e-02
1.378360e+01 2.673042e-02
1.400660e+01 3.167208e-02
1.423310e+01 3.729343e-02
1.446330e+01 4.408367e-02
1.469730e+01 5.333147e-02
1.493500e+01 6.439582e-02
1.517650e+01 7.106248e-02
1.542200e+01 7.841947e-02
1.567140e+01 8.653798e-02
1.592490e+01 9.453011e-02
1.618250e+01 1.032232e-01
1.644420e+01 1.063466e-01
1.671020e+01 1.084954e-01
1.698050e+01 1.106816e-01
1.725510e+01 1.093647e-01
1.753420e+01 1.080637e-01
1.781780e+01 1.067782e-01
1.810600e+01 1.039901e-01
1.839890e+01 9.641580e-02
1.869640e+01 8.939246e-02
1.899880e+01 7.938014e-02
1.930610e+01 6.840196e-02
1.961840e+01 6.037419e-02
1.993570e+01 5.576979e-02
2.025820e+01 5.151620e-02
2.058580e+01 4.862893e-02
2.091880e+01 4.689219e-02
2.125710e+01 4.521729e-02
2.160090e+01 4.493534e-02
2.195030e+01 4.532287e-02
2.230530e+01 4.571381e-02
2.266610e+01 4.610812e-02
2.303270e+01 4.650565e-02
2.340530e+01 4.727498e-02
2.378380e+01 4.836671e-02
2.416850e+01 4.948358e-02
2.455940e+01 5.062594e-02
2.495660e+01 5.125947e-02
2.536030e+01 5.098050e-02
2.577050e+01 5.070319e-02
2.618730e+01 5.042694e-02
2.661090e+01 5.015246e-02
2.704130e+01 4.987933e-02
