# material=Gd density=7.901
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.819896e-02
1.011520e+01 1.812470e-02
1.023170e+01 1.804886e-02
1.034960e+01 1.796893e-02
1.046880e+01 1.788923e-02
1.058940e+01 1.781000e-02
1.071140e+01 1.773108e-02
1.083480e+01 1.765251e-02
1.095960e+01 1.757427e-02
1.108590e+01 1.749645e-02
1.121360e+01 1.741893e-02
1.134280e+01 1.734180e-02
1.147340e+01 1.726482e-02
1.160560e+01 1.718836e-02
1.173930e+01 1.711223e-02
1.187450e+01 1.703633e-02
1.201130e+01 1.696084e-02
1.214970e+01 1.688575e-02
1.228970e+01 1.681095e-02
1.243120e+01 1.673640e-02
1.257440e+01 1.666221e-02
1.271930e+01 1.658842e-02
1.286580e+01 1.651490e-02
1.301400e+01 1.644168e-02
1.316400e+01 1.638267e-02
1.331560e+01 1.632418e-02
1.346900e+01 1.626593e-02
1.362420e+01 1.620795e-02
1.378110e+01 1.615082e-02
1.393990e+01 1.623131e-02
1.410050e+01 1.634740e-02
1.426290e+01 1.708085e-02
1.442720e+01 1.784724e-02
1.459340e+01 1.978585e-02
1.476150e+01 2.217533e-02
1.493160e+01 2.485336e-02
1.510360e+01 2.785494e-02
1.527760e+01 3.121894e-02
1.545360e+01 3.498914e-02
1.563160e+01 3.921461e-02
1.581170e+01 4.426393e-02
1.599380e+01 5.023987e-02
1.617810e+01 5.702298e-02
1.636440e+01 5.993711e-02
1.655290e+01 6.137852e-02
1.674360e+01 6.285436e-02
1.693650e+01 6.436627e-02
1.713160e+01 6.591385e-02
1.732900e+01 6.749919e-02
1.752860e+01 6.912259e-02
1.773050e+01 7.078455e-02
1.793480e+01 7.248674e-02
1.814140e+01 7.423011e-02
1.835040e+01 7.601517e-02
1.856180e+01 7.784333e-02
1.877560e+01 7.905187e-02
1.899190e+01 7.902136e-02
1.921070e+01 7.899015e-02
1.943200e+01 7.895898e-02
1.965580e+01 7.892786e-02
1.988230e+01 6.864325e-02
2.011130e+01 5.566387e-02
2.034300e+01 4.307117e-02
2.057730e+01 3.284374e-02
2.081440e+01 2.971995e-02
2.105420e+01 2.689329e-02
2.129670e+01 2.451203e-02
2.154210e+01 2.318743e-02
2.179020e+01 2.193432e-02
2.204120e+01 2.074899e-02
2.229520e+01 1.973500e-02
2.255200e+01 1.945564e-02
2.281180e+01 1.918025e-02
2.307460e+01 1.890876e-02
2.334040e+01 1.864111e-02
2.360930e+01 1.837725e-02
2.388120e+01 1.811708e-02
2.415640e+01 1.786069e-02
2.443460e+01 1.762241e-02
2.471610e+01 1.744584e-02
2.500080e+01 1.727097e-02
2.528890e+01 1.709797e-02
2.558020e+01 1.692657e-02
2.587490e+01 1.675695e-02
2.617290e+01 1.658898e-02
2.647440e+01 1.641776e-02
2.677940e+01 1.624072e-02
2.702750e+01 1.609957e-02
2.730080e+01 1.537599e-02
2.761530e+01 1.416389e-02
2.793340e+01 1.304727e-02
2.825520e+01 1.214775e-02
2.858070e+01 1.152216e-02
2.891000e+01 1.092887e-02
2.924300e+01 1.044917e-02
2.957990e+01 1.018704e-02
2.992060e+01 9.931514e-03
3.026530e+01 9.700303e-03
3.061400e+01 9.483723e-03
3.096660e+01 9.271937e-03
3.132340e+01 9.064865e-03
3.168420e+01 8.862410e-03
3.204920e+01 8.664534e-03
3.241840e+01 8.507581e-03
3.279190e+01 8.443177e-03
3.316960e+01 8.396442e-03
3.355180e+01 8.521193e-03
3.393830e+01 8.647772e-03
3.432920e+01 8.994610e-03
3.472470e+01 9.382227e-03
3.512470e+01 9.786440e-03
3.552940e+01 1.020817e-02
3.593860e+01 1.068582e-02
3.635270e+01 1.120095e-02
3.677140e+01 1.174093e-02
3.719500e+01 1.230697e-02
3.762350e+01 1.307592e-02
3.805690e+01 1.394886e-02
3.849530e+01 1.488019e-02
3.893880e+01 1.567553e-02
3.938740e+01 1.649567e-02
3.984110e+01 1.735877e-02
4.030010e+01 1.826722e-02
4.076430e+01 1.921785e-02
4.123390e+01 2.016189e-02
4.170900e+01 2.115234e-02
4.218940e+01 2.219131e-02
4.267550e+01 2.328140e-02
4.316710e+01 2.443270e-02
4.366440e+01 2.564133e-02
4.416740e+01 2.690978e-02
4.467620e+01 2.824096e-02
4.519080e+01 2.963790e-02
4.571140e+01 3.110404e-02
