# material=Ge density=5.323
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.076738e-02
1.016170e+01 1.078518e-02
1.032610e+01 1.080311e-02
1.049310e+01 1.082101e-02
1.066280e+01 1.083894e-02
1.083530e+01 1.091846e-02
1.101060e+01 1.113212e-02
1.118860e+01 1.134980e-02
1.136960e+01 1.157189e-02
1.155350e+01 1.179824e-02
1.174040e+01 1.202245e-02
1.193030e+01 1.225061e-02
1.212320e+01 1.248303e-02
1.231930e+01 1.271997e-02
1.251860e+01 1.296141e-02
1.272100e+01 1.324688e-02
1.292680e+01 1.389570e-02
1.313590e+01 1.457624e-02
1.334830e+01 1.529002e-02
1.356420e+01 1.603881e-02
1.378360e+01 1.682426e-02
1.400660e+01 1.764825e-02
1.423310e+01 1.851251e-02
1.446330e+01 1.941912e-02
1.469730e+01 2.037021e-02
1.493500e+01 2.136777e-02
1.517650e+01 2.250439e-02
1.542200e+01 2.373683e-02
1.567140e+01 2.503686e-02
1.592490e+01 2.640809e-02
1.618250e+01 2.785438e-02
1.644420e+01 2.937989e-02
1.671020e+01 3.098894e-02
1.698050e+01 3.268610e-02
1.725510e+01 3.447608e-02
1.753420e+01 3.636433e-02
1.781780e+01 3.835580e-02
1.810600e+01 4.045644e-02
1.839890e+01 4.267243e-02
1.869640e+01 4.511071e-02
1.899880e+01 4.791515e-02
1.930610e+01 5.089396e-02
1.961840e+01 5.405855e-02
1.993570e+01 5.741913e-02
2.025820e+01 6.098920e-02
2.058580e+01 6.478034e-02
2.091880e+01 6.903017e-02
2.125710e+01 7.468158e-02
2.160090e+01 8.079576e-02
2.195030e+01 8.741076e-02
2.230530e+01 9.456716e-02
2.266610e+01 1.023095e-01
2.303270e+01 1.106857e-01
2.340530e+01 1.197479e-01
2.378380e+01 1.303761e-01
2.416850e+01 1.429128e-01
2.455940e+01 1.566549e-01
2.495660e+01 1.707577e-01
2.536030e+01 1.783880e-01
2.577050e+01 1.863585e-01
2.618730e+01 1.910171e-01
2.661090e+01 1.916605e-01
2.704130e+01 1.923059e-01
2.747860e+01 1.929527e-01
2.792310e+01 1.872165e-01
2.837470e+01 1.707527e-01
2.883370e+01 1.338335e-01
2.930000e+01 1.048967e-01
2.977390e+01 8.221670e-02
3.025550e+01 6.443965e-02
3.074490e+01 5.050717e-02
3.124210e+01 4.560914e-02
3.174750e+01 4.318317e-02
3.226090e+01 4.176601e-02
3.278270e+01 4.225112e-02
3.331300e+01 4.405548e-02
3.385180e+01 4.591584e-02
3.439930e+01 4.771130e-02
3.495570e+01 4.957692e-02
3.552110e+01 5.149311e-02
3.609560e+01 5.328804e-02
3.667940e+01 5.514554e-02
3.727270e+01 5.706804e-02
3.787550e+01 5.859070e-02
3.848820e+01 5.923195e-02
3.911070e+01 5.987993e-02
3.974320e+01 6.053508e-02
4.038610e+01 6.110848e-02
4.103930e+01 6.123062e-02
4.170310e+01 6.135303e-02
4.237760e+01 6.147577e-02
4.306300e+01 6.089158e-02
4.375950e+01 5.976085e-02
4.446730e+01 5.865126e-02
4.518650e+01 5.756211e-02
4.591740e+01 5.649330e-02
4.666000e+01 5.487537e-02
4.741470e+01 5.317244e-02
4.818160e+01 5.152210e-02
4.896090e+01 5.038677e-02
4.975280e+01 4.963007e-02
5.055760e+01 4.888468e-02
5.137530e+01 4.815053e-02
5.220620e+01 4.743778e-02
5.305060e+01 4.675331e-02
5.390870e+01 4.607888e-02
5.478060e+01 4.541408e-02
5.566670e+01 4.475892e-02
5.656700e+01 4.399390e-02
5.748200e+01 4.324165e-02
5.841170e+01 4.250208e-02
5.935640e+01 4.177524e-02
6.031650e+01 4.106090e-02
6.129210e+01 4.035113e-02
6.228340e+01 3.964543e-02
6.329080e+01 3.895221e-02
6.431450e+01 3.827104e-02
6.535470e+01 3.760178e-02
6.641180e+01 3.694425e-02
6.748590e+01 3.629820e-02
6.857750e+01 3.562062e-02
6.968670e+01 3.540390e-02
7.081380e+01 3.527626e-02
7.195910e+01 3.514910e-02
7.312300e+01 3.502241e-02
7.430570e+01 3.489614e-02
7.550760e+01 3.477040e-02
7.672890e+01 3.464510e-02
