# material=Hf density=13.31
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.214774e-02
1.016170e+01 1.192827e-02
1.032610e+01 1.171285e-02
1.049310e+01 1.151794e-02
1.066280e+01 1.139336e-02
1.083530e+01 1.127020e-02
1.101060e+01 1.114834e-02
1.118860e+01 1.109583e-02
1.136960e+01 1.106315e-02
1.155350e+01 1.103058e-02
1.174040e+01 1.099814e-02
1.193030e+01 1.104029e-02
1.212320e+01 1.108658e-02
1.231930e+01 1.113317e-02
1.251860e+01 1.120105e-02
1.272100e+01 1.128381e-02
1.292680e+01 1.136730e-02
1.313590e+01 1.145138e-02
1.334830e+01 1.154264e-02
1.356420e+01 1.180100e-02
1.378360e+01 1.206517e-02
1.400660e+01 1.233524e-02
1.423310e+01 1.260077e-02
1.446330e+01 1.286120e-02
1.469730e+01 1.312709e-02
1.493500e+01 1.339838e-02
1.517650e+01 1.370240e-02
1.542200e+01 1.406371e-02
1.567140e+01 1.443452e-02
1.592490e+01 1.481518e-02
1.618250e+01 1.520585e-02
1.644420e+01 1.566491e-02
1.671020e+01 1.617387e-02
1.698050e+01 1.669934e-02
1.725510e+01 1.724187e-02
1.753420e+01 1.780203e-02
1.781780e+01 1.840280e-02
1.810600e+01 1.903087e-02
1.839890e+01 1.968042e-02
1.869640e+01 2.035202e-02
1.899880e+01 2.104662e-02
1.930610e+01 2.176496e-02
1.961840e+01 2.247772e-02
1.993570e+01 2.319324e-02
2.025820e+01 2.393153e-02
2.058580e+01 2.469328e-02
2.091880e+01 2.547932e-02
2.125710e+01 2.629028e-02
2.160090e+01 2.707580e-02
2.195030e+01 2.780854e-02
2.230530e+01 2.856098e-02
2.266610e+01 2.933389e-02
2.303270e+01 3.012767e-02
2.340530e+01 3.094298e-02
2.378380e+01 3.186038e-02
2.416850e+01 3.282568e-02
2.455940e+01 3.382015e-02
2.495660e+01 3.484473e-02
2.536030e+01 3.588380e-02
2.577050e+01 3.693454e-02
2.618730e+01 3.801609e-02
2.661090e+01 3.906722e-02
2.704130e+01 3.954842e-02
2.747860e+01 4.003566e-02
2.792310e+01 4.052912e-02
2.837470e+01 4.004877e-02
2.883370e+01 3.946251e-02
2.930000e+01 3.888479e-02
2.977390e+01 3.822527e-02
3.025550e+01 3.671106e-02
3.074490e+01 3.525705e-02
3.124210e+01 3.386040e-02
3.174750e+01 3.230241e-02
3.226090e+01 3.070324e-02
3.278270e+01 2.893090e-02
3.331300e+01 2.582586e-02
3.385180e+01 2.305401e-02
3.439930e+01 2.057963e-02
3.495570e+01 1.837088e-02
3.552110e+01 1.639916e-02
3.609560e+01 1.474891e-02
3.667940e+01 1.328064e-02
3.727270e+01 1.208291e-02
3.787550e+01 1.125386e-02
3.848820e+01 1.048170e-02
3.911070e+01 1.005125e-02
3.974320e+01 9.643967e-03
4.038610e+01 9.253218e-03
4.103930e+01 8.909521e-03
4.170310e+01 8.749584e-03
4.237760e+01 8.592469e-03
4.306300e+01 8.438250e-03
4.375950e+01 8.351504e-03
4.446730e+01 8.390314e-03
4.518650e+01 8.429294e-03
4.591740e+01 8.511135e-03
4.666000e+01 8.684900e-03
4.741470e+01 8.862175e-03
4.818160e+01 9.043119e-03
4.896090e+01 9.227699e-03
4.975280e+01 9.539028e-03
5.055760e+01 9.890711e-03
5.137530e+01 1.025535e-02
5.220620e+01 1.063539e-02
5.305060e+01 1.105720e-02
5.390870e+01 1.149582e-02
5.478060e+01 1.195175e-02
5.566670e+01 1.242580e-02
5.656700e+01 1.291859e-02
5.748200e+01 1.343093e-02
5.841170e+01 1.396370e-02
5.935640e+01 1.462135e-02
6.031650e+01 1.538700e-02
6.129210e+01 1.619288e-02
6.228340e+01 1.704076e-02
6.329080e+01 1.793316e-02
6.431450e+01 1.887226e-02
6.535470e+01 1.986052e-02
6.641180e+01 2.085637e-02
6.748590e+01 2.162475e-02
6.857750e+01 2.242158e-02
6.968670e+01 2.324773e-02
7.081380e+01 2.410430e-02
7.195910e+01 2.499246e-02
7.312300e+01 2.591335e-02
7.430570e+01 2.686816e-02
7.550760e+01 2.767304e-02
7.672890e+01 2.803494e-02
7.796990e+01 2.840156e-02
7.923100e+01 2.877299e-02
8.051250e+01 2.914925e-02
8.181470e+01 2.953046e-02
8.313800e+01 2.991668e-02
8.448270e+01 3.016648e-02
8.584910e+01 3.035508e-02
8.723770e+01 3.054489e-02
8.864870e+01 3.073584e-02
9.008250e+01 3.092804e-02
9.153950e+01 3.110194e-02
9.302010e+01 3.120375e-02
9.452460e+01 3.130595e-02
9.605350e+01 3.140843e-02
9.760710e+01 3.151128e-02
9.918580e+01 3.161446e-02
1.007900e+02 3.171804e-02
1.024200e+02 3.182185e-02
1.040770e+02 3.192612e-02
1.057600e+02 3.203048e-02
1.074710e+02 3.213547e-02
1.092090e+02 3.222847e-02
1.109750e+02 3.228150e-02
1.127700e+02 3.233466e-02
1.145940e+02 3.238791e-02
1.164480e+02 3.244149e-02
1.183310e+02 3.249481e-02
1.202450e+02 3.254837e-02
1.221900e+02 3.260216e-02
1.241660e+02 3.265584e-02
1.261750e+02 3.270964e-02
1.282150e+02 3.276354e-02
1.302890e+02 3.281749e-02
