# material=Ho density=8.795
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.658578e-01
1.016170e+01 2.638326e-01
1.032610e+01 2.618239e-01
1.049310e+01 2.598286e-01
1.066280e+01 2.578485e-01
1.083530e+01 2.558854e-01
1.101060e+01 2.533735e-01
1.118860e+01 2.482390e-01
1.136960e+01 2.432098e-01
1.155350e+01 2.382828e-01
1.174040e+01 2.337534e-01
1.193030e+01 2.297953e-01
1.212320e+01 2.259028e-01
1.231930e+01 2.220780e-01
1.251860e+01 2.180448e-01
1.272100e+01 2.138981e-01
1.292680e+01 2.098332e-01
1.313590e+01 2.059703e-01
1.334830e+01 2.026199e-01
1.356420e+01 1.993250e-01
1.378360e+01 1.960839e-01
1.400660e+01 1.928966e-01
1.423310e+01 1.902620e-01
1.446330e+01 1.877508e-01
1.469730e+01 1.852733e-01
1.493500e+01 1.826705e-01
1.517650e+01 1.799050e-01
1.542200e+01 1.771831e-01
1.567140e+01 1.745821e-01
1.592490e+01 1.736925e-01
1.618250e+01 1.728073e-01
1.644420e+01 1.719258e-01
1.671020e+01 1.702206e-01
1.698050e+01 1.662452e-01
1.725510e+01 1.623619e-01
1.753420e+01 1.604959e-01
1.781780e+01 1.591240e-01
1.810600e+01 1.577645e-01
1.839890e+01 1.564071e-01
1.869640e+01 1.547563e-01
1.899880e+01 1.531237e-01
1.930610e+01 1.515086e-01
1.961840e+01 1.496927e-01
1.993570e+01 1.478956e-01
2.025820e+01 1.461205e-01
2.058580e+01 1.435845e-01
2.091880e+01 1.408764e-01
2.125710e+01 1.382188e-01
2.160090e+01 1.349673e-01
2.195030e+01 1.307681e-01
2.230530e+01 1.257153e-01
2.266610e+01 1.145417e-01
2.303270e+01 1.057459e-01
2.340530e+01 9.829033e-02
2.378380e+01 8.107773e-02
2.416850e+01 7.430382e-02
2.455940e+01 6.785510e-02
2.495660e+01 5.953162e-02
2.536030e+01 4.956669e-02
2.577050e+01 4.476897e-02
2.618730e+01 3.925206e-02
2.661090e+01 3.417153e-02
2.704130e+01 3.006886e-02
2.747860e+01 2.673876e-02
2.792310e+01 2.423059e-02
2.837470e+01 2.236448e-02
2.883370e+01 2.074677e-02
2.930000e+01 1.924464e-02
2.977390e+01 1.779042e-02
3.025550e+01 1.644610e-02
3.074490e+01 1.520339e-02
3.124210e+01 1.433464e-02
3.174750e+01 1.354913e-02
3.226090e+01 1.302258e-02
3.278270e+01 1.275757e-02
3.331300e+01 1.249792e-02
3.385180e+01 1.238620e-02
3.439930e+01 1.230298e-02
3.495570e+01 1.226746e-02
3.552110e+01 1.231306e-02
3.609560e+01 1.235888e-02
3.667940e+01 1.259137e-02
3.727270e+01 1.284411e-02
3.787550e+01 1.310188e-02
3.848820e+01 1.336497e-02
3.911070e+01 1.363330e-02
3.974320e+01 1.395672e-02
4.038610e+01 1.434745e-02
4.103930e+01 1.474916e-02
4.170310e+01 1.516222e-02
4.237760e+01 1.558662e-02
4.306300e+01 1.602306e-02
4.375950e+01 1.647730e-02
4.446730e+01 1.694759e-02
4.518650e+01 1.743114e-02
4.591740e+01 1.792850e-02
4.666000e+01 1.843996e-02
4.741470e+01 1.896611e-02
4.818160e+01 1.950733e-02
4.896090e+01 2.006401e-02
4.975280e+01 2.063655e-02
5.055760e+01 2.122541e-02
5.137530e+01 2.179954e-02
5.220620e+01 2.238658e-02
5.305060e+01 2.298956e-02
5.390870e+01 2.360868e-02
5.478060e+01 2.424449e-02
5.566670e+01 2.489747e-02
5.656700e+01 2.556793e-02
5.748200e+01 2.625655e-02
5.841170e+01 2.694866e-02
5.935640e+01 2.753318e-02
6.031650e+01 2.813044e-02
6.129210e+01 2.874061e-02
6.228340e+01 2.936401e-02
6.329080e+01 3.000092e-02
6.431450e+01 3.065167e-02
6.535470e+01 3.131652e-02
6.641180e+01 3.199579e-02
6.748590e+01 3.263365e-02
6.857750e+01 3.314611e-02
6.968670e+01 3.366667e-02
7.081380e+01 3.419533e-02
7.195910e+01 3.473231e-02
7.312300e+01 3.527773e-02
7.430570e+01 3.583168e-02
7.550760e+01 3.639440e-02
7.672890e+01 3.696591e-02
7.796990e+01 3.754642e-02
7.923100e+01 3.813599e-02
8.051250e+01 3.868983e-02
8.181470e+01 3.908175e-02
8.313800e+01 3.947757e-02
8.448270e+01 3.987747e-02
8.584910e+01 4.028138e-02
8.723770e+01 4.068941e-02
8.864870e+01 4.110155e-02
9.008250e+01 4.151787e-02
9.153950e+01 4.193838e-02
9.302010e+01 4.236320e-02
9.452460e+01 4.279229e-02
9.605350e+01 4.322575e-02
9.760710e+01 4.366361e-02
9.918580e+01 4.410604e-02
1.007900e+02 4.455266e-02
1.024200e+02 4.514689e-02
1.040770e+02 4.577090e-02
1.057600e+02 4.640298e-02
1.074710e+02 4.704439e-02
1.092090e+02 4.769462e-02
1.109750e+02 4.835357e-02
1.127700e+02 4.902161e-02
1.145940e+02 4.972962e-02
1.164480e+02 5.053665e-02
1.183310e+02 5.135634e-02
1.202450e+02 5.218957e-02
1.221900e+02 5.303633e-02
1.241660e+02 5.398392e-02
1.261750e+02 5.587013e-02
1.282150e+02 5.782120e-02
1.302890e+02 5.984096e-02
1.323970e+02 6.193152e-02
1.345380e+02 6.433320e-02
1.367140e+02 6.685170e-02
1.389250e+02 6.946874e-02
1.411720e+02 7.218822e-02
1.434560e+02 7.756437e-02
1.457760e+02 8.431912e-02
1.481340e+02 9.037830e-02
1.505300e+02 9.687075e-02
1.529640e+02 1.078691e-01
1.554390e+02 6.075522e-02
1.579530e+02 1.424250e-02
1.605070e+02 1.743596e-02
1.631030e+02 2.201849e-02
1.657420e+02 2.778566e-02
1.684220e+02 2.978843e-02
1.711460e+02 3.193555e-02
1.739150e+02 3.423764e-02
1.767270e+02 3.655392e-02
1.795860e+02 3.772537e-02
1.824910e+02 3.893429e-02
1.854420e+02 4.018158e-02
1.884420e+02 4.146918e-02
1.914890e+02 4.279783e-02
1.945870e+02 4.416919e-02
1.977340e+02 4.558450e-02
2.009320e+02 4.675151e-02
2.041820e+02 4.767647e-02
2.074850e+02 4.861968e-02
2.108400e+02 4.958157e-02
2.142510e+02 5.056247e-02
2.177160e+02 5.156288e-02
2.212370e+02 5.258289e-02
2.248160e+02 5.362343e-02
2.284520e+02 5.468416e-02
2.321470e+02 5.576993e-02
2.359020e+02 5.713028e-02
2.397170e+02 5.852362e-02
2.435950e+02 5.995120e-02
2.475350e+02 6.141368e-02
2.515380e+02 6.291153e-02
2.556070e+02 6.444608e-02
2.597410e+02 6.601802e-02
2.639420e+02 6.750312e-02
2.682110e+02 6.875353e-02
2.725490e+02 7.002747e-02
2.769570e+02 7.132494e-02
2.814370e+02 7.264619e-02
2.859890e+02 7.399218e-02
2.906150e+02 7.536317e-02
2.953150e+02 7.675977e-02
3.000920e+02 7.793325e-02
3.049450e+02 7.912025e-02
3.098780e+02 8.032579e-02
3.148900e+02 8.154910e-02
3.199830e+02 8.279156e-02
3.251580e+02 8.405245e-02
3.304180e+02 8.533295e-02
3.357620e+02 8.663275e-02
3.411920e+02 8.786337e-02
3.467110e+02 8.907512e-02
3.523190e+02 9.030349e-02
3.580170e+02 9.154860e-02
3.638080e+02 9.281107e-02
3.696920e+02 9.409130e-02
3.756720e+02 9.538883e-02
3.817480e+02 9.670406e-02
