# material=I density=4.94
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 7.809936e-03
1.016170e+01 8.197229e-03
1.032610e+01 8.603793e-03
1.049310e+01 9.046734e-03
1.066280e+01 9.526164e-03
1.083530e+01 9.749978e-03
1.101060e+01 9.872025e-03
1.118860e+01 9.391021e-03
1.136960e+01 8.821970e-03
1.155350e+01 8.270742e-03
1.174040e+01 7.753976e-03
1.193030e+01 7.276507e-03
1.212320e+01 6.859348e-03
1.231930e+01 6.798476e-03
1.251860e+01 6.738213e-03
1.272100e+01 6.797114e-03
1.292680e+01 6.939024e-03
1.313590e+01 7.083907e-03
1.334830e+01 7.231797e-03
1.356420e+01 7.387183e-03
1.378360e+01 7.570152e-03
1.400660e+01 7.757672e-03
1.423310e+01 7.949692e-03
1.446330e+01 8.146615e-03
1.469730e+01 8.348358e-03
1.493500e+01 8.555096e-03
1.517650e+01 8.859781e-03
1.542200e+01 9.238812e-03
1.567140e+01 9.633964e-03
1.592490e+01 1.004610e-02
1.618250e+01 1.047585e-02
1.644420e+01 1.092395e-02
1.671020e+01 1.139125e-02
1.698050e+01 1.187855e-02
1.725510e+01 1.238664e-02
1.753420e+01 1.291650e-02
1.781780e+01 1.346903e-02
1.810600e+01 1.404519e-02
1.839890e+01 1.464604e-02
1.869640e+01 1.537881e-02
1.899880e+01 1.622606e-02
1.930610e+01 1.712000e-02
1.961840e+01 1.806323e-02
1.993570e+01 1.905834e-02
2.025820e+01 2.010837e-02
2.058580e+01 2.121609e-02
2.091880e+01 2.238498e-02
2.125710e+01 2.361816e-02
2.160090e+01 2.491931e-02
2.195030e+01 2.629218e-02
2.230530e+01 2.774067e-02
2.266610e+01 2.950869e-02
2.303270e+01 3.166126e-02
2.340530e+01 3.397086e-02
2.378380e+01 3.644887e-02
2.416850e+01 3.910763e-02
2.455940e+01 4.196042e-02
2.495660e+01 4.502120e-02
2.536030e+01 4.830543e-02
2.577050e+01 5.182909e-02
2.618730e+01 5.560976e-02
2.661090e+01 5.966652e-02
2.704130e+01 6.401884e-02
2.747860e+01 6.868855e-02
2.792310e+01 7.369919e-02
2.837470e+01 7.897693e-02
2.883370e+01 8.454308e-02
2.930000e+01 9.050086e-02
2.977390e+01 9.687905e-02
3.025550e+01 1.037072e-01
3.074490e+01 1.110159e-01
3.124210e+01 1.186000e-01
3.174750e+01 1.264521e-01
3.226090e+01 1.348244e-01
3.278270e+01 1.437510e-01
3.331300e+01 1.532685e-01
3.385180e+01 1.634153e-01
3.439930e+01 1.742353e-01
3.495570e+01 1.859121e-01
3.552110e+01 1.987343e-01
3.609560e+01 2.124386e-01
3.667940e+01 2.270901e-01
3.727270e+01 2.427512e-01
3.787550e+01 2.558465e-01
3.848820e+01 2.676418e-01
3.911070e+01 2.799797e-01
3.974320e+01 2.928862e-01
4.038610e+01 3.063886e-01
4.103930e+01 3.107417e-01
4.170310e+01 3.142726e-01
4.237760e+01 3.178439e-01
4.306300e+01 3.192649e-01
4.375950e+01 3.151029e-01
4.446730e+01 3.109948e-01
4.518650e+01 3.055317e-01
4.591740e+01 2.868140e-01
4.666000e+01 2.163360e-01
4.741470e+01 1.446316e-01
4.818160e+01 9.669317e-02
4.896090e+01 6.464451e-02
4.975280e+01 4.321770e-02
