# material=In density=7.31
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.726114e-02
1.016170e+01 1.832337e-02
1.032610e+01 1.945113e-02
1.049310e+01 2.064820e-02
1.066280e+01 2.191892e-02
1.083530e+01 2.339916e-02
1.101060e+01 2.651764e-02
1.118860e+01 3.076878e-02
1.136960e+01 4.272670e-02
1.155350e+01 5.811827e-02
1.174040e+01 6.658123e-02
1.193030e+01 7.268427e-02
1.212320e+01 7.887675e-02
1.231930e+01 8.557028e-02
1.251860e+01 9.166267e-02
1.272100e+01 9.663257e-02
1.292680e+01 1.018728e-01
1.313590e+01 1.073861e-01
1.334830e+01 1.131415e-01
1.356420e+01 1.192057e-01
1.378360e+01 1.242625e-01
1.400660e+01 1.291397e-01
1.423310e+01 1.341201e-01
1.446330e+01 1.390681e-01
1.469730e+01 1.421302e-01
1.493500e+01 1.439028e-01
1.517650e+01 1.429958e-01
1.542200e+01 1.402577e-01
1.567140e+01 1.354213e-01
1.592490e+01 1.303795e-01
1.618250e+01 1.233595e-01
1.644420e+01 8.874625e-02
1.671020e+01 5.760165e-02
1.698050e+01 4.247365e-02
1.725510e+01 3.609776e-02
1.753420e+01 3.406220e-02
1.781780e+01 3.425250e-02
1.810600e+01 3.452223e-02
1.839890e+01 3.493188e-02
1.869640e+01 3.567727e-02
1.899880e+01 3.684580e-02
1.930610e+01 3.785739e-02
1.961840e+01 3.883600e-02
1.993570e+01 4.069518e-02
2.025820e+01 4.278164e-02
2.058580e+01 4.380558e-02
2.091880e+01 4.484733e-02
2.125710e+01 4.591385e-02
2.160090e+01 4.646740e-02
2.195030e+01 4.624855e-02
2.230530e+01 4.603048e-02
2.266610e+01 4.537108e-02
2.303270e+01 4.400462e-02
2.340530e+01 4.267941e-02
2.378380e+01 4.139390e-02
2.416850e+01 3.999122e-02
2.455940e+01 3.858559e-02
2.495660e+01 3.722922e-02
2.536030e+01 3.592067e-02
2.577050e+01 3.477939e-02
2.618730e+01 3.325379e-02
2.661090e+01 3.169905e-02
2.704130e+01 3.021694e-02
2.747860e+01 2.928623e-02
2.792310e+01 2.841780e-02
2.837470e+01 2.757498e-02
2.883370e+01 2.646506e-02
2.930000e+01 2.526981e-02
2.977390e+01 2.433453e-02
3.025550e+01 2.375250e-02
3.074490e+01 2.318443e-02
3.124210e+01 2.259820e-02
3.174750e+01 2.184456e-02
3.226090e+01 2.111593e-02
3.278270e+01 2.041164e-02
3.331300e+01 1.973271e-02
3.385180e+01 1.908370e-02
3.439930e+01 1.868487e-02
3.495570e+01 1.829438e-02
3.552110e+01 1.791206e-02
3.609560e+01 1.753772e-02
3.667940e+01 1.717119e-02
3.727270e+01 1.681235e-02
3.787550e+01 1.646098e-02
3.848820e+01 1.611700e-02
3.911070e+01 1.578018e-02
3.974320e+01 1.549934e-02
4.038610e+01 1.525737e-02
4.103930e+01 1.501907e-02
4.170310e+01 1.478466e-02
4.237760e+01 1.455380e-02
4.306300e+01 1.432651e-02
4.375950e+01 1.410282e-02
4.446730e+01 1.388264e-02
4.518650e+01 1.374212e-02
4.591740e+01 1.361736e-02
4.666000e+01 1.349366e-02
4.741470e+01 1.337108e-02
4.818160e+01 1.324970e-02
4.896090e+01 1.313877e-02
4.975280e+01 1.308035e-02
5.055760e+01 1.302227e-02
5.137530e+01 1.296441e-02
5.220620e+01 1.290673e-02
5.305060e+01 1.284944e-02
5.390870e+01 1.279972e-02
5.478060e+01 1.275800e-02
5.566670e+01 1.271650e-02
5.656700e+01 1.267502e-02
5.748200e+01 1.263379e-02
5.841170e+01 1.259262e-02
5.935640e+01 1.261206e-02
6.031650e+01 1.271301e-02
6.129210e+01 1.281480e-02
6.228340e+01 1.291736e-02
6.329080e+01 1.302073e-02
6.431450e+01 1.306094e-02
6.535470e+01 1.303496e-02
6.641180e+01 1.300911e-02
6.748590e+01 1.298329e-02
6.857750e+01 1.316561e-02
6.968670e+01 1.337546e-02
7.081380e+01 1.357852e-02
7.195910e+01 1.357848e-02
7.312300e+01 1.357851e-02
7.430570e+01 1.357845e-02
7.550760e+01 1.340893e-02
7.672890e+01 1.314357e-02
7.796990e+01 1.288339e-02
7.923100e+01 1.262838e-02
8.051250e+01 1.251556e-02
8.181470e+01 1.255506e-02
8.313800e+01 1.259466e-02
8.448270e+01 1.263444e-02
8.584910e+01 1.299387e-02
8.723770e+01 1.351702e-02
8.864870e+01 1.406117e-02
9.008250e+01 1.462730e-02
9.153950e+01 1.521616e-02
9.302010e+01 1.582883e-02
9.452460e+01 1.647757e-02
9.605350e+01 1.789559e-02
9.760710e+01 1.943570e-02
9.918580e+01 2.110830e-02
1.007900e+02 2.292499e-02
1.024200e+02 2.489773e-02
1.040770e+02 2.704066e-02
1.057600e+02 2.936756e-02
1.074710e+02 3.189513e-02
1.092090e+02 3.464079e-02
1.109750e+02 3.782932e-02
1.127700e+02 4.131153e-02
1.145940e+02 4.511432e-02
1.164480e+02 4.926726e-02
1.183310e+02 5.380195e-02
1.202450e+02 5.875452e-02
1.221900e+02 6.416283e-02
1.241660e+02 7.006877e-02
1.261750e+02 7.651902e-02
1.282150e+02 8.356209e-02
1.302890e+02 9.125401e-02
1.323970e+02 1.031599e-01
1.345380e+02 1.222382e-01
1.367140e+02 1.448444e-01
1.389250e+02 1.716316e-01
1.411720e+02 1.999375e-01
1.434560e+02 2.253998e-01
1.457760e+02 2.530772e-01
1.481340e+02 2.797070e-01
1.505300e+02 3.011292e-01
1.529640e+02 3.147169e-01
1.554390e+02 3.200967e-01
1.579530e+02 3.192051e-01
1.605070e+02 3.173259e-01
1.631030e+02 3.128861e-01
1.657420e+02 3.085098e-01
1.684220e+02 3.040036e-01
1.711460e+02 2.975101e-01
1.739150e+02 2.911559e-01
1.767270e+02 2.849344e-01
1.795860e+02 2.788482e-01
1.824910e+02 2.721966e-01
1.854420e+02 2.656474e-01
1.884420e+02 2.592578e-01
1.914890e+02 2.530197e-01
1.945870e+02 2.469339e-01
1.977340e+02 2.412491e-01
2.009320e+02 2.358335e-01
2.041820e+02 2.305395e-01
2.074850e+02 2.253650e-01
2.108400e+02 2.203046e-01
2.142510e+02 2.153598e-01
2.177160e+02 2.105247e-01
2.212370e+02 2.073888e-01
2.248160e+02 2.045531e-01
2.284520e+02 2.017551e-01
2.321470e+02 1.989955e-01
2.359020e+02 1.962740e-01
2.397170e+02 1.935894e-01
2.435950e+02 1.909421e-01
2.475350e+02 1.896457e-01
2.515380e+02 1.885521e-01
2.556070e+02 1.874655e-01
2.597410e+02 1.863848e-01
2.639420e+02 1.853106e-01
2.682110e+02 1.842425e-01
