# material=Ir density=22.65
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 9.053594e-03
1.016170e+01 8.883730e-03
1.032610e+01 8.717136e-03
1.049310e+01 8.553595e-03
1.066280e+01 8.393147e-03
1.083530e+01 8.232974e-03
1.101060e+01 8.074546e-03
1.118860e+01 7.919076e-03
1.136960e+01 7.778400e-03
1.155350e+01 7.736277e-03
1.174040e+01 7.694421e-03
1.193030e+01 7.652750e-03
1.212320e+01 7.611284e-03
1.231930e+01 7.616229e-03
1.251860e+01 7.640276e-03
1.272100e+01 7.664300e-03
1.292680e+01 7.688491e-03
1.313590e+01 7.712728e-03
1.334830e+01 7.742315e-03
1.356420e+01 7.772182e-03
1.378360e+01 7.802155e-03
1.400660e+01 7.814007e-03
1.423310e+01 7.756421e-03
1.446330e+01 7.699265e-03
1.469730e+01 7.642573e-03
1.493500e+01 7.586257e-03
1.517650e+01 7.516891e-03
1.542200e+01 7.412952e-03
1.567140e+01 7.310415e-03
1.592490e+01 7.209332e-03
1.618250e+01 7.083723e-03
1.644420e+01 6.947646e-03
1.671020e+01 6.814218e-03
1.698050e+01 6.683340e-03
1.725510e+01 6.554956e-03
1.753420e+01 6.422332e-03
1.781780e+01 6.257247e-03
1.810600e+01 6.096402e-03
1.839890e+01 5.939715e-03
1.869640e+01 5.787000e-03
1.899880e+01 5.678004e-03
1.930610e+01 5.581577e-03
1.961840e+01 5.486787e-03
1.993570e+01 5.393597e-03
2.025820e+01 5.316230e-03
2.058580e+01 5.261432e-03
2.091880e+01 5.207224e-03
2.125710e+01 5.153552e-03
2.160090e+01 5.109809e-03
2.195030e+01 5.096971e-03
2.230530e+01 5.084155e-03
2.266610e+01 5.071383e-03
2.303270e+01 5.058633e-03
2.340530e+01 5.096283e-03
2.378380e+01 5.141665e-03
2.416850e+01 5.187468e-03
2.455940e+01 5.233665e-03
2.495660e+01 5.281542e-03
2.536030e+01 5.332602e-03
2.577050e+01 5.384157e-03
2.618730e+01 5.436197e-03
2.661090e+01 5.488758e-03
2.704130e+01 5.565885e-03
2.747860e+01 5.678061e-03
2.792310e+01 5.792529e-03
2.837470e+01 5.909285e-03
2.883370e+01 6.028420e-03
2.930000e+01 6.149923e-03
2.977390e+01 6.285740e-03
3.025550e+01 6.481591e-03
3.074490e+01 6.683544e-03
3.124210e+01 6.891762e-03
3.174750e+01 7.106501e-03
3.226090e+01 7.367706e-03
3.278270e+01 7.739374e-03
3.331300e+01 8.129814e-03
3.385180e+01 8.539925e-03
3.439930e+01 8.874912e-03
3.495570e+01 9.186052e-03
3.552110e+01 9.508114e-03
3.609560e+01 9.841449e-03
3.667940e+01 1.009666e-02
3.727270e+01 1.029214e-02
3.787550e+01 1.049136e-02
3.848820e+01 1.069450e-02
3.911070e+01 1.090152e-02
3.974320e+01 1.110093e-02
4.038610e+01 1.119728e-02
4.103930e+01 1.129443e-02
4.170310e+01 1.139243e-02
4.237760e+01 1.149128e-02
4.306300e+01 1.159099e-02
4.375950e+01 1.165598e-02
4.446730e+01 1.169900e-02
4.518650e+01 1.174217e-02
4.591740e+01 1.178553e-02
4.666000e+01 1.178172e-02
4.741470e+01 1.175042e-02
4.818160e+01 1.101204e-02
4.896090e+01 9.803239e-03
4.975280e+01 8.689387e-03
5.055760e+01 8.760678e-03
5.137530e+01 8.832550e-03
5.220620e+01 8.904952e-03
5.305060e+01 8.977985e-03
5.390870e+01 9.051652e-03
5.478060e+01 9.125870e-03
5.566670e+01 9.200750e-03
5.656700e+01 9.276267e-03
5.748200e+01 9.352321e-03
5.841170e+01 9.429035e-03
5.935640e+01 9.458057e-03
6.031650e+01 9.342283e-03
6.129210e+01 9.227974e-03
6.228340e+01 9.088322e-03
6.329080e+01 8.854877e-03
6.431450e+01 8.627380e-03
6.535470e+01 8.528819e-03
6.641180e+01 8.532058e-03
6.748590e+01 8.564909e-03
6.857750e+01 8.909787e-03
6.968670e+01 9.268619e-03
7.081380e+01 9.763938e-03
7.195910e+01 1.044276e-02
7.312300e+01 1.116879e-02
7.430570e+01 1.194527e-02
7.550760e+01 1.274639e-02
7.672890e+01 1.359757e-02
7.796990e+01 1.450555e-02
7.923100e+01 1.547433e-02
8.051250e+01 1.650762e-02
8.181470e+01 1.757472e-02
8.313800e+01 1.835752e-02
8.448270e+01 1.917517e-02
8.584910e+01 2.002920e-02
8.723770e+01 2.092134e-02
8.864870e+01 2.185319e-02
9.008250e+01 2.282654e-02
9.153950e+01 2.384320e-02
9.302010e+01 2.469129e-02
9.452460e+01 2.555498e-02
9.605350e+01 2.644894e-02
9.760710e+01 2.737417e-02
9.918580e+01 2.833175e-02
1.007900e+02 2.932279e-02
1.024200e+02 3.035538e-02
1.040770e+02 3.147063e-02
1.057600e+02 3.262658e-02
1.074710e+02 3.382531e-02
1.092090e+02 3.506776e-02
1.109750e+02 3.618594e-02
1.127700e+02 3.711515e-02
1.145940e+02 3.806829e-02
1.164480e+02 3.904598e-02
1.183310e+02 3.979056e-02
1.202450e+02 4.002910e-02
1.221900e+02 4.026912e-02
1.241660e+02 4.051048e-02
1.261750e+02 4.075355e-02
1.282150e+02 4.053201e-02
1.302890e+02 4.015143e-02
1.323970e+02 3.977456e-02
1.345380e+02 3.940090e-02
1.367140e+02 3.903086e-02
1.389250e+02 3.866422e-02
1.411720e+02 3.821306e-02
1.434560e+02 3.756247e-02
1.457760e+02 3.692272e-02
1.481340e+02 3.629398e-02
1.505300e+02 3.567593e-02
1.529640e+02 3.507219e-02
1.554390e+02 3.449596e-02
1.579530e+02 3.392897e-02
1.605070e+02 3.337116e-02
1.631030e+02 3.282266e-02
1.657420e+02 3.228326e-02
1.684220e+02 3.177741e-02
1.711460e+02 3.146132e-02
1.739150e+02 3.114838e-02
1.767270e+02 3.083835e-02
1.795860e+02 3.053176e-02
1.824910e+02 3.022803e-02
1.854420e+02 2.984706e-02
1.884420e+02 2.941598e-02
1.914890e+02 2.899066e-02
1.945870e+02 2.860273e-02
1.977340e+02 2.827677e-02
2.009320e+02 2.795468e-02
2.041820e+02 2.763622e-02
2.074850e+02 2.732140e-02
2.108400e+02 2.700996e-02
2.142510e+02 2.670230e-02
2.177160e+02 2.639791e-02
2.212370e+02 2.615587e-02
2.248160e+02 2.597017e-02
2.284520e+02 2.578565e-02
2.321470e+02 2.560247e-02
2.359020e+02 2.542063e-02
2.397170e+02 2.523995e-02
2.435950e+02 2.506067e-02
2.475350e+02 2.496512e-02
2.515380e+02 2.507578e-02
2.556070e+02 2.518697e-02
2.597410e+02 2.529852e-02
2.639420e+02 2.541071e-02
2.682110e+02 2.552343e-02
2.725490e+02 2.564030e-02
2.769570e+02 2.577115e-02
2.814370e+02 2.590286e-02
2.859890e+02 2.603523e-02
2.906150e+02 2.619082e-02
2.953150e+02 2.637980e-02
3.000920e+02 2.657020e-02
3.049450e+02 2.676185e-02
3.098780e+02 2.695501e-02
3.148900e+02 2.714951e-02
3.199830e+02 2.726827e-02
3.251580e+02 2.737897e-02
3.304180e+02 2.749006e-02
3.357620e+02 2.760160e-02
3.411920e+02 2.771360e-02
3.467110e+02 2.782611e-02
3.523190e+02 2.793908e-02
3.580170e+02 2.805240e-02
3.638080e+02 2.825487e-02
3.696920e+02 2.848979e-02
3.756720e+02 2.872669e-02
3.817480e+02 2.896561e-02
3.879220e+02 2.920639e-02
3.941970e+02 2.944927e-02
4.005730e+02 2.969427e-02
4.070520e+02 2.994113e-02
4.136350e+02 3.019004e-02
4.203260e+02 3.044120e-02
4.271240e+02 3.077912e-02
4.340320e+02 3.121134e-02
4.410520e+02 3.164968e-02
4.481860e+02 3.209423e-02
4.554350e+02 3.254503e-02
4.628020e+02 3.300225e-02
4.702870e+02 3.346571e-02
4.778940e+02 3.393578e-02
4.856230e+02 3.441240e-02
4.934780e+02 3.489583e-02
5.014590e+02 3.538587e-02
5.095700e+02 3.588290e-02
