# material=K density=0.856
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 3.167840e+00
1.016170e+01 3.125316e+00
1.032610e+01 3.083391e+00
1.049310e+01 3.042016e+00
1.066280e+01 3.001188e+00
1.083530e+01 2.960922e+00
1.101060e+01 2.921206e+00
1.118860e+01 2.881983e+00
1.136960e+01 2.843319e+00
1.155350e+01 2.805167e+00
1.174040e+01 2.776853e+00
1.193030e+01 2.768423e+00
1.212320e+01 2.759999e+00
1.231930e+01 2.751622e+00
1.251860e+01 2.743277e+00
1.272100e+01 2.734045e+00
1.292680e+01 2.723545e+00
1.313590e+01 2.713079e+00
1.334830e+01 2.702637e+00
1.356420e+01 2.691235e+00
1.378360e+01 2.678299e+00
1.400660e+01 2.665436e+00
1.423310e+01 2.652611e+00
1.446330e+01 2.639857e+00
1.469730e+01 2.622186e+00
1.493500e+01 2.599649e+00
1.517650e+01 2.577305e+00
1.542200e+01 2.555165e+00
1.567140e+01 2.549140e+00
1.592490e+01 2.474110e+00
1.618250e+01 2.257627e+00
1.644420e+01 1.924631e+00
1.671020e+01 1.795155e+00
1.698050e+01 1.841710e+00
1.725510e+01 1.889473e+00
1.753420e+01 1.957994e+00
1.781780e+01 1.903611e+00
1.810600e+01 1.560575e+00
1.839890e+01 1.176037e+00
1.869640e+01 8.721570e-01
1.899880e+01 6.505390e-01
1.930610e+01 4.700963e-01
1.961840e+01 3.060817e-01
1.993570e+01 1.582455e-01
2.025820e+01 4.703303e-02
2.058580e+01 4.034227e-02
2.091880e+01 3.772172e-02
2.125710e+01 3.527133e-02
2.160090e+01 3.298014e-02
2.195030e+01 3.083785e-02
2.230530e+01 2.948669e-02
2.266610e+01 2.841051e-02
2.303270e+01 2.737353e-02
2.340530e+01 2.637448e-02
2.378380e+01 2.541180e-02
2.416850e+01 2.448608e-02
2.455940e+01 2.367323e-02
2.495660e+01 2.288721e-02
2.536030e+01 2.212749e-02
2.577050e+01 2.139273e-02
2.618730e+01 2.081999e-02
2.661090e+01 2.071152e-02
2.704130e+01 2.060358e-02
2.747860e+01 2.049623e-02
2.792310e+01 2.038951e-02
2.837470e+01 2.028331e-02
2.883370e+01 2.023011e-02
2.930000e+01 2.045533e-02
2.977390e+01 2.068321e-02
3.025550e+01 2.091364e-02
3.074490e+01 2.114648e-02
3.124210e+01 2.138196e-02
3.174750e+01 2.179134e-02
3.226090e+01 2.239296e-02
3.278270e+01 2.301134e-02
3.331300e+01 2.364676e-02
3.385180e+01 2.429968e-02
3.439930e+01 2.498599e-02
3.495570e+01 2.662633e-02
3.552110e+01 2.837438e-02
3.609560e+01 3.063391e-02
3.667940e+01 3.308834e-02
3.727270e+01 3.590802e-02
3.787550e+01 3.997969e-02
3.848820e+01 4.451357e-02
3.911070e+01 4.946102e-02
3.974320e+01 5.491903e-02
4.038610e+01 6.125931e-02
4.103930e+01 6.895692e-02
4.170310e+01 7.762189e-02
4.237760e+01 8.670247e-02
4.306300e+01 9.625327e-02
4.375950e+01 1.068560e-01
4.446730e+01 1.199567e-01
4.518650e+01 1.368958e-01
4.591740e+01 1.617920e-01
4.666000e+01 2.015310e-01
4.741470e+01 2.404738e-01
4.818160e+01 2.874662e-01
4.896090e+01 3.439966e-01
4.975280e+01 4.191849e-01
5.055760e+01 5.117514e-01
5.137530e+01 6.220588e-01
5.220620e+01 7.481786e-01
5.305060e+01 8.465893e-01
5.390870e+01 9.244211e-01
5.478060e+01 9.993202e-01
5.566670e+01 1.064917e+00
5.656700e+01 1.090123e+00
5.748200e+01 1.115927e+00
5.841170e+01 1.091791e+00
5.935640e+01 1.067753e+00
6.031650e+01 1.034998e+00
6.129210e+01 9.994830e-01
6.228340e+01 9.421862e-01
6.329080e+01 8.855355e-01
6.431450e+01 8.256339e-01
6.535470e+01 7.879664e-01
6.641180e+01 7.536054e-01
6.748590e+01 7.207408e-01
6.857750e+01 6.876300e-01
6.968670e+01 6.552260e-01
7.081380e+01 6.259844e-01
7.195910e+01 6.007642e-01
7.312300e+01 5.770259e-01
7.430570e+01 5.594501e-01
7.550760e+01 5.424145e-01
7.672890e+01 5.302042e-01
7.796990e+01 5.211588e-01
7.923100e+01 5.122667e-01
8.051250e+01 5.040073e-01
8.181470e+01 4.981589e-01
8.313800e+01 4.923785e-01
8.448270e+01 4.879698e-01
8.584910e+01 4.864551e-01
8.723770e+01 4.849464e-01
8.864870e+01 4.834387e-01
9.008250e+01 4.819381e-01
9.153950e+01 4.856043e-01
9.302010e+01 4.931887e-01
9.452460e+01 4.997911e-01
9.605350e+01 5.039789e-01
9.760710e+01 5.082024e-01
9.918580e+01 5.124595e-01
1.007900e+02 5.167557e-01
1.024200e+02 5.246989e-01
1.040770e+02 5.330393e-01
1.057600e+02 5.407175e-01
1.074710e+02 5.482386e-01
1.092090e+02 5.558612e-01
1.109750e+02 5.635893e-01
1.127700e+02 5.714246e-01
1.145940e+02 5.793716e-01
1.164480e+02 5.874317e-01
1.183310e+02 5.955965e-01
1.202450e+02 6.038777e-01
1.221900e+02 6.122774e-01
1.241660e+02 6.207889e-01
1.261750e+02 6.321844e-01
1.282150e+02 6.445656e-01
1.302890e+02 6.571928e-01
1.323970e+02 6.700708e-01
1.345380e+02 6.831938e-01
1.367140e+02 6.965770e-01
1.389250e+02 7.102194e-01
1.411720e+02 7.241315e-01
1.434560e+02 7.383209e-01
1.457760e+02 7.527811e-01
1.481340e+02 7.675284e-01
1.505300e+02 7.825652e-01
1.529640e+02 7.978901e-01
1.554390e+02 8.135251e-01
1.579530e+02 8.294624e-01
1.605070e+02 8.477384e-01
1.631030e+02 8.676558e-01
1.657420e+02 8.880487e-01
1.684220e+02 9.089093e-01
1.711460e+02 9.302653e-01
1.739150e+02 9.521296e-01
1.767270e+02 9.744940e-01
1.795860e+02 9.973930e-01
1.824910e+02 1.020834e+00
1.854420e+02 1.044816e+00
1.884420e+02 1.069367e+00
1.914890e+02 1.094486e+00
1.945870e+02 1.121381e+00
1.977340e+02 1.151179e+00
2.009320e+02 1.181764e+00
2.041820e+02 1.213164e+00
2.074850e+02 1.245401e+00
2.108400e+02 1.278484e+00
2.142510e+02 1.312461e+00
2.177160e+02 1.347335e+00
2.212370e+02 1.383130e+00
2.248160e+02 1.419883e+00
2.284520e+02 1.457613e+00
2.321470e+02 1.498016e+00
2.359020e+02 1.540434e+00
2.397170e+02 1.584033e+00
2.435950e+02 1.628886e+00
2.475350e+02 1.675003e+00
2.515380e+02 1.722428e+00
2.556070e+02 1.771197e+00
2.597410e+02 1.821342e+00
2.639420e+02 1.872905e+00
2.682110e+02 1.925924e+00
2.725490e+02 1.980446e+00
2.769570e+02 2.036512e+00
2.814370e+02 2.094182e+00
2.859890e+02 2.153460e+00
2.906150e+02 2.214439e+00
2.945000e+02 2.266203e+00
2.947000e+02 2.105739e-01
2.953150e+02 2.113528e-01
3.000920e+02 2.174470e-01
3.049450e+02 2.237144e-01
3.098780e+02 2.301646e-01
3.148900e+02 2.368009e-01
3.199830e+02 2.436781e-01
3.251580e+02 2.516391e-01
3.304180e+02 2.598599e-01
3.357620e+02 2.663808e-01
3.411920e+02 2.724872e-01
3.467110e+02 2.787365e-01
3.523190e+02 2.851288e-01
3.580170e+02 2.916647e-01
3.638080e+02 2.983530e-01
3.696920e+02 3.051937e-01
3.756720e+02 3.121937e-01
3.817480e+02 3.193506e-01
3.879220e+02 3.266731e-01
3.941970e+02 3.341636e-01
4.005730e+02 3.432248e-01
4.070520e+02 3.538290e-01
4.136350e+02 3.647595e-01
4.203260e+02 3.760275e-01
4.271240e+02 3.876458e-01
4.340320e+02 3.996190e-01
4.410520e+02 4.119636e-01
4.481860e+02 4.246900e-01
4.554350e+02 4.385732e-01
4.628020e+02 4.546954e-01
4.702870e+02 4.714067e-01
4.778940e+02 4.887310e-01
4.856230e+02 5.066940e-01
4.934780e+02 5.253174e-01
5.014590e+02 5.446251e-01
5.095700e+02 5.646418e-01
5.178120e+02 5.853949e-01
5.261870e+02 6.069105e-01
5.346980e+02 6.298521e-01
5.433460e+02 6.538794e-01
