# material=La density=6.146
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.621401e-02
1.011520e+01 1.652462e-02
1.023170e+01 1.684110e-02
1.034960e+01 1.716377e-02
1.046880e+01 1.751755e-02
1.058940e+01 1.800054e-02
1.071140e+01 1.849695e-02
1.083480e+01 1.900698e-02
1.095960e+01 1.953103e-02
1.108590e+01 2.006969e-02
1.121360e+01 2.062308e-02
1.134280e+01 2.119173e-02
1.147340e+01 2.177600e-02
1.160560e+01 2.237649e-02
1.173930e+01 2.299350e-02
1.187450e+01 2.362745e-02
1.201130e+01 2.427895e-02
1.214970e+01 2.494845e-02
1.228970e+01 2.563642e-02
1.243120e+01 2.634320e-02
1.257440e+01 2.707199e-02
1.271930e+01 2.782962e-02
1.286580e+01 2.860817e-02
1.301400e+01 2.940865e-02
1.316400e+01 3.023160e-02
1.331560e+01 3.107740e-02
1.346900e+01 3.194699e-02
1.362420e+01 3.284085e-02
1.378110e+01 3.375965e-02
1.393990e+01 3.470442e-02
1.410050e+01 3.565174e-02
1.426290e+01 3.662232e-02
1.442720e+01 3.761952e-02
1.459340e+01 3.864368e-02
1.476150e+01 3.969572e-02
1.493160e+01 4.077665e-02
1.510360e+01 4.184336e-02
1.527760e+01 4.290616e-02
1.545360e+01 4.399559e-02
1.563160e+01 4.511284e-02
1.581170e+01 4.489490e-02
1.599380e+01 4.435329e-02
1.617810e+01 4.223447e-02
1.636440e+01 3.569829e-02
1.655290e+01 2.926894e-02
1.674360e+01 2.422071e-02
1.693650e+01 2.191132e-02
1.713160e+01 1.982207e-02
1.732900e+01 1.810851e-02
1.752860e+01 1.668942e-02
1.773050e+01 1.538153e-02
1.793480e+01 1.446380e-02
1.814140e+01 1.382278e-02
1.835040e+01 1.326899e-02
1.856180e+01 1.315401e-02
1.877560e+01 1.303999e-02
1.899190e+01 1.292699e-02
1.921070e+01 1.251301e-02
1.943200e+01 1.201275e-02
1.965580e+01 1.153246e-02
1.988230e+01 1.107143e-02
2.011130e+01 1.062877e-02
2.034300e+01 1.031654e-02
2.057730e+01 1.002875e-02
2.081440e+01 9.749040e-03
2.105420e+01 9.649633e-03
2.129670e+01 9.724843e-03
2.154210e+01 9.800738e-03
2.179020e+01 9.877134e-03
2.204120e+01 9.954196e-03
2.229520e+01 9.595529e-03
2.255200e+01 9.127918e-03
2.281180e+01 8.683087e-03
2.307460e+01 8.303122e-03
2.334040e+01 8.145547e-03
2.360930e+01 7.990988e-03
2.388120e+01 7.839315e-03
2.415640e+01 7.724704e-03
2.443460e+01 7.724718e-03
2.471610e+01 7.724684e-03
2.500080e+01 7.724706e-03
2.528890e+01 7.724711e-03
2.558020e+01 7.724728e-03
2.587490e+01 7.724728e-03
2.617290e+01 7.727699e-03
2.647440e+01 7.993995e-03
2.677940e+01 8.269497e-03
2.708790e+01 8.595250e-03
2.740000e+01 9.158015e-03
