# material=Li density=0.535
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.648312e-01
1.016170e+01 2.668011e-01
1.032610e+01 2.687874e-01
1.049310e+01 2.707864e-01
1.066280e+01 2.728002e-01
1.083530e+01 2.748325e-01
1.101060e+01 2.768780e-01
1.118860e+01 2.789380e-01
1.136960e+01 2.816919e-01
1.155350e+01 2.849271e-01
1.174040e+01 2.881970e-01
1.193030e+01 2.915054e-01
1.212320e+01 2.948494e-01
1.231930e+01 2.982331e-01
1.251860e+01 3.016580e-01
1.272100e+01 3.051187e-01
1.292680e+01 3.086215e-01
1.313590e+01 3.121633e-01
1.334830e+01 3.157457e-01
1.356420e+01 3.193703e-01
1.378360e+01 3.230435e-01
1.400660e+01 3.268116e-01
1.423310e+01 3.306203e-01
1.446330e+01 3.344757e-01
1.469730e+01 3.383770e-01
1.493500e+01 3.423209e-01
1.517650e+01 3.463090e-01
1.542200e+01 3.503474e-01
1.567140e+01 3.544305e-01
1.592490e+01 3.585645e-01
1.618250e+01 3.627460e-01
1.644420e+01 3.669741e-01
1.671020e+01 3.712522e-01
1.698050e+01 3.764464e-01
1.725510e+01 3.829967e-01
1.753420e+01 3.896630e-01
1.781780e+01 3.964455e-01
1.810600e+01 4.033470e-01
1.839890e+01 4.103671e-01
1.869640e+01 4.175069e-01
1.899880e+01 4.247735e-01
1.930610e+01 4.322365e-01
1.961840e+01 4.398513e-01
1.993570e+01 4.476033e-01
2.025820e+01 4.554910e-01
2.058580e+01 4.635160e-01
2.091880e+01 4.716856e-01
2.125710e+01 4.799948e-01
2.160090e+01 4.884520e-01
2.195030e+01 4.970600e-01
2.230530e+01 5.072037e-01
2.266610e+01 5.177872e-01
2.303270e+01 5.285901e-01
2.340530e+01 5.396194e-01
2.378380e+01 5.508794e-01
2.416850e+01 5.623712e-01
2.455940e+01 5.741057e-01
2.495660e+01 5.860836e-01
2.536030e+01 5.983168e-01
2.577050e+01 6.107989e-01
2.618730e+01 6.235441e-01
2.661090e+01 6.365556e-01
2.704130e+01 6.532729e-01
2.747860e+01 6.745029e-01
2.792310e+01 6.964311e-01
2.837470e+01 7.190607e-01
2.883370e+01 7.424336e-01
2.930000e+01 7.665592e-01
2.977390e+01 7.914767e-01
3.025550e+01 8.172013e-01
3.074490e+01 8.416871e-01
