# material=Lu density=9.841
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.522558e-02
1.016170e+01 2.620757e-02
1.032610e+01 2.722790e-02
1.049310e+01 2.828790e-02
1.066280e+01 2.938914e-02
1.083530e+01 3.053344e-02
1.101060e+01 3.172224e-02
1.118860e+01 3.293417e-02
1.136960e+01 3.372872e-02
1.155350e+01 3.454227e-02
1.174040e+01 3.537541e-02
1.193030e+01 3.627355e-02
1.212320e+01 3.743876e-02
1.231930e+01 3.864200e-02
1.251860e+01 3.988391e-02
1.272100e+01 4.130999e-02
1.292680e+01 4.278864e-02
1.313590e+01 4.432000e-02
1.334830e+01 4.590579e-02
1.356420e+01 4.754890e-02
1.378360e+01 4.924506e-02
1.400660e+01 5.095567e-02
1.423310e+01 5.272486e-02
1.446330e+01 5.455577e-02
1.469730e+01 5.645039e-02
1.493500e+01 5.838075e-02
1.517650e+01 6.019579e-02
1.542200e+01 6.206802e-02
1.567140e+01 6.399777e-02
1.592490e+01 6.598842e-02
1.618250e+01 6.835915e-02
1.644420e+01 7.124608e-02
1.671020e+01 7.425533e-02
1.698050e+01 7.739173e-02
1.725510e+01 8.066015e-02
1.753420e+01 8.404166e-02
1.781780e+01 8.728567e-02
1.810600e+01 9.065485e-02
1.839890e+01 9.415439e-02
1.869640e+01 9.778824e-02
1.899880e+01 1.015628e-01
1.930610e+01 1.053101e-01
1.961840e+01 1.091413e-01
1.993570e+01 1.131115e-01
2.025820e+01 1.172267e-01
2.058580e+01 1.214859e-01
2.091880e+01 1.256110e-01
2.125710e+01 1.298758e-01
2.160090e+01 1.342856e-01
2.195030e+01 1.388453e-01
2.230530e+01 1.436485e-01
2.266610e+01 1.486295e-01
2.303270e+01 1.535524e-01
2.340530e+01 1.568278e-01
2.378380e+01 1.601722e-01
2.416850e+01 1.635408e-01
2.455940e+01 1.667890e-01
2.495660e+01 1.701017e-01
2.536030e+01 1.734282e-01
2.577050e+01 1.763347e-01
2.618730e+01 1.792895e-01
2.661090e+01 1.811458e-01
2.704130e+01 1.781462e-01
2.747860e+01 1.734434e-01
2.792310e+01 1.671623e-01
2.837470e+01 1.523707e-01
2.883370e+01 1.288096e-01
2.930000e+01 5.551625e-02
2.977390e+01 3.741660e-02
3.025550e+01 2.085928e-02
3.074490e+01 1.607690e-02
3.124210e+01 1.356163e-02
3.174750e+01 1.249084e-02
3.226090e+01 1.198030e-02
3.278270e+01 1.177740e-02
3.331300e+01 1.162108e-02
3.385180e+01 1.157293e-02
3.439930e+01 1.152510e-02
3.495570e+01 1.139640e-02
3.552110e+01 1.126900e-02
3.609560e+01 1.126483e-02
3.667940e+01 1.146804e-02
3.727270e+01 1.166277e-02
3.787550e+01 1.186070e-02
3.848820e+01 1.225013e-02
3.911070e+01 1.284849e-02
3.974320e+01 1.326168e-02
4.038610e+01 1.366539e-02
4.103930e+01 1.408128e-02
4.170310e+01 1.450828e-02
4.237760e+01 1.494537e-02
4.306300e+01 1.539566e-02
4.375950e+01 1.592125e-02
4.446730e+01 1.650249e-02
4.518650e+01 1.710488e-02
