# material=Mg density=1.738
# Photon Energy [eV]  Attenuation Length [um]
5.000000e-01 1.138694e-02
5.079320e-01 1.133182e-02
5.159900e-01 1.127706e-02
5.241760e-01 1.122246e-02
5.324920e-01 1.116817e-02
5.409390e-01 1.111415e-02
5.495210e-01 1.106037e-02
5.582380e-01 1.100690e-02
5.670950e-01 1.095363e-02
5.760910e-01 1.090380e-02
5.852300e-01 1.087687e-02
5.945150e-01 1.084999e-02
6.039460e-01 1.082323e-02
6.135270e-01 1.079646e-02
6.232600e-01 1.076984e-02
6.331480e-01 1.074324e-02
6.431920e-01 1.071668e-02
6.533960e-01 1.069026e-02
6.637620e-01 1.066383e-02
6.742920e-01 1.063753e-02
6.849890e-01 1.061125e-02
6.958560e-01 1.058504e-02
7.068950e-01 1.055891e-02
7.181090e-01 1.053283e-02
7.295020e-01 1.050684e-02
7.410750e-01 1.048089e-02
7.528310e-01 1.045503e-02
7.647750e-01 1.042923e-02
7.769070e-01 1.040346e-02
7.892320e-01 1.037778e-02
8.017530e-01 1.035216e-02
8.144720e-01 1.032657e-02
8.273930e-01 1.030108e-02
8.405190e-01 1.027564e-02
8.538530e-01 1.025027e-02
8.673990e-01 1.022499e-02
8.811590e-01 1.019971e-02
8.951380e-01 1.017455e-02
9.093390e-01 1.014941e-02
9.237650e-01 1.012436e-02
9.384200e-01 1.009936e-02
9.533070e-01 1.007443e-02
9.684310e-01 1.004954e-02
9.837940e-01 1.002475e-02
9.994010e-01 9.999996e-03
1.015260e+00 9.993728e-03
1.031360e+00 9.988102e-03
1.047720e+00 9.982529e-03
1.064350e+00 9.977046e-03
1.081230e+00 9.971442e-03
1.098380e+00 9.965882e-03
1.115810e+00 9.960375e-03
1.133510e+00 9.954811e-03
1.151490e+00 9.949256e-03
1.169760e+00 9.943749e-03
1.188320e+00 9.938241e-03
1.207170e+00 9.932688e-03
1.226320e+00 9.927152e-03
1.245770e+00 9.921590e-03
1.265540e+00 9.916117e-03
1.285610e+00 9.910557e-03
1.306010e+00 9.905076e-03
1.326730e+00 9.899579e-03
1.347780e+00 9.894078e-03
1.369160e+00 9.888557e-03
1.390880e+00 9.883050e-03
1.412940e+00 9.877518e-03
1.435360e+00 9.872043e-03
1.458130e+00 9.866539e-03
1.481260e+00 9.861039e-03
1.504760e+00 9.855554e-03
1.528630e+00 9.850068e-03
1.552880e+00 9.844574e-03
1.577520e+00 9.839121e-03
1.602540e+00 9.833612e-03
1.627970e+00 9.828183e-03
1.653790e+00 9.822663e-03
1.680030e+00 9.817218e-03
1.706680e+00 9.811756e-03
1.733760e+00 9.806314e-03
1.761260e+00 9.800838e-03
1.789200e+00 9.795364e-03
1.817590e+00 9.789948e-03
1.846420e+00 9.784478e-03
1.875720e+00 9.779070e-03
1.905470e+00 9.773593e-03
1.935700e+00 9.768161e-03
1.966410e+00 9.762733e-03
1.997610e+00 9.757318e-03
2.029300e+00 9.751878e-03
2.061490e+00 9.746437e-03
