# material=Mn density=7.47
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 9.247722e-03
1.016170e+01 9.219014e-03
1.032610e+01 9.190501e-03
1.049310e+01 9.161978e-03
1.066280e+01 9.133562e-03
1.083530e+01 9.105272e-03
1.101060e+01 9.077090e-03
1.118860e+01 9.048874e-03
1.136960e+01 9.020854e-03
1.155350e+01 8.992889e-03
1.174040e+01 8.965005e-03
1.193030e+01 8.937226e-03
1.212320e+01 8.914675e-03
1.231930e+01 8.892236e-03
1.251860e+01 8.869891e-03
1.272100e+01 8.847516e-03
1.292680e+01 8.825271e-03
1.313590e+01 8.803036e-03
1.334830e+01 8.780834e-03
1.356420e+01 8.758716e-03
1.378360e+01 8.736670e-03
1.400660e+01 8.714711e-03
1.423310e+01 8.692737e-03
1.446330e+01 8.670860e-03
1.469730e+01 8.649039e-03
1.493500e+01 8.627263e-03
1.517650e+01 8.605496e-03
1.542200e+01 8.583845e-03
1.567140e+01 8.562215e-03
1.592490e+01 8.540682e-03
1.618250e+01 8.519186e-03
1.644420e+01 8.497695e-03
1.671020e+01 8.484435e-03
1.698050e+01 8.506345e-03
1.725510e+01 8.528259e-03
1.753420e+01 8.550286e-03
1.781780e+01 8.572362e-03
1.810600e+01 8.594476e-03
1.839890e+01 8.616682e-03
1.869640e+01 8.638876e-03
1.899880e+01 8.661180e-03
1.930610e+01 8.751735e-03
1.961840e+01 8.854058e-03
1.993570e+01 8.957544e-03
2.025820e+01 9.062284e-03
2.058580e+01 9.168165e-03
2.091880e+01 9.275369e-03
2.125710e+01 9.383756e-03
2.160090e+01 9.493442e-03
2.195030e+01 9.604421e-03
2.230530e+01 9.716670e-03
2.266610e+01 9.902795e-03
2.303270e+01 1.013201e-02
2.340530e+01 1.036657e-02
2.378380e+01 1.060652e-02
2.416850e+01 1.085204e-02
2.455940e+01 1.110324e-02
2.495660e+01 1.136025e-02
2.536030e+01 1.162323e-02
2.577050e+01 1.190512e-02
2.618730e+01 1.227074e-02
2.661090e+01 1.264762e-02
2.704130e+01 1.303606e-02
2.747860e+01 1.343641e-02
2.792310e+01 1.384912e-02
2.837470e+01 1.427443e-02
2.883370e+01 1.471285e-02
2.930000e+01 1.516419e-02
2.977390e+01 1.562742e-02
3.025550e+01 1.610480e-02
3.074490e+01 1.659682e-02
3.124210e+01 1.710379e-02
3.174750e+01 1.762629e-02
3.226090e+01 1.816470e-02
3.278270e+01 1.871964e-02
3.331300e+01 1.929153e-02
3.385180e+01 1.987427e-02
3.439930e+01 2.044167e-02
3.495570e+01 2.102538e-02
3.552110e+01 2.162565e-02
3.609560e+01 2.224303e-02
3.667940e+01 2.287810e-02
3.727270e+01 2.353133e-02
3.787550e+01 2.436849e-02
3.848820e+01 2.524701e-02
3.911070e+01 2.615712e-02
3.974320e+01 2.709999e-02
4.038610e+01 2.807699e-02
4.103930e+01 2.908612e-02
4.170310e+01 3.010062e-02
4.237760e+01 3.115041e-02
4.306300e+01 3.223683e-02
4.375950e+01 3.321664e-02
4.446730e+01 3.322561e-02
4.518650e+01 3.323458e-02
4.591740e+01 3.324361e-02
4.666000e+01 2.971142e-02
4.741470e+01 2.544740e-02
4.818160e+01 2.179535e-02
4.896090e+01 1.866745e-02
4.975280e+01 1.400248e-02
5.055760e+01 1.056014e-02
5.137530e+01 1.003939e-02
5.220620e+01 9.667154e-03
5.305060e+01 9.801053e-03
5.390870e+01 1.004914e-02
5.478060e+01 1.057762e-02
5.566670e+01 1.113391e-02
5.656700e+01 1.172214e-02
5.748200e+01 1.234293e-02
5.841170e+01 1.299657e-02
5.935640e+01 1.368483e-02
6.031650e+01 1.433670e-02
6.129210e+01 1.495105e-02
6.228340e+01 1.559168e-02
6.329080e+01 1.625977e-02
6.431450e+01 1.695651e-02
6.535470e+01 1.768309e-02
6.641180e+01 1.844080e-02
6.748590e+01 1.918173e-02
6.857750e+01 1.993522e-02
6.968670e+01 2.071836e-02
