# material=Mo density=10.28
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 9.908974e-03
1.014470e+01 1.020538e-02
1.030880e+01 1.052204e-02
1.047560e+01 1.083591e-02
1.064500e+01 1.115905e-02
1.081720e+01 1.146195e-02
1.099210e+01 1.149623e-02
1.116990e+01 1.122413e-02
1.135060e+01 1.082035e-02
1.153420e+01 1.023025e-02
1.172070e+01 9.610926e-03
1.191030e+01 9.089557e-03
1.210290e+01 8.638105e-03
1.229870e+01 8.260389e-03
1.249760e+01 7.965099e-03
1.269970e+01 7.697553e-03
1.290520e+01 7.469660e-03
1.311390e+01 7.277074e-03
1.320000e+01 7.199956e-03
1.340000e+01 7.162849e-03
1.361670e+01 7.047539e-03
1.380000e+01 6.952924e-03
1.400000e+01 6.923228e-03
1.420000e+01 6.826064e-03
1.440000e+01 6.816493e-03
1.460000e+01 6.773774e-03
1.483610e+01 6.677618e-03
1.507610e+01 6.570232e-03
1.532000e+01 6.437715e-03
1.540000e+01 6.395225e-03
1.560000e+01 6.211462e-03
1.580000e+01 6.075668e-03
1.605560e+01 5.833057e-03
1.631520e+01 5.600086e-03
1.657910e+01 5.376462e-03
1.684730e+01 5.222268e-03
1.711980e+01 5.077529e-03
1.739670e+01 4.936799e-03
1.740000e+01 4.935128e-03
1.760000e+01 4.878206e-03
1.788470e+01 4.863293e-03
1.817390e+01 4.848390e-03
1.840000e+01 4.836969e-03
1.860000e+01 4.873313e-03
1.890080e+01 5.006275e-03
1.900000e+01 5.050434e-03
1.920000e+01 5.119550e-03
1.951050e+01 5.271527e-03
1.982610e+01 5.428044e-03
2.014680e+01 5.589204e-03
2.047260e+01 5.755127e-03
2.080380e+01 5.926020e-03
2.114030e+01 6.101953e-03
2.148220e+01 6.275576e-03
2.180000e+01 6.416317e-03
2.200000e+01 6.493417e-03
2.235580e+01 6.698173e-03
2.271740e+01 6.931125e-03
2.300000e+01 7.152313e-03
2.320000e+01 7.335703e-03
2.357520e+01 7.774098e-03
2.380000e+01 8.045610e-03
2.400000e+01 8.306687e-03
2.438820e+01 8.953098e-03
2.440000e+01 8.973382e-03
2.460000e+01 9.272780e-03
2.499790e+01 9.959528e-03
2.500000e+01 9.963264e-03
2.540000e+01 1.050107e-02
2.581080e+01 1.121338e-02
2.622830e+01 1.197403e-02
2.665250e+01 1.278623e-02
2.708360e+01 1.365355e-02
2.752170e+01 1.467946e-02
2.796680e+01 1.590165e-02
