# material=Na density=0.968
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 3.825499e+00
1.016170e+01 3.781001e+00
1.032610e+01 3.737069e+00
1.049310e+01 3.693604e+00
1.066280e+01 3.650652e+00
1.083530e+01 3.608194e+00
1.101060e+01 3.566264e+00
1.118860e+01 3.524759e+00
1.136960e+01 3.483793e+00
1.155350e+01 3.443289e+00
1.174040e+01 3.403259e+00
1.193030e+01 3.363684e+00
1.212320e+01 3.324552e+00
1.231930e+01 3.285903e+00
1.251860e+01 3.247707e+00
1.272100e+01 3.209917e+00
1.292680e+01 3.172599e+00
1.313590e+01 3.135721e+00
1.334830e+01 3.099240e+00
1.356420e+01 3.063198e+00
1.378360e+01 3.048929e+00
1.400660e+01 3.042077e+00
1.423310e+01 3.035217e+00
1.446330e+01 3.028377e+00
1.469730e+01 3.021570e+00
1.493500e+01 3.014761e+00
1.517650e+01 3.007955e+00
1.542200e+01 3.001186e+00
1.567140e+01 3.007157e+00
1.592490e+01 3.016217e+00
1.618250e+01 3.025310e+00
1.644420e+01 3.034412e+00
1.671020e+01 3.043563e+00
1.698050e+01 3.052738e+00
1.725510e+01 3.061932e+00
1.753420e+01 3.071154e+00
1.781780e+01 3.087843e+00
1.810600e+01 3.113818e+00
1.839890e+01 3.140022e+00
1.869640e+01 3.166417e+00
1.899880e+01 3.193054e+00
1.930610e+01 3.219915e+00
1.961840e+01 3.247015e+00
1.993570e+01 3.274326e+00
2.025820e+01 3.301879e+00
2.058580e+01 3.336103e+00
2.091880e+01 3.382754e+00
2.125710e+01 3.430040e+00
2.160090e+01 3.477988e+00
2.195030e+01 3.526620e+00
2.230530e+01 3.575919e+00
2.266610e+01 3.625923e+00
2.303270e+01 3.676617e+00
2.340530e+01 3.728028e+00
2.378380e+01 3.780144e+00
2.416850e+01 3.832998e+00
2.455940e+01 3.864532e+00
2.495660e+01 3.894373e+00
2.536030e+01 3.924459e+00
2.577050e+01 3.954767e+00
2.618730e+01 3.985299e+00
2.661090e+01 4.036833e+00
2.704130e+01 4.117619e+00
2.747860e+01 4.200015e+00
2.792310e+01 4.284070e+00
2.837470e+01 4.369809e+00
2.883370e+01 4.457268e+00
2.930000e+01 4.546461e+00
2.977390e+01 4.637451e+00
3.025550e+01 4.730255e+00
3.040000e+01 4.758172e+00
3.060000e+01 7.220749e-02
3.074490e+01 7.193049e-02
3.124210e+01 7.099709e-02
3.174750e+01 7.007599e-02
3.226090e+01 6.916662e-02
3.278270e+01 6.826926e-02
3.331300e+01 6.738380e-02
3.385180e+01 6.650929e-02
3.439930e+01 6.564641e-02
3.495570e+01 6.479470e-02
3.552110e+01 6.395423e-02
3.609560e+01 6.312429e-02
3.667940e+01 6.230540e-02
3.727270e+01 6.155399e-02
3.787550e+01 6.108315e-02
3.848820e+01 6.061614e-02
3.911070e+01 6.015264e-02
3.974320e+01 5.969250e-02
4.038610e+01 5.923621e-02
4.103930e+01 5.878318e-02
4.170310e+01 5.833363e-02
4.237760e+01 5.788762e-02
4.306300e+01 5.744480e-02
4.375950e+01 5.700553e-02
4.446730e+01 5.656964e-02
4.518650e+01 5.613698e-02
4.591740e+01 5.587571e-02
4.666000e+01 5.568982e-02
4.741470e+01 5.550473e-02
4.818160e+01 5.532012e-02
4.896090e+01 5.513630e-02
4.975280e+01 5.495299e-02
