# material=Nb density=8.57
# Photon Energy [eV]  Attenuation Length [um]
5.000000e-01 1.413568e-02
5.079320e-01 1.413379e-02
5.159900e-01 1.413189e-02
5.241760e-01 1.413000e-02
5.324920e-01 1.412812e-02
5.409390e-01 1.412622e-02
5.495210e-01 1.412433e-02
5.582380e-01 1.415310e-02
5.670950e-01 1.418377e-02
5.760910e-01 1.421460e-02
5.852300e-01 1.424527e-02
5.945150e-01 1.427623e-02
6.039460e-01 1.430706e-02
6.135270e-01 1.433811e-02
6.232600e-01 1.436914e-02
6.331480e-01 1.440032e-02
6.431920e-01 1.443154e-02
6.533960e-01 1.446285e-02
6.637620e-01 1.449417e-02
6.742920e-01 1.452552e-02
6.849890e-01 1.455705e-02
6.958560e-01 1.458859e-02
7.068950e-01 1.462014e-02
7.181090e-01 1.465187e-02
7.295020e-01 1.468361e-02
7.410750e-01 1.471546e-02
7.528310e-01 1.474726e-02
7.647750e-01 1.477928e-02
7.769070e-01 1.481130e-02
7.892320e-01 1.484339e-02
8.017530e-01 1.487548e-02
8.144720e-01 1.490780e-02
8.273930e-01 1.494007e-02
8.405190e-01 1.497245e-02
8.538530e-01 1.501982e-02
8.673990e-01 1.510463e-02
8.811590e-01 1.518993e-02
8.951380e-01 1.527574e-02
9.093390e-01 1.536199e-02
9.237650e-01 1.544877e-02
9.384200e-01 1.553602e-02
9.533070e-01 1.562375e-02
9.684310e-01 1.571199e-02
9.837940e-01 1.580074e-02
9.994010e-01 1.588993e-02
1.015260e+00 1.597975e-02
1.031360e+00 1.606989e-02
1.047720e+00 1.616059e-02
1.064350e+00 1.625207e-02
1.081230e+00 1.634369e-02
1.098380e+00 1.643599e-02
1.115810e+00 1.652890e-02
1.133510e+00 1.662221e-02
1.151490e+00 1.671603e-02
1.169760e+00 1.681046e-02
1.188320e+00 1.690546e-02
1.207170e+00 1.700089e-02
1.226320e+00 1.709693e-02
1.245770e+00 1.719345e-02
1.265540e+00 1.729059e-02
1.285610e+00 1.738820e-02
1.306010e+00 1.748639e-02
1.326730e+00 1.758523e-02
1.347780e+00 1.768454e-02
1.369160e+00 1.784871e-02
1.390880e+00 1.802197e-02
1.412940e+00 1.819688e-02
1.435360e+00 1.837356e-02
1.458130e+00 1.851453e-02
1.481260e+00 1.858844e-02
1.504760e+00 1.866262e-02
1.528630e+00 1.873712e-02
1.552880e+00 1.881186e-02
1.577520e+00 1.888699e-02
1.602540e+00 1.896227e-02
1.627970e+00 1.903801e-02
1.653790e+00 1.908953e-02
1.680030e+00 1.899896e-02
1.706680e+00 1.890874e-02
1.733760e+00 1.881899e-02
1.761260e+00 1.872963e-02
1.789200e+00 1.864064e-02
1.817590e+00 1.855221e-02
1.846420e+00 1.846410e-02
1.875720e+00 1.820390e-02
1.905470e+00 1.792350e-02
1.935700e+00 1.764753e-02
1.966410e+00 1.737576e-02
1.997610e+00 1.710825e-02
2.029300e+00 1.684476e-02
2.061490e+00 1.658537e-02
2.094190e+00 1.632992e-02
2.127420e+00 1.607853e-02
2.161170e+00 1.583091e-02
2.195450e+00 1.558710e-02
2.230280e+00 1.534707e-02
2.265660e+00 1.511075e-02
2.301600e+00 1.487801e-02
2.338120e+00 1.464896e-02
2.375210e+00 1.441244e-02
