# material=Nd density=6.8
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.061832e-01
1.016170e+01 2.034572e-01
1.032610e+01 2.007696e-01
1.049310e+01 1.981165e-01
1.066280e+01 1.954985e-01
1.083530e+01 1.929159e-01
1.101060e+01 1.903675e-01
1.118860e+01 1.878505e-01
1.136960e+01 1.853686e-01
1.155350e+01 1.829192e-01
1.174040e+01 1.805021e-01
1.193030e+01 1.781174e-01
1.212320e+01 1.757626e-01
1.231930e+01 1.738627e-01
1.251860e+01 1.723189e-01
1.272100e+01 1.707869e-01
1.292680e+01 1.692701e-01
1.313590e+01 1.677665e-01
1.334830e+01 1.662753e-01
1.356420e+01 1.647978e-01
1.378360e+01 1.637584e-01
1.400660e+01 1.627586e-01
1.423310e+01 1.617638e-01
1.446330e+01 1.607758e-01
1.469730e+01 1.597940e-01
1.493500e+01 1.588179e-01
1.517650e+01 1.575788e-01
1.542200e+01 1.560627e-01
1.567140e+01 1.545609e-01
1.592490e+01 1.530739e-01
1.618250e+01 1.516015e-01
1.644420e+01 1.501425e-01
1.671020e+01 1.486979e-01
1.698050e+01 1.474255e-01
1.725510e+01 1.462425e-01
1.753420e+01 1.450694e-01
1.781780e+01 1.439057e-01
1.810600e+01 1.411348e-01
1.839890e+01 1.382180e-01
1.869640e+01 1.328811e-01
1.899880e+01 1.263391e-01
1.930610e+01 1.147019e-01
1.961840e+01 9.264541e-02
1.993570e+01 7.892193e-02
2.025820e+01 6.976407e-02
2.058580e+01 6.301308e-02
2.091880e+01 5.818268e-02
2.125710e+01 5.372225e-02
2.160090e+01 4.662711e-02
2.195030e+01 3.632430e-02
2.230530e+01 3.221608e-02
2.266610e+01 2.758871e-02
2.303270e+01 2.243108e-02
2.340530e+01 1.914948e-02
2.378380e+01 1.674618e-02
2.416850e+01 1.551660e-02
2.455940e+01 1.437727e-02
2.495660e+01 1.280649e-02
2.536030e+01 1.157277e-02
2.577050e+01 1.108179e-02
2.618730e+01 1.070046e-02
2.661090e+01 1.047637e-02
2.704130e+01 1.029509e-02
2.747860e+01 1.039984e-02
2.792310e+01 1.050568e-02
2.837470e+01 1.072048e-02
2.883370e+01 1.127214e-02
2.930000e+01 1.185226e-02
2.977390e+01 1.248675e-02
3.025550e+01 1.315974e-02
3.074490e+01 1.386490e-02
3.124210e+01 1.460564e-02
3.174750e+01 1.538600e-02
3.226090e+01 1.602428e-02
3.278270e+01 1.665744e-02
3.331300e+01 1.731571e-02
3.385180e+01 1.798627e-02
3.439930e+01 1.857287e-02
3.495570e+01 1.917862e-02
3.552110e+01 1.980412e-02
3.609560e+01 2.047500e-02
3.667940e+01 2.118717e-02
3.727270e+01 2.192413e-02
3.787550e+01 2.269536e-02
3.848820e+01 2.349893e-02
3.911070e+01 2.437326e-02
3.974320e+01 2.538877e-02
4.038610e+01 2.644676e-02
4.103930e+01 2.754875e-02
4.170310e+01 2.860980e-02
4.237760e+01 2.967777e-02
4.306300e+01 3.078555e-02
4.375950e+01 3.138214e-02
4.446730e+01 3.197627e-02
4.518650e+01 3.258161e-02
4.591740e+01 3.319838e-02
4.666000e+01 3.390187e-02
4.741470e+01 3.464933e-02
