# material=Ni density=8.908
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.136870e-02
1.016170e+01 1.152434e-02
1.032610e+01 1.168227e-02
1.049310e+01 1.184219e-02
1.066280e+01 1.200438e-02
1.083530e+01 1.216884e-02
1.101060e+01 1.231598e-02
1.118860e+01 1.215709e-02
1.136960e+01 1.200042e-02
1.155350e+01 1.184565e-02
1.174040e+01 1.169303e-02
1.193030e+01 1.154231e-02
1.212320e+01 1.138959e-02
1.231930e+01 1.123678e-02
1.251860e+01 1.108610e-02
1.272100e+01 1.093731e-02
1.292680e+01 1.079061e-02
1.313590e+01 1.064911e-02
1.334830e+01 1.051109e-02
1.356420e+01 1.037493e-02
1.378360e+01 1.024050e-02
1.400660e+01 1.010790e-02
1.423310e+01 9.984528e-03
1.446330e+01 9.907302e-03
1.469730e+01 9.830664e-03
1.493500e+01 9.754595e-03
1.517650e+01 9.679084e-03
1.542200e+01 9.604224e-03
1.567140e+01 9.542632e-03
1.592490e+01 9.513378e-03
1.618250e+01 9.484206e-03
1.644420e+01 9.455107e-03
1.671020e+01 9.426118e-03
1.698050e+01 9.397232e-03
1.725510e+01 9.368376e-03
1.753420e+01 9.369965e-03
1.781780e+01 9.390027e-03
1.810600e+01 9.410121e-03
1.839890e+01 9.430256e-03
1.869640e+01 9.450397e-03
1.899880e+01 9.470624e-03
1.930610e+01 9.705286e-03
1.961840e+01 9.934943e-03
1.993570e+01 1.006964e-02
2.025820e+01 1.020619e-02
2.058580e+01 1.034455e-02
2.091880e+01 1.048164e-02
2.125710e+01 1.050051e-02
2.160090e+01 1.051944e-02
2.195030e+01 1.053843e-02
2.230530e+01 1.043548e-02
2.266610e+01 1.030403e-02
2.303270e+01 1.017423e-02
2.340530e+01 1.004611e-02
2.378380e+01 9.919541e-03
2.416850e+01 9.943034e-03
2.455940e+01 1.003216e-02
2.495660e+01 1.012210e-02
2.536030e+01 1.021288e-02
2.577050e+01 1.030445e-02
2.618730e+01 1.049528e-02
2.661090e+01 1.072591e-02
2.704130e+01 1.096161e-02
2.747860e+01 1.120248e-02
2.792310e+01 1.146303e-02
2.837470e+01 1.175782e-02
2.883370e+01 1.206024e-02
2.930000e+01 1.237038e-02
2.977390e+01 1.268853e-02
3.025550e+01 1.301488e-02
3.074490e+01 1.333712e-02
3.124210e+01 1.366464e-02
3.174750e+01 1.400024e-02
3.226090e+01 1.434400e-02
3.278270e+01 1.469627e-02
3.331300e+01 1.505721e-02
3.385180e+01 1.542700e-02
3.439930e+01 1.580582e-02
3.495570e+01 1.618223e-02
3.552110e+01 1.655218e-02
3.609560e+01 1.693063e-02
3.667940e+01 1.731771e-02
3.727270e+01 1.771369e-02
3.787550e+01 1.811868e-02
3.848820e+01 1.853295e-02
3.911070e+01 1.884069e-02
3.974320e+01 1.914709e-02
4.038610e+01 1.945856e-02
4.103930e+01 1.977504e-02
4.170310e+01 2.009669e-02
4.237760e+01 2.042362e-02
4.306300e+01 2.065154e-02
4.375950e+01 2.082780e-02
4.446730e+01 2.100557e-02
4.518650e+01 2.118476e-02
4.591740e+01 2.136557e-02
4.666000e+01 2.154788e-02
4.741470e+01 2.173175e-02
4.818160e+01 2.187641e-02
4.896090e+01 2.189826e-02
4.975280e+01 2.192015e-02
5.055760e+01 2.194201e-02
5.137530e+01 2.196394e-02
5.220620e+01 2.198582e-02
5.305060e+01 2.198935e-02
5.390870e+01 2.198667e-02
5.478060e+01 2.198392e-02
5.566670e+01 2.198121e-02
5.656700e+01 2.197849e-02
5.748200e+01 2.198201e-02
5.841170e+01 2.209028e-02
5.935640e+01 2.219903e-02
6.031650e+01 2.230836e-02
6.129210e+01 2.227225e-02
6.228340e+01 2.179675e-02
6.329080e+01 2.133150e-02
6.431450e+01 2.087616e-02
6.535470e+01 1.909444e-02
6.641180e+01 1.685738e-02
6.748590e+01 1.488236e-02
6.857750e+01 1.313880e-02
6.968670e+01 1.283668e-02
7.081380e+01 1.260542e-02
7.195910e+01 1.240740e-02
7.312300e+01 1.244225e-02
7.430570e+01 1.247719e-02
7.550760e+01 1.251225e-02
7.672890e+01 1.254739e-02
7.796990e+01 1.265247e-02
7.923100e+01 1.278226e-02
8.051250e+01 1.291339e-02
8.181470e+01 1.304584e-02
8.313800e+01 1.317968e-02
8.448270e+01 1.340488e-02
8.584910e+01 1.365634e-02
8.723770e+01 1.391254e-02
8.864870e+01 1.417352e-02
9.008250e+01 1.443940e-02
9.153950e+01 1.471028e-02
9.302010e+01 1.496789e-02
9.452460e+01 1.518965e-02
9.605350e+01 1.541471e-02
9.760710e+01 1.564309e-02
