# material=Os density=22.61
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.062849e-02
1.016170e+01 1.048423e-02
1.032610e+01 1.034203e-02
1.049310e+01 1.020165e-02
1.066280e+01 1.000751e-02
1.083530e+01 9.811100e-03
1.101060e+01 9.618520e-03
1.118860e+01 9.429589e-03
1.136960e+01 9.248468e-03
1.155350e+01 9.103290e-03
1.174040e+01 8.960401e-03
1.193030e+01 8.819740e-03
1.212320e+01 8.679609e-03
1.231930e+01 8.529870e-03
1.251860e+01 8.382735e-03
1.272100e+01 8.238060e-03
1.292680e+01 8.103715e-03
1.313590e+01 8.023138e-03
1.334830e+01 7.943288e-03
1.356420e+01 7.864269e-03
1.378360e+01 7.786059e-03
1.400660e+01 7.708635e-03
1.423310e+01 7.631932e-03
1.446330e+01 7.495510e-03
1.469730e+01 7.353703e-03
1.493500e+01 7.214515e-03
1.517650e+01 7.077966e-03
1.542200e+01 6.944023e-03
1.567140e+01 6.812596e-03
1.592490e+01 6.707682e-03
1.618250e+01 6.622267e-03
1.644420e+01 6.537913e-03
1.671020e+01 6.454672e-03
1.698050e+01 6.372492e-03
1.725510e+01 6.291318e-03
1.753420e+01 6.205139e-03
1.781780e+01 6.117520e-03
1.810600e+01 6.031127e-03
1.839890e+01 5.945975e-03
1.869640e+01 5.861972e-03
1.899880e+01 5.779194e-03
1.930610e+01 5.699692e-03
1.961840e+01 5.659227e-03
1.993570e+01 5.619035e-03
2.025820e+01 5.579147e-03
2.058580e+01 5.539510e-03
2.091880e+01 5.500188e-03
2.125710e+01 5.461117e-03
2.160090e+01 5.462396e-03
2.195030e+01 5.464028e-03
2.230530e+01 5.465650e-03
2.266610e+01 5.467282e-03
2.303270e+01 5.468903e-03
2.340530e+01 5.474898e-03
2.378380e+01 5.523012e-03
2.416850e+01 5.571566e-03
2.455940e+01 5.620542e-03
2.495660e+01 5.669947e-03
2.536030e+01 5.755876e-03
2.577050e+01 5.874001e-03
2.618730e+01 5.994543e-03
2.661090e+01 6.117571e-03
2.704130e+01 6.243111e-03
2.747860e+01 6.375137e-03
2.792310e+01 6.551779e-03
2.837470e+01 6.733289e-03
2.883370e+01 6.919854e-03
2.930000e+01 7.111549e-03
2.977390e+01 7.308577e-03
3.025550e+01 7.511070e-03
3.074490e+01 7.767414e-03
3.124210e+01 8.058078e-03
3.174750e+01 8.359639e-03
3.226090e+01 8.672452e-03
3.278270e+01 8.996991e-03
3.331300e+01 9.334463e-03
3.385180e+01 9.716828e-03
3.439930e+01 1.011486e-02
3.495570e+01 1.052921e-02
3.552110e+01 1.096053e-02
3.609560e+01 1.140951e-02
3.667940e+01 1.219588e-02
3.727270e+01 1.332805e-02
3.787550e+01 1.456522e-02
3.848820e+01 1.602248e-02
3.911070e+01 1.771447e-02
3.974320e+01 1.976296e-02
4.038610e+01 2.114274e-02
4.103930e+01 2.181415e-02
4.170310e+01 2.198997e-02
4.237760e+01 2.168720e-02
4.306300e+01 2.108772e-02
4.375950e+01 1.958764e-02
4.446730e+01 1.795890e-02
4.518650e+01 1.625504e-02
4.591740e+01 1.471279e-02
4.666000e+01 1.310326e-02
4.741470e+01 1.166915e-02
4.818160e+01 1.041346e-02
4.896090e+01 9.340607e-03
4.975280e+01 8.415879e-03
5.055760e+01 7.754578e-03
5.137530e+01 7.170260e-03
5.220620e+01 7.040735e-03
5.305060e+01 6.913565e-03
5.390870e+01 6.909294e-03
5.478060e+01 6.910955e-03
5.566670e+01 6.972195e-03
5.656700e+01 7.043437e-03
5.748200e+01 7.146109e-03
5.841170e+01 7.362168e-03
5.935640e+01 7.584801e-03
6.031650e+01 7.849204e-03
6.129210e+01 8.179693e-03
6.228340e+01 8.524153e-03
6.329080e+01 8.950661e-03
6.431450e+01 9.453712e-03
6.535470e+01 9.984955e-03
6.641180e+01 1.049798e-02
6.748590e+01 1.095488e-02
6.857750e+01 1.143167e-02
6.968670e+01 1.192917e-02
7.081380e+01 1.241255e-02
7.195910e+01 1.286585e-02
7.312300e+01 1.333583e-02
7.430570e+01 1.382286e-02
7.550760e+01 1.432759e-02
7.672890e+01 1.485094e-02
7.796990e+01 1.539333e-02
7.923100e+01 1.595549e-02
8.051250e+01 1.656448e-02
8.181470e+01 1.738711e-02
8.313800e+01 1.825063e-02
8.448270e+01 1.915701e-02
8.584910e+01 2.010841e-02
8.723770e+01 2.110710e-02
8.864870e+01 2.215532e-02
9.008250e+01 2.325568e-02
9.153950e+01 2.441058e-02
9.302010e+01 2.562293e-02
9.452460e+01 2.640318e-02
9.605350e+01 2.716331e-02
9.760710e+01 2.794535e-02
9.918580e+01 2.874991e-02
1.007900e+02 2.957762e-02
1.024200e+02 3.028169e-02
1.040770e+02 3.081170e-02
1.057600e+02 3.135070e-02
1.074710e+02 3.189938e-02
1.092090e+02 3.235746e-02
1.109750e+02 3.257667e-02
1.127700e+02 3.279743e-02
1.145940e+02 3.301975e-02
1.164480e+02 3.308799e-02
1.183310e+02 3.286550e-02
1.202450e+02 3.264465e-02
1.221900e+02 3.242526e-02
1.241660e+02 3.220729e-02
1.261750e+02 3.199098e-02
1.282150e+02 3.177581e-02
1.302890e+02 3.156229e-02
1.323970e+02 3.133404e-02
1.345380e+02 3.100758e-02
1.367140e+02 3.068464e-02
1.389250e+02 3.036499e-02
1.411720e+02 3.004876e-02
1.434560e+02 2.973591e-02
1.457760e+02 2.942616e-02
1.481340e+02 2.911966e-02
1.505300e+02 2.882049e-02
1.529640e+02 2.853108e-02
1.554390e+02 2.824467e-02
1.579530e+02 2.796075e-02
1.605070e+02 2.767986e-02
1.631030e+02 2.740173e-02
1.657420e+02 2.720256e-02
1.684220e+02 2.701810e-02
