# material=P density=1.823
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 4.762847e-03
1.016170e+01 4.960675e-03
1.032610e+01 5.166762e-03
1.049310e+01 5.381378e-03
1.066280e+01 5.604911e-03
1.083530e+01 5.837760e-03
1.101060e+01 6.080284e-03
1.118860e+01 6.332801e-03
1.136960e+01 6.595892e-03
1.155350e+01 6.869888e-03
1.174040e+01 7.155279e-03
1.193030e+01 7.452508e-03
1.212320e+01 7.762037e-03
1.231930e+01 8.097456e-03
1.251860e+01 8.467492e-03
1.272100e+01 8.854344e-03
1.292680e+01 9.258972e-03
1.313590e+01 9.682075e-03
1.334830e+01 1.012965e-02
1.356420e+01 1.073383e-02
1.378360e+01 1.137406e-02
1.400660e+01 1.205252e-02
1.423310e+01 1.277137e-02
1.446330e+01 1.353311e-02
1.469730e+01 1.434034e-02
1.493500e+01 1.519568e-02
1.517650e+01 1.610197e-02
1.542200e+01 1.706241e-02
1.567140e+01 1.810470e-02
1.592490e+01 1.927668e-02
1.618250e+01 2.052452e-02
1.644420e+01 2.185311e-02
1.671020e+01 2.331218e-02
1.698050e+01 2.545736e-02
1.725510e+01 2.779972e-02
1.753420e+01 3.051774e-02
1.781780e+01 3.424569e-02
1.810600e+01 3.842871e-02
1.839890e+01 4.369691e-02
1.869640e+01 4.980435e-02
1.899880e+01 5.591791e-02
1.930610e+01 6.270206e-02
1.961840e+01 7.041456e-02
1.993570e+01 7.924597e-02
2.025820e+01 8.946354e-02
2.058580e+01 1.018457e-01
2.091880e+01 1.154509e-01
2.125710e+01 1.297232e-01
2.160090e+01 1.460480e-01
2.195030e+01 1.649603e-01
2.230530e+01 1.863207e-01
2.266610e+01 2.088892e-01
2.303270e+01 2.339428e-01
2.340530e+01 2.605839e-01
2.378380e+01 2.871375e-01
2.416850e+01 3.163982e-01
2.455940e+01 3.514121e-01
2.495660e+01 3.920716e-01
2.536030e+01 4.327917e-01
2.577050e+01 4.670792e-01
2.618730e+01 5.036993e-01
2.661090e+01 5.204175e-01
2.704130e+01 5.376920e-01
2.747860e+01 5.431880e-01
2.792310e+01 5.375065e-01
2.837470e+01 5.318827e-01
2.883370e+01 5.263218e-01
2.930000e+01 5.150149e-01
2.977390e+01 5.036131e-01
3.025550e+01 4.924636e-01
3.074490e+01 4.810152e-01
3.124210e+01 4.689475e-01
3.174750e+01 4.571837e-01
3.226090e+01 4.457124e-01
3.278270e+01 4.345319e-01
3.331300e+01 4.252391e-01
3.385180e+01 4.200831e-01
3.439930e+01 4.149901e-01
3.495570e+01 4.105998e-01
3.552110e+01 4.067095e-01
3.609560e+01 4.028572e-01
3.667940e+01 3.990409e-01
3.727270e+01 3.952608e-01
3.787550e+01 3.915154e-01
3.848820e+01 3.878082e-01
