# material=Pa density=15.37
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.032064e-02
1.016170e+01 2.061252e-02
1.032610e+01 2.090883e-02
1.049310e+01 2.120923e-02
1.066280e+01 2.195753e-02
1.083530e+01 2.286248e-02
1.101060e+01 2.380479e-02
1.118860e+01 2.475400e-02
1.136960e+01 2.562180e-02
1.155350e+01 2.652007e-02
1.174040e+01 2.745004e-02
1.193030e+01 2.841233e-02
1.212320e+01 2.940836e-02
1.231930e+01 3.043949e-02
1.251860e+01 3.150663e-02
1.272100e+01 3.261229e-02
1.292680e+01 3.378066e-02
1.313590e+01 3.499084e-02
1.334830e+01 3.624420e-02
1.356420e+01 3.754243e-02
1.378360e+01 3.888758e-02
1.400660e+01 4.028058e-02
1.423310e+01 4.172334e-02
1.446330e+01 4.314344e-02
1.469730e+01 4.456491e-02
1.493500e+01 4.603316e-02
1.517650e+01 4.754926e-02
1.542200e+01 4.911583e-02
1.567140e+01 5.053777e-02
1.592490e+01 5.165137e-02
1.618250e+01 5.278981e-02
1.644420e+01 5.332019e-02
1.671020e+01 5.321089e-02
1.698050e+01 5.226076e-02
1.725510e+01 4.972399e-02
1.753420e+01 4.283246e-02
1.781780e+01 3.592731e-02
1.810600e+01 3.013567e-02
1.839890e+01 2.567381e-02
1.869640e+01 2.327950e-02
1.899880e+01 2.110867e-02
1.930610e+01 1.914023e-02
1.961840e+01 1.772012e-02
1.993570e+01 1.690531e-02
2.025820e+01 1.612795e-02
2.058580e+01 1.538631e-02
2.091880e+01 1.467884e-02
2.125710e+01 1.408211e-02
2.160090e+01 1.357113e-02
2.195030e+01 1.307873e-02
2.230530e+01 1.260416e-02
2.266610e+01 1.214684e-02
2.303270e+01 1.170609e-02
2.340530e+01 1.130464e-02
2.378380e+01 1.095242e-02
2.416850e+01 1.061121e-02
2.455940e+01 1.028062e-02
2.495660e+01 9.960322e-03
2.536030e+01 9.650030e-03
2.577050e+01 9.409368e-03
2.618730e+01 9.212464e-03
2.661090e+01 9.019673e-03
2.704130e+01 8.830967e-03
2.747860e+01 8.646134e-03
2.792310e+01 8.465286e-03
2.837470e+01 8.379252e-03
2.883370e+01 8.338263e-03
2.930000e+01 8.297452e-03
2.977390e+01 8.256881e-03
3.025550e+01 8.216551e-03
3.074490e+01 8.176340e-03
3.124210e+01 8.136353e-03
3.174750e+01 8.158999e-03
3.226090e+01 8.216224e-03
3.278270e+01 8.273787e-03
3.331300e+01 8.331805e-03
3.385180e+01 8.390252e-03
3.439930e+01 8.449037e-03
3.495570e+01 8.611871e-03
3.552110e+01 8.858202e-03
3.609560e+01 9.164425e-03
3.667940e+01 9.481256e-03
3.727270e+01 9.809090e-03
3.787550e+01 1.014821e-02
3.848820e+01 1.049910e-02
3.911070e+01 1.086201e-02
3.974320e+01 1.123757e-02
4.038610e+01 1.162511e-02
4.103930e+01 1.202565e-02
4.170310e+01 1.243997e-02
4.237760e+01 1.286845e-02
4.306300e+01 1.335171e-02
4.375950e+01 1.397748e-02
4.446730e+01 1.463260e-02
4.518650e+01 1.531828e-02
4.591740e+01 1.590831e-02
4.666000e+01 1.651837e-02
4.741470e+01 1.715193e-02
4.818160e+01 1.784468e-02
4.896090e+01 1.859870e-02
4.975280e+01 1.938459e-02
5.055760e+01 2.020374e-02
5.137530e+01 2.116414e-02
5.220620e+01 2.246918e-02
5.305060e+01 2.385469e-02
5.390870e+01 2.514774e-02
5.478060e+01 2.645389e-02
5.566670e+01 2.782797e-02
5.656700e+01 2.927327e-02
5.748200e+01 3.083974e-02
5.841170e+01 3.278097e-02
5.935640e+01 3.484444e-02
6.031650e+01 3.703714e-02
6.129210e+01 3.935233e-02
6.228340e+01 4.181205e-02
6.329080e+01 4.443954e-02
6.431450e+01 4.731685e-02
6.535470e+01 5.038027e-02
6.641180e+01 5.367282e-02
6.748590e+01 5.728067e-02
6.857750e+01 6.113119e-02
6.968670e+01 6.518647e-02
7.081380e+01 6.946221e-02
7.195910e+01 7.401866e-02
7.312300e+01 7.888084e-02
7.430570e+01 8.417051e-02
7.550760e+01 8.981470e-02
7.672890e+01 9.552535e-02
7.796990e+01 1.010057e-01
7.923100e+01 1.067673e-01
8.051250e+01 1.114748e-01
8.181470e+01 1.163897e-01
8.313800e+01 1.205019e-01
8.448270e+01 1.236829e-01
8.584910e+01 1.252752e-01
8.723770e+01 1.259382e-01
8.864870e+01 1.255478e-01
9.008250e+01 1.195492e-01
9.153950e+01 1.024798e-01
9.302010e+01 4.986110e-02
9.452460e+01 2.789949e-02
9.605350e+01 1.763435e-02
9.760710e+01 1.617003e-02
9.918580e+01 2.715389e-02
1.007900e+02 3.360254e-02
1.024200e+02 3.664389e-02
1.040770e+02 2.372594e-02
1.057600e+02 1.536204e-02
1.074710e+02 9.358866e-03
1.092090e+02 5.373886e-03
1.109750e+02 4.827283e-03
1.127700e+02 5.217025e-03
1.145940e+02 6.835809e-03
1.164480e+02 8.378773e-03
1.183310e+02 9.752346e-03
1.202450e+02 1.135122e-02
1.221900e+02 1.321215e-02
1.241660e+02 1.537814e-02
1.261750e+02 1.677732e-02
1.282150e+02 1.814702e-02
1.302890e+02 1.962863e-02
1.323970e+02 2.123133e-02
1.345380e+02 2.296468e-02
1.367140e+02 2.483962e-02
1.389250e+02 2.686771e-02
1.411720e+02 2.906133e-02
1.434560e+02 3.143415e-02
1.457760e+02 3.400042e-02
1.481340e+02 3.677509e-02
1.505300e+02 3.967153e-02
1.529640e+02 4.279566e-02
1.554390e+02 4.616597e-02
1.579530e+02 4.980164e-02
1.605070e+02 5.372378e-02
1.631030e+02 5.795468e-02
1.657420e+02 6.165483e-02
1.684220e+02 6.526533e-02
1.711460e+02 6.959614e-02
1.739150e+02 7.420042e-02
1.767270e+02 7.892230e-02
1.795860e+02 8.394544e-02
1.824910e+02 8.807113e-02
1.854420e+02 9.234690e-02
