# material=Pb density=11.34
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 9.298012e-03
1.016170e+01 9.333538e-03
1.032610e+01 9.369270e-03
1.049310e+01 9.405078e-03
1.066280e+01 9.566700e-03
1.083530e+01 9.736637e-03
1.101060e+01 9.909584e-03
1.118860e+01 1.008548e-02
1.136960e+01 1.030878e-02
1.155350e+01 1.054000e-02
1.174040e+01 1.077646e-02
1.193030e+01 1.101469e-02
1.212320e+01 1.123895e-02
1.231930e+01 1.146786e-02
1.251860e+01 1.170145e-02
1.272100e+01 1.194190e-02
1.292680e+01 1.263439e-02
1.313590e+01 1.336706e-02
1.334830e+01 1.414205e-02
1.356420e+01 1.517177e-02
1.378360e+01 1.644573e-02
1.400660e+01 1.782681e-02
1.423310e+01 1.944866e-02
1.446330e+01 2.133432e-02
1.469730e+01 2.340287e-02
1.493500e+01 2.624656e-02
1.517650e+01 2.972670e-02
1.542200e+01 3.329151e-02
1.567140e+01 3.574281e-02
1.592490e+01 3.837480e-02
1.618250e+01 4.120043e-02
1.644420e+01 4.362932e-02
1.671020e+01 4.575708e-02
1.698050e+01 4.740516e-02
1.725510e+01 4.770585e-02
1.753420e+01 4.738498e-02
1.781780e+01 4.503643e-02
1.810600e+01 3.963883e-02
1.839890e+01 2.536979e-02
1.869640e+01 2.074665e-02
1.899880e+01 2.009576e-02
1.930610e+01 1.946524e-02
1.961840e+01 1.903478e-02
1.993570e+01 1.871647e-02
2.025820e+01 1.840355e-02
2.058580e+01 1.835277e-02
2.091880e+01 1.847828e-02
2.125710e+01 1.860452e-02
2.160090e+01 1.873166e-02
2.195030e+01 1.918674e-02
2.230530e+01 1.973691e-02
2.266610e+01 2.030288e-02
2.303270e+01 2.083446e-02
2.340530e+01 2.129817e-02
2.378380e+01 2.177205e-02
2.416850e+01 2.225657e-02
2.455940e+01 2.272519e-02
2.495660e+01 2.318432e-02
2.536030e+01 2.365282e-02
2.577050e+01 2.399278e-02
2.618730e+01 2.409594e-02
2.661090e+01 2.419966e-02
2.704130e+01 2.416587e-02
2.747860e+01 2.385059e-02
2.792310e+01 2.353947e-02
2.837470e+01 2.323241e-02
2.883370e+01 2.292936e-02
2.930000e+01 2.263020e-02
2.977390e+01 2.221534e-02
3.025550e+01 2.167665e-02
3.074490e+01 2.115105e-02
3.124210e+01 2.063810e-02
3.174750e+01 2.013769e-02
3.226090e+01 1.964931e-02
3.278270e+01 1.917286e-02
3.331300e+01 1.870798e-02
3.385180e+01 1.823411e-02
3.439930e+01 1.776987e-02
3.495570e+01 1.731749e-02
3.552110e+01 1.687662e-02
3.609560e+01 1.644695e-02
3.667940e+01 1.602825e-02
3.727270e+01 1.562021e-02
3.787550e+01 1.522255e-02
3.848820e+01 1.490774e-02
3.911070e+01 1.460493e-02
3.974320e+01 1.430842e-02
4.038610e+01 1.401789e-02
4.103930e+01 1.373326e-02
4.170310e+01 1.345436e-02
4.237760e+01 1.318120e-02
4.306300e+01 1.299097e-02
4.375950e+01 1.283156e-02
4.446730e+01 1.267406e-02
4.518650e+01 1.251856e-02
4.591740e+01 1.236492e-02
4.666000e+01 1.221314e-02
4.741470e+01 1.210458e-02
4.818160e+01 1.204125e-02
4.896090e+01 1.197830e-02
4.975280e+01 1.191564e-02
5.055760e+01 1.185334e-02
5.137530e+01 1.179134e-02
5.220620e+01 1.172964e-02
5.305060e+01 1.166825e-02
5.390870e+01 1.160722e-02
5.478060e+01 1.162467e-02
5.566670e+01 1.164605e-02
5.656700e+01 1.166744e-02
5.748200e+01 1.168893e-02
5.841170e+01 1.171038e-02
5.935640e+01 1.173191e-02
6.031650e+01 1.175352e-02
6.129210e+01 1.185911e-02
6.228340e+01 1.199426e-02
6.329080e+01 1.213091e-02
6.431450e+01 1.226912e-02
6.535470e+01 1.240895e-02
6.641180e+01 1.262628e-02
6.748590e+01 1.289423e-02
6.857750e+01 1.316781e-02
6.968670e+01 1.344727e-02
7.081380e+01 1.373257e-02
7.195910e+01 1.402161e-02
7.312300e+01 1.431580e-02
7.430570e+01 1.461608e-02
7.550760e+01 1.492267e-02
7.672890e+01 1.523567e-02
