# material=Pd density=12.023
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.828161e-02
1.016170e+01 1.767225e-02
1.032610e+01 1.708330e-02
1.049310e+01 1.651391e-02
1.066280e+01 1.596355e-02
1.083530e+01 1.543155e-02
1.101060e+01 1.497153e-02
1.118860e+01 1.457495e-02
1.136960e+01 1.418904e-02
1.155350e+01 1.381323e-02
1.174040e+01 1.344745e-02
1.193030e+01 1.309138e-02
1.212320e+01 1.274458e-02
1.231930e+01 1.240164e-02
1.251860e+01 1.205571e-02
1.272100e+01 1.171923e-02
1.292680e+01 1.139231e-02
1.313590e+01 1.107450e-02
1.334830e+01 1.076547e-02
1.356420e+01 1.046511e-02
1.378360e+01 1.019866e-02
1.400660e+01 9.949825e-03
1.423310e+01 9.706980e-03
1.446330e+01 9.470094e-03
1.469730e+01 9.239025e-03
1.493500e+01 9.013536e-03
1.517650e+01 8.824564e-03
1.542200e+01 8.678634e-03
1.567140e+01 8.535062e-03
1.592490e+01 8.393892e-03
1.618250e+01 8.255065e-03
1.644420e+01 8.118512e-03
1.671020e+01 7.984236e-03
1.698050e+01 7.852172e-03
1.725510e+01 7.737869e-03
1.753420e+01 7.632741e-03
1.781780e+01 7.529035e-03
1.810600e+01 7.426755e-03
1.839890e+01 7.325868e-03
1.869640e+01 7.226295e-03
1.899880e+01 7.128120e-03
1.930610e+01 7.059228e-03
1.961840e+01 7.006868e-03
1.993570e+01 6.954878e-03
2.025820e+01 6.903305e-03
2.058580e+01 6.852072e-03
2.091880e+01 6.801260e-03
2.125710e+01 6.750787e-03
2.160090e+01 6.713455e-03
2.195030e+01 6.683459e-03
2.230530e+01 6.653572e-03
2.266610e+01 6.623855e-03
2.303270e+01 6.594244e-03
2.340530e+01 6.564790e-03
2.378380e+01 6.535440e-03
2.416850e+01 6.511429e-03
2.455940e+01 6.504957e-03
2.495660e+01 6.498489e-03
2.536030e+01 6.492044e-03
2.577050e+01 6.485602e-03
2.618730e+01 6.479147e-03
2.661090e+01 6.472720e-03
2.704130e+01 6.479546e-03
2.747860e+01 6.506651e-03
2.792310e+01 6.533893e-03
2.837470e+01 6.561233e-03
2.883370e+01 6.588703e-03
2.930000e+01 6.616265e-03
2.977390e+01 6.648816e-03
3.025550e+01 6.691799e-03
3.074490e+01 6.735059e-03
3.124210e+01 6.778578e-03
3.174750e+01 6.822407e-03
3.226090e+01 6.866484e-03
3.278270e+01 6.910861e-03
3.331300e+01 6.948702e-03
3.385180e+01 6.979146e-03
3.439930e+01 7.009782e-03
3.495570e+01 7.040497e-03
3.552110e+01 7.071362e-03
3.609560e+01 7.102380e-03
3.667940e+01 7.133505e-03
3.727270e+01 7.157239e-03
3.787550e+01 7.160943e-03
3.848820e+01 7.164729e-03
3.911070e+01 7.168447e-03
3.974320e+01 7.172134e-03
4.038610e+01 7.175921e-03
4.103930e+01 7.179662e-03
4.170310e+01 7.183352e-03
4.237760e+01 7.187122e-03
4.306300e+01 7.190885e-03
4.375950e+01 7.194615e-03
4.446730e+01 7.232241e-03
4.518650e+01 7.277133e-03
4.591740e+01 7.322298e-03
4.666000e+01 7.367769e-03
4.741470e+01 7.413478e-03
4.818160e+01 7.459529e-03
4.896090e+01 7.505820e-03
4.975280e+01 7.552417e-03
5.055760e+01 7.599341e-03
5.137530e+01 7.646517e-03
5.220620e+01 7.680729e-03
5.305060e+01 7.705151e-03
5.390870e+01 7.729655e-03
5.478060e+01 7.754190e-03
5.566670e+01 7.778849e-03
5.656700e+01 7.803565e-03
5.748200e+01 7.841744e-03
5.841170e+01 7.886431e-03
5.935640e+01 7.931353e-03
6.031650e+01 7.976543e-03
6.129210e+01 8.021991e-03
6.228340e+01 8.067700e-03
6.329080e+01 8.113700e-03
6.431450e+01 8.159944e-03
6.535470e+01 8.273605e-03
6.641180e+01 8.397574e-03
6.748590e+01 8.523348e-03
6.857750e+01 8.650982e-03
6.968670e+01 8.794282e-03
7.081380e+01 9.025869e-03
7.195910e+01 9.263569e-03
7.312300e+01 9.507550e-03
7.430570e+01 9.757954e-03
7.550760e+01 1.011548e-02
7.672890e+01 1.049110e-02
7.796990e+01 1.088067e-02
7.923100e+01 1.128478e-02
8.051250e+01 1.187680e-02
8.181470e+01 1.279976e-02
8.313800e+01 1.386620e-02
8.448270e+01 1.505998e-02
8.584910e+01 1.635649e-02
8.723770e+01 1.776463e-02
8.864870e+01 1.929409e-02
9.008250e+01 2.095521e-02
9.153950e+01 2.275929e-02
9.302010e+01 2.471875e-02
9.452460e+01 2.697655e-02
9.605350e+01 2.963203e-02
9.760710e+01 3.254900e-02
9.918580e+01 3.575300e-02
1.007900e+02 3.927250e-02
1.024200e+02 4.313824e-02
1.040770e+02 4.738495e-02
1.057600e+02 5.204922e-02
1.074710e+02 5.717307e-02
1.092090e+02 6.430710e-02
1.109750e+02 7.273614e-02
1.127700e+02 8.227079e-02
1.145940e+02 9.277745e-02
1.164480e+02 1.030017e-01
1.183310e+02 1.143514e-01
1.202450e+02 1.269526e-01
1.221900e+02 1.409426e-01
1.241660e+02 1.533545e-01
1.261750e+02 1.656869e-01
1.282150e+02 1.778628e-01
1.302890e+02 1.873105e-01
1.323970e+02 1.943527e-01
1.345380e+02 1.988962e-01
1.367140e+02 1.987865e-01
1.389250e+02 1.977327e-01
1.411720e+02 1.947338e-01
1.434560e+02 1.881387e-01
1.457760e+02 1.817649e-01
1.481340e+02 1.757011e-01
1.505300e+02 1.698495e-01
1.529640e+02 1.641908e-01
1.554390e+02 1.593671e-01
1.579530e+02 1.547834e-01
1.605070e+02 1.503303e-01
1.631030e+02 1.460057e-01
1.657420e+02 1.418069e-01
1.684220e+02 1.391759e-01
1.711460e+02 1.376944e-01
1.739150e+02 1.362299e-01
1.767270e+02 1.347791e-01
1.795860e+02 1.333451e-01
1.824910e+02 1.319265e-01
1.854420e+02 1.306684e-01
1.884420e+02 1.295576e-01
1.914890e+02 1.284552e-01
1.945870e+02 1.273632e-01
1.977340e+02 1.262798e-01
2.009320e+02 1.252054e-01
2.041820e+02 1.241407e-01
2.074850e+02 1.236576e-01
2.108400e+02 1.234325e-01
2.142510e+02 1.232094e-01
2.177160e+02 1.229855e-01
2.212370e+02 1.227620e-01
2.248160e+02 1.225395e-01
