# material=Pm density=7.264
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.191986e-01
1.016170e+01 2.149164e-01
1.032610e+01 2.107196e-01
1.049310e+01 2.066031e-01
1.066280e+01 2.025673e-01
1.083530e+01 1.986117e-01
1.101060e+01 1.947329e-01
1.118860e+01 1.909278e-01
1.136960e+01 1.871994e-01
1.155350e+01 1.835432e-01
1.174040e+01 1.799583e-01
1.193030e+01 1.764436e-01
1.212320e+01 1.729963e-01
1.231930e+01 1.705851e-01
1.251860e+01 1.687067e-01
1.272100e+01 1.668474e-01
1.292680e+01 1.650103e-01
1.313590e+01 1.631931e-01
1.334830e+01 1.613949e-01
1.356420e+01 1.596171e-01
1.378360e+01 1.580943e-01
1.400660e+01 1.571625e-01
1.423310e+01 1.562353e-01
1.446330e+01 1.553134e-01
1.469730e+01 1.533605e-01
1.493500e+01 1.514008e-01
1.517650e+01 1.494657e-01
1.542200e+01 1.475560e-01
1.567140e+01 1.456705e-01
1.592490e+01 1.438094e-01
1.618250e+01 1.419722e-01
1.644420e+01 1.399174e-01
1.671020e+01 1.376986e-01
1.698050e+01 1.355151e-01
1.725510e+01 1.333657e-01
1.753420e+01 1.309173e-01
1.781780e+01 1.261758e-01
1.810600e+01 1.216064e-01
1.839890e+01 1.172025e-01
1.869640e+01 1.112496e-01
1.899880e+01 1.017116e-01
1.930610e+01 9.299123e-02
1.961840e+01 8.357019e-02
1.993570e+01 6.965572e-02
2.025820e+01 5.805819e-02
2.058580e+01 4.787634e-02
2.091880e+01 3.782239e-02
2.125710e+01 3.124471e-02
2.160090e+01 2.676761e-02
2.195030e+01 2.293212e-02
2.230530e+01 1.960000e-02
2.266610e+01 1.672326e-02
2.303270e+01 1.437681e-02
2.340530e+01 1.249210e-02
2.378380e+01 1.093047e-02
2.416850e+01 9.605791e-03
2.455940e+01 8.994158e-03
2.495660e+01 8.698677e-03
2.536030e+01 8.412918e-03
2.577050e+01 8.329112e-03
2.618730e+01 8.300716e-03
2.661090e+01 8.272471e-03
2.704130e+01 8.295959e-03
2.747860e+01 8.587910e-03
2.792310e+01 8.890128e-03
2.837470e+01 9.203028e-03
2.883370e+01 9.526927e-03
2.930000e+01 9.862140e-03
2.977390e+01 1.024177e-02
3.025550e+01 1.070730e-02
3.074490e+01 1.119400e-02
3.124210e+01 1.170279e-02
3.174750e+01 1.223469e-02
3.226090e+01 1.279072e-02
3.278270e+01 1.351554e-02
3.331300e+01 1.430107e-02
3.385180e+01 1.513219e-02
3.439930e+01 1.601154e-02
3.495570e+01 1.687040e-02
3.552110e+01 1.765561e-02
3.609560e+01 1.847736e-02
3.667940e+01 1.933736e-02
3.727270e+01 2.023742e-02
3.787550e+01 2.117929e-02
3.848820e+01 2.199320e-02
3.911070e+01 2.282757e-02
3.974320e+01 2.369360e-02
4.038610e+01 2.459256e-02
4.103930e+01 2.552559e-02
4.170310e+01 2.649404e-02
4.237760e+01 2.749921e-02
4.306300e+01 2.839664e-02
4.375950e+01 2.910891e-02
4.446730e+01 2.983904e-02
4.518650e+01 3.058745e-02
4.591740e+01 3.135464e-02
4.666000e+01 3.214524e-02
4.741470e+01 3.298740e-02
4.818160e+01 3.385161e-02
4.896090e+01 3.473845e-02
4.975280e+01 3.564855e-02
5.055760e+01 3.658254e-02
5.137530e+01 3.754093e-02
5.220620e+01 3.853398e-02
5.305060e+01 3.956242e-02
5.390870e+01 4.061830e-02
5.478060e+01 4.170222e-02
5.566670e+01 4.281535e-02
5.656700e+01 4.380140e-02
5.748200e+01 4.477206e-02
5.841170e+01 4.576400e-02
5.935640e+01 4.677795e-02
6.031650e+01 4.770539e-02
6.129210e+01 4.863904e-02
6.228340e+01 4.959087e-02
6.329080e+01 5.056135e-02
6.431450e+01 5.155088e-02
6.535470e+01 5.255978e-02
6.641180e+01 5.358836e-02
6.748590e+01 5.463713e-02
6.857750e+01 5.570639e-02
6.968670e+01 5.676030e-02
7.081380e+01 5.780637e-02
7.195910e+01 5.887168e-02
7.312300e+01 5.995667e-02
7.430570e+01 6.106162e-02
7.550760e+01 6.218697e-02
