# material=Po density=9.196
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.101294e-02
1.016170e+01 1.112283e-02
1.032610e+01 1.123392e-02
1.049310e+01 1.134604e-02
1.066280e+01 1.145930e-02
1.083530e+01 1.151523e-02
1.101060e+01 1.154922e-02
1.118860e+01 1.158317e-02
1.136960e+01 1.161735e-02
1.155350e+01 1.165160e-02
1.174040e+01 1.175747e-02
1.193030e+01 1.188200e-02
1.212320e+01 1.200776e-02
1.231930e+01 1.213493e-02
1.251860e+01 1.226349e-02
1.272100e+01 1.250060e-02
1.292680e+01 1.278020e-02
1.313590e+01 1.306600e-02
1.334830e+01 1.335812e-02
1.356420e+01 1.365714e-02
1.378360e+01 1.397846e-02
1.400660e+01 1.430742e-02
1.423310e+01 1.464402e-02
1.446330e+01 1.498854e-02
1.469730e+01 1.534128e-02
1.493500e+01 1.567029e-02
1.517650e+01 1.600448e-02
1.542200e+01 1.634589e-02
1.567140e+01 1.669452e-02
1.592490e+01 1.705062e-02
1.618250e+01 1.741436e-02
1.644420e+01 1.778400e-02
1.671020e+01 1.814951e-02
1.698050e+01 1.852254e-02
1.725510e+01 1.890320e-02
1.753420e+01 1.929167e-02
1.781780e+01 1.995952e-02
1.810600e+01 2.082075e-02
1.839890e+01 2.171914e-02
1.869640e+01 2.265620e-02
1.899880e+01 2.364233e-02
1.930610e+01 2.469010e-02
1.961840e+01 2.578439e-02
1.993570e+01 2.692705e-02
2.025820e+01 2.812051e-02
2.058580e+01 2.954375e-02
2.091880e+01 3.107470e-02
2.125710e+01 3.268488e-02
2.160090e+01 3.450285e-02
2.195030e+01 3.741663e-02
2.230530e+01 4.057647e-02
2.266610e+01 4.400312e-02
2.303270e+01 4.738178e-02
2.340530e+01 5.078514e-02
2.378380e+01 5.443270e-02
2.416850e+01 5.845796e-02
2.455940e+01 6.294159e-02
2.495660e+01 6.776903e-02
2.536030e+01 7.247132e-02
2.577050e+01 7.720663e-02
2.618730e+01 8.225098e-02
2.661090e+01 8.424555e-02
2.704130e+01 8.580334e-02
2.747860e+01 8.799302e-02
2.792310e+01 9.114829e-02
2.837470e+01 9.295174e-02
2.883370e+01 9.222353e-02
2.930000e+01 9.139440e-02
2.977390e+01 8.945586e-02
3.025550e+01 8.755845e-02
3.074490e+01 7.210947e-02
3.124210e+01 5.033896e-02
3.174750e+01 3.551578e-02
3.226090e+01 3.377736e-02
3.278270e+01 3.231730e-02
3.331300e+01 3.110532e-02
3.385180e+01 2.994225e-02
3.439930e+01 2.987999e-02
3.495570e+01 2.981796e-02
3.552110e+01 2.988634e-02
3.609560e+01 3.021451e-02
3.667940e+01 3.054629e-02
3.727270e+01 3.088247e-02
3.787550e+01 3.122237e-02
3.848820e+01 3.156610e-02
3.911070e+01 3.136430e-02
