# material=Pr density=6.64
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 3.992070e-02
1.016170e+01 4.084754e-02
1.032610e+01 4.179623e-02
1.049310e+01 4.276704e-02
1.066280e+01 4.376038e-02
1.083530e+01 4.477660e-02
1.101060e+01 4.581677e-02
1.118860e+01 4.688046e-02
1.136960e+01 4.796926e-02
1.155350e+01 4.908352e-02
1.174040e+01 5.022363e-02
1.193030e+01 5.141281e-02
1.212320e+01 5.269575e-02
1.231930e+01 5.401088e-02
1.251860e+01 5.535872e-02
1.272100e+01 5.673985e-02
1.292680e+01 5.815621e-02
1.313590e+01 5.997493e-02
1.334830e+01 6.192299e-02
1.356420e+01 6.393437e-02
1.378360e+01 6.601120e-02
1.400660e+01 6.955759e-02
1.423310e+01 7.207111e-02
1.446330e+01 7.467542e-02
1.469730e+01 7.737413e-02
1.493500e+01 8.055340e-02
1.517650e+01 8.407870e-02
1.542200e+01 8.775857e-02
1.567140e+01 9.159930e-02
1.592490e+01 9.560845e-02
1.618250e+01 9.979318e-02
1.644420e+01 1.040165e-01
1.671020e+01 1.082959e-01
1.698050e+01 1.127512e-01
1.725510e+01 1.173893e-01
1.753420e+01 1.222188e-01
1.781780e+01 1.272468e-01
1.810600e+01 1.324817e-01
1.839890e+01 1.379322e-01
1.869640e+01 1.428598e-01
1.899880e+01 1.476733e-01
1.930610e+01 1.525402e-01
1.961840e+01 1.521135e-01
1.993570e+01 1.478564e-01
2.025820e+01 1.281777e-01
2.058580e+01 9.176751e-02
2.091880e+01 7.302433e-02
2.125710e+01 6.363140e-02
2.160090e+01 6.074137e-02
2.195030e+01 6.205606e-02
2.230530e+01 6.288553e-02
2.266610e+01 6.168166e-02
2.303270e+01 5.735466e-02
2.340530e+01 5.085460e-02
2.378380e+01 4.258024e-02
2.416850e+01 2.851786e-02
2.455940e+01 1.014977e-02
2.495660e+01 8.899805e-03
2.536030e+01 8.514580e-03
2.577050e+01 8.442701e-03
2.618730e+01 8.385268e-03
2.661090e+01 8.389019e-03
2.704130e+01 8.517727e-03
2.747860e+01 8.676988e-03
2.792310e+01 8.839322e-03
2.837470e+01 9.004607e-03
2.883370e+01 9.173013e-03
2.930000e+01 9.622571e-03
2.977390e+01 1.010031e-02
3.025550e+01 1.060180e-02
3.074490e+01 1.112813e-02
3.124210e+01 1.168057e-02
3.174750e+01 1.230475e-02
3.226090e+01 1.297109e-02
3.278270e+01 1.367342e-02
3.331300e+01 1.441390e-02
3.385180e+01 1.519444e-02
3.439930e+01 1.601712e-02
3.495570e+01 1.688450e-02
3.552110e+01 1.779878e-02
3.609560e+01 1.876258e-02
3.667940e+01 1.977857e-02
3.727270e+01 2.084960e-02
3.787550e+01 2.197858e-02
3.848820e+01 2.316878e-02
3.911070e+01 2.442331e-02
3.974320e+01 2.574582e-02
4.038610e+01 2.714000e-02
4.103930e+01 2.855312e-02
4.170310e+01 3.002080e-02
4.237760e+01 3.156387e-02
4.306300e+01 3.318627e-02
4.375950e+01 3.489202e-02
4.446730e+01 3.668556e-02
4.518650e+01 3.857119e-02
4.591740e+01 4.055381e-02
4.666000e+01 4.263817e-02
4.741470e+01 4.475916e-02
4.818160e+01 4.672879e-02
4.896090e+01 4.878505e-02
4.975280e+01 5.093195e-02
5.055760e+01 5.317328e-02
5.137530e+01 5.551312e-02
5.220620e+01 5.795599e-02
5.305060e+01 6.050626e-02
5.390870e+01 6.316890e-02
5.478060e+01 6.530434e-02
5.566670e+01 6.738830e-02
5.656700e+01 6.953867e-02
5.748200e+01 7.175780e-02
5.841170e+01 7.404752e-02
5.935640e+01 7.641043e-02
6.031650e+01 7.884881e-02
6.129210e+01 8.151347e-02
6.228340e+01 8.432803e-02
6.329080e+01 8.723949e-02
6.431450e+01 9.025177e-02
6.535470e+01 9.336777e-02
6.641180e+01 9.588876e-02
6.748590e+01 9.838209e-02
6.857750e+01 1.009402e-01
6.968670e+01 1.035649e-01
7.081380e+01 1.062576e-01
7.195910e+01 1.090207e-01
7.312300e+01 1.112607e-01
7.430570e+01 1.131791e-01
7.550760e+01 1.151308e-01
7.672890e+01 1.171162e-01
7.796990e+01 1.191355e-01
7.923100e+01 1.211899e-01
8.051250e+01 1.232798e-01
8.181470e+01 1.254054e-01
8.313800e+01 1.281278e-01
8.448270e+01 1.313226e-01
8.584910e+01 1.345967e-01
8.723770e+01 1.379527e-01
8.864870e+01 1.413926e-01
9.008250e+01 1.446623e-01
9.153950e+01 1.472112e-01
9.302010e+01 1.498053e-01
9.452460e+01 1.524449e-01
9.605350e+01 1.551309e-01
9.760710e+01 1.578640e-01
9.918580e+01 1.606455e-01
1.007900e+02 1.634763e-01
1.024200e+02 1.663561e-01
1.040770e+02 1.692879e-01
1.057600e+02 1.717855e-01
1.074710e+02 1.685081e-01
1.092090e+02 7.208381e-02
1.109750e+02 7.545792e-02
1.127700e+02 8.011760e-02
1.145940e+02 6.863971e-02
1.164480e+02 5.842538e-02
1.183310e+02 4.922957e-02
1.202450e+02 2.764779e-02
1.221900e+02 1.396907e-02
1.241660e+02 8.058746e-03
1.261750e+02 8.185428e-03
1.282150e+02 9.623806e-03
1.302890e+02 1.160632e-02
1.323970e+02 1.324930e-02
1.345380e+02 1.512480e-02
1.367140e+02 1.692865e-02
1.389250e+02 1.883800e-02
1.411720e+02 2.096261e-02
1.434560e+02 2.332704e-02
1.457760e+02 2.576367e-02
1.481340e+02 2.843743e-02
1.505300e+02 3.138871e-02
1.529640e+02 3.467629e-02
1.554390e+02 3.939452e-02
1.579530e+02 4.475426e-02
1.605070e+02 5.077368e-02
1.631030e+02 5.683369e-02
1.657420e+02 6.361764e-02
1.684220e+02 7.118843e-02
1.711460e+02 7.914012e-02
1.739150e+02 8.797997e-02
1.767270e+02 9.780626e-02
1.795860e+02 1.111660e-01
1.824910e+02 1.249980e-01
1.854420e+02 1.373224e-01
1.884420e+02 1.477904e-01
