# material=Pt density=21.09
# Photon Energy [eV]  Attenuation Length [um]
1.000000e-01 2.245025e-02
1.300000e-01 2.103380e-02
1.500000e-01 2.144301e-02
1.700000e-01 2.170236e-02
2.000000e-01 2.090631e-02
2.200000e-01 2.121623e-02
2.500000e-01 2.069083e-02
2.800000e-01 2.024852e-02
3.000000e-01 2.064872e-02
3.200000e-01 2.104731e-02
3.500000e-01 2.092835e-02
3.800000e-01 2.112686e-02
4.000000e-01 2.200725e-02
4.300000e-01 2.265799e-02
4.500000e-01 2.395301e-02
4.700000e-01 2.541828e-02
5.000000e-01 2.603200e-02
5.200000e-01 2.607882e-02
5.500000e-01 2.555445e-02
5.700000e-01 2.555258e-02
6.000000e-01 2.477816e-02
6.300000e-01 2.377446e-02
6.500000e-01 2.318131e-02
7.000000e-01 2.098973e-02
7.300000e-01 1.977963e-02
7.700000e-01 1.851242e-02
8.000000e-01 1.781826e-02
8.200000e-01 1.745781e-02
8.800000e-01 1.640861e-02
1.000000e+00 1.515891e-02
1.300000e+00 1.375988e-02
1.400000e+00 1.347345e-02
1.800000e+00 1.258508e-02
1.900000e+00 1.239853e-02
2.200000e+00 1.209944e-02
2.300000e+00 1.188856e-02
2.500000e+00 1.173722e-02
2.900000e+00 1.149642e-02
3.100000e+00 1.139856e-02
3.200000e+00 1.136238e-02
3.400000e+00 1.126548e-02
3.700000e+00 1.120755e-02
3.800000e+00 1.114287e-02
4.000000e+00 1.115028e-02
4.200000e+00 1.116509e-02
4.400000e+00 1.118001e-02
4.600000e+00 1.118760e-02
4.800000e+00 1.130092e-02
5.000000e+00 1.140367e-02
5.200000e+00 1.155599e-02
5.600000e+00 1.163615e-02
5.800000e+00 1.177024e-02
6.000000e+00 1.194671e-02
6.048000e+00 1.185226e-02
6.100000e+00 1.200769e-02
6.199000e+00 1.199103e-02
6.199000e+00 1.208139e-02
6.358000e+00 1.223507e-02
6.702000e+00 1.207565e-02
7.085000e+00 1.151512e-02
7.293000e+00 1.127862e-02
