# material=Ra density=5.0
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.581097e+00
1.016170e+01 2.436988e+00
1.032610e+01 2.300946e+00
1.049310e+01 2.172484e+00
1.066280e+01 2.051192e+00
1.083530e+01 1.936686e+00
1.101060e+01 1.828568e+00
1.118860e+01 1.726468e+00
1.136960e+01 1.630087e+00
1.155350e+01 1.531651e+00
1.174040e+01 1.407992e+00
1.193030e+01 1.302859e+00
1.212320e+01 1.228001e+00
1.231930e+01 1.157455e+00
1.251860e+01 1.090956e+00
1.272100e+01 1.018613e+00
1.292680e+01 9.510048e-01
1.313590e+01 8.861626e-01
1.334830e+01 8.062697e-01
1.356420e+01 7.335811e-01
1.378360e+01 6.786921e-01
1.400660e+01 6.315272e-01
1.423310e+01 5.848529e-01
1.446330e+01 5.010839e-01
1.469730e+01 4.558723e-01
1.493500e+01 4.068306e-01
1.517650e+01 3.616653e-01
1.542200e+01 3.262915e-01
1.567140e+01 2.797838e-01
1.592490e+01 2.209723e-01
1.618250e+01 1.696024e-01
1.644420e+01 1.162955e-01
1.671020e+01 8.085733e-02
1.698050e+01 5.935479e-02
1.725510e+01 4.831341e-02
1.753420e+01 4.044408e-02
1.781780e+01 3.455252e-02
1.810600e+01 3.069232e-02
1.839890e+01 2.726338e-02
1.869640e+01 2.576524e-02
1.899880e+01 2.435544e-02
1.930610e+01 2.302279e-02
1.961840e+01 2.254064e-02
1.993570e+01 2.216379e-02
2.025820e+01 2.187797e-02
2.058580e+01 2.164867e-02
2.091880e+01 2.142210e-02
2.125710e+01 2.140609e-02
2.160090e+01 2.150234e-02
2.195030e+01 2.159894e-02
2.230530e+01 2.185456e-02
2.266610e+01 2.215290e-02
2.303270e+01 2.245522e-02
2.340530e+01 2.276166e-02
2.378380e+01 2.305940e-02
2.416850e+01 2.334535e-02
2.455940e+01 2.363494e-02
2.495660e+01 2.392823e-02
2.536030e+01 2.422512e-02
2.577050e+01 2.457172e-02
2.618730e+01 2.519863e-02
2.661090e+01 2.584144e-02
2.704130e+01 2.650041e-02
2.747860e+01 2.717642e-02
2.792310e+01 2.804493e-02
2.837470e+01 2.948181e-02
2.883370e+01 3.099237e-02
2.930000e+01 3.258015e-02
2.977390e+01 3.433721e-02
3.025550e+01 3.692381e-02
3.074490e+01 3.970516e-02
3.124210e+01 4.269598e-02
3.174750e+01 4.591225e-02
3.226090e+01 4.923686e-02
3.278270e+01 5.233610e-02
3.331300e+01 5.563050e-02
3.385180e+01 5.913219e-02
3.439930e+01 6.285421e-02
3.495570e+01 6.681066e-02
3.552110e+01 7.101604e-02
3.609560e+01 7.548604e-02
3.667940e+01 8.023762e-02
3.727270e+01 8.529978e-02
3.787550e+01 9.098899e-02
3.848820e+01 9.705848e-02
3.911070e+01 1.035321e-01
3.974320e+01 1.104378e-01
4.038610e+01 1.178044e-01
4.103930e+01 1.256619e-01
4.170310e+01 1.340436e-01
4.237760e+01 1.429847e-01
4.306300e+01 1.525528e-01
4.375950e+01 1.634205e-01
4.446730e+01 1.750627e-01
4.518650e+01 1.875341e-01
4.591740e+01 2.008943e-01
4.666000e+01 2.152055e-01
4.741470e+01 2.305374e-01
4.818160e+01 2.469608e-01
4.896090e+01 2.655961e-01
4.975280e+01 2.865562e-01
5.055760e+01 3.091703e-01
5.137530e+01 3.335675e-01
5.220620e+01 3.595159e-01
5.305060e+01 3.806696e-01
5.390870e+01 4.030690e-01
5.478060e+01 4.305836e-01
5.566670e+01 4.739432e-01
5.656700e+01 5.063178e-01
5.748200e+01 5.278576e-01
5.841170e+01 5.503165e-01
5.935640e+01 5.673884e-01
6.031650e+01 5.777228e-01
6.129210e+01 5.837307e-01
6.228340e+01 5.703009e-01
6.329080e+01 5.495037e-01
6.431450e+01 5.118590e-01
6.535470e+01 4.616468e-01
6.641180e+01 4.063603e-01
6.748590e+01 3.373797e-01
6.857750e+01 2.801119e-01
6.968670e+01 2.325632e-01
7.081380e+01 1.930869e-01
7.195910e+01 1.592316e-01
7.312300e+01 1.083538e-01
7.430570e+01 7.373160e-02
7.550760e+01 5.017132e-02
7.672890e+01 3.406011e-02
7.796990e+01 2.896040e-02
7.923100e+01 2.613811e-02
8.051250e+01 2.514638e-02
8.181470e+01 2.419228e-02
8.313800e+01 2.327440e-02
8.448270e+01 2.267129e-02
8.584910e+01 2.243761e-02
8.723770e+01 2.220628e-02
8.864870e+01 2.217041e-02
9.008250e+01 2.241709e-02
9.153950e+01 2.266644e-02
9.302010e+01 2.291863e-02
9.452460e+01 2.331359e-02
9.605350e+01 2.415372e-02
9.760710e+01 2.502419e-02
9.918580e+01 2.592595e-02
1.007900e+02 2.686027e-02
1.024200e+02 2.782815e-02
1.040770e+02 2.926875e-02
1.057600e+02 3.092293e-02
1.074710e+02 3.267094e-02
1.092090e+02 3.451751e-02
1.109750e+02 3.646835e-02
1.127700e+02 3.852979e-02
1.145940e+02 4.070759e-02
1.164480e+02 4.300859e-02
1.183310e+02 4.543943e-02
1.202450e+02 4.853030e-02
1.221900e+02 5.185257e-02
1.241660e+02 5.540213e-02
1.261750e+02 5.919493e-02
1.282150e+02 6.324702e-02
1.302890e+02 6.757679e-02
1.323970e+02 7.220298e-02
1.345380e+02 7.714556e-02
1.367140e+02 8.286515e-02
1.389250e+02 8.907483e-02
1.411720e+02 9.574918e-02
1.434560e+02 1.029245e-01
1.457760e+02 1.106361e-01
1.481340e+02 1.189271e-01
1.505300e+02 1.278382e-01
1.529640e+02 1.374172e-01
1.554390e+02 1.477154e-01
1.579530e+02 1.587832e-01
1.605070e+02 1.706808e-01
1.631030e+02 1.834697e-01
1.657420e+02 1.996677e-01
