# material=Rb density=1.532
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.902550e+00
1.016170e+01 1.896317e+00
1.032610e+01 1.887505e+00
1.049310e+01 1.869435e+00
1.066280e+01 1.851538e+00
1.083530e+01 1.833821e+00
1.101060e+01 1.816276e+00
1.118860e+01 1.787210e+00
1.136960e+01 1.752858e+00
1.155350e+01 1.719162e+00
1.174040e+01 1.686118e+00
1.193030e+01 1.653706e+00
1.212320e+01 1.620092e+00
1.231930e+01 1.574134e+00
1.251860e+01 1.529490e+00
1.272100e+01 1.486098e+00
1.292680e+01 1.443952e+00
1.313590e+01 1.389258e+00
1.334830e+01 1.330894e+00
1.356420e+01 1.274983e+00
1.378360e+01 1.216692e+00
1.400660e+01 1.154985e+00
1.423310e+01 1.096404e+00
1.446330e+01 1.040794e+00
1.469730e+01 9.785402e-01
1.493500e+01 9.051114e-01
1.517650e+01 4.856548e-01
1.542200e+01 2.297967e-01
1.567140e+01 1.087308e-01
1.592490e+01 5.144756e-02
1.618250e+01 2.434309e-02
1.644420e+01 2.237940e-02
1.671020e+01 2.158599e-02
1.698050e+01 2.082059e-02
1.725510e+01 2.008244e-02
1.753420e+01 1.937032e-02
1.781780e+01 1.868365e-02
1.810600e+01 1.817041e-02
1.839890e+01 1.789068e-02
1.869640e+01 1.761524e-02
1.899880e+01 1.734401e-02
1.930610e+01 1.707704e-02
1.961840e+01 1.681413e-02
1.993570e+01 1.659088e-02
2.025820e+01 1.645287e-02
2.058580e+01 1.631583e-02
2.091880e+01 1.618008e-02
2.125710e+01 1.604548e-02
2.160090e+01 1.591190e-02
2.195030e+01 1.577947e-02
2.230530e+01 1.564818e-02
2.266610e+01 1.551798e-02
2.303270e+01 1.546579e-02
2.340530e+01 1.555098e-02
2.378380e+01 1.563656e-02
2.416850e+01 1.572263e-02
2.455940e+01 1.580921e-02
2.495660e+01 1.589625e-02
2.536030e+01 1.598375e-02
2.577050e+01 1.607175e-02
2.618730e+01 1.658097e-02
2.661090e+01 1.711666e-02
2.704130e+01 1.766963e-02
2.747860e+01 1.824045e-02
2.792310e+01 1.887017e-02
2.837470e+01 1.991921e-02
2.883370e+01 2.102659e-02
2.930000e+01 2.219535e-02
2.977390e+01 2.342919e-02
3.025550e+01 2.473165e-02
3.074490e+01 2.610650e-02
3.124210e+01 2.755771e-02
3.174750e+01 2.960550e-02
3.226090e+01 3.244714e-02
3.278270e+01 3.556161e-02
3.331300e+01 3.897510e-02
3.385180e+01 4.271620e-02
3.439930e+01 4.681658e-02
3.495570e+01 5.131042e-02
3.552110e+01 5.623561e-02
3.609560e+01 6.163348e-02
3.667940e+01 6.754948e-02
3.727270e+01 7.403341e-02
3.787550e+01 8.113946e-02
3.848820e+01 8.892833e-02
3.911070e+01 9.743313e-02
3.974320e+01 1.060928e-01
4.038610e+01 1.155225e-01
4.103930e+01 1.257901e-01
4.170310e+01 1.369705e-01
4.237760e+01 1.491443e-01
4.306300e+01 1.624003e-01
4.375950e+01 1.768338e-01
4.446730e+01 1.925510e-01
4.518650e+01 2.096646e-01
4.591740e+01 2.283005e-01
4.666000e+01 2.485912e-01
4.741470e+01 2.706855e-01
4.818160e+01 2.947440e-01
4.896090e+01 3.209413e-01
4.975280e+01 3.505559e-01
5.055760e+01 3.834531e-01
5.137530e+01 4.194406e-01
5.220620e+01 4.588009e-01
5.305060e+01 5.018576e-01
5.390870e+01 5.489540e-01
5.478060e+01 6.004721e-01
5.566670e+01 6.568232e-01
5.656700e+01 7.184663e-01
5.748200e+01 7.682033e-01
5.841170e+01 8.181846e-01
5.935640e+01 8.714175e-01
6.031650e+01 9.281170e-01
6.129210e+01 9.885051e-01
6.228340e+01 1.052819e+00
6.329080e+01 1.121319e+00
6.431450e+01 1.194277e+00
6.535470e+01 1.233721e+00
6.641180e+01 1.269096e+00
6.748590e+01 1.305484e+00
6.857750e+01 1.342918e+00
6.968670e+01 1.372659e+00
7.081380e+01 1.399984e+00
7.195910e+01 1.427853e+00
7.312300e+01 1.456280e+00
7.430570e+01 1.474822e+00
7.550760e+01 1.490799e+00
7.672890e+01 1.504113e+00
7.796990e+01 1.511835e+00
7.923100e+01 1.519595e+00
8.051250e+01 1.516963e+00
8.181470e+01 1.509611e+00
8.313800e+01 1.502295e+00
8.448270e+01 1.495016e+00
8.584910e+01 1.492802e+00
8.723770e+01 1.491205e+00
8.864870e+01 1.489609e+00
9.008250e+01 1.488014e+00
9.153950e+01 1.484215e+00
9.302010e+01 1.466513e+00
9.452460e+01 1.449023e+00
9.605350e+01 1.431743e+00
9.760710e+01 1.414667e+00
9.918580e+01 1.361284e+00
1.007900e+02 1.307981e+00
1.024200e+02 1.253305e+00
1.040770e+02 1.149852e+00
1.057600e+02 1.038348e+00
1.074710e+02 8.844404e-01
1.092090e+02 6.865454e-01
1.109750e+02 5.618826e-01
1.127700e+02 5.388823e-01
1.145940e+02 5.964731e-01
1.164480e+02 6.832726e-01
1.183310e+02 6.358098e-01
1.202450e+02 5.840974e-01
1.221900e+02 5.430355e-01
1.241660e+02 5.048603e-01
1.261750e+02 4.672392e-01
1.282150e+02 4.310966e-01
1.302890e+02 3.977541e-01
1.323970e+02 3.669916e-01
1.345380e+02 3.443739e-01
1.367140e+02 3.237299e-01
1.389250e+02 3.043225e-01
1.411720e+02 2.890669e-01
1.434560e+02 2.758137e-01
1.457760e+02 2.631664e-01
1.481340e+02 2.539948e-01
1.505300e+02 2.452341e-01
1.529640e+02 2.367744e-01
1.554390e+02 2.286089e-01
1.579530e+02 2.223536e-01
1.605070e+02 2.165821e-01
1.631030e+02 2.109613e-01
1.657420e+02 2.054876e-01
1.684220e+02 2.001551e-01
1.711460e+02 1.949601e-01
1.739150e+02 1.907519e-01
1.767270e+02 1.868058e-01
1.795860e+02 1.829433e-01
1.824910e+02 1.800437e-01
1.854420e+02 1.774076e-01
1.884420e+02 1.748106e-01
1.914890e+02 1.735093e-01
1.945870e+02 1.726917e-01
1.977340e+02 1.718776e-01
2.009320e+02 1.711375e-01
2.041820e+02 1.706237e-01
2.074850e+02 1.701114e-01
2.108400e+02 1.696002e-01
2.142510e+02 1.690917e-01
2.177160e+02 1.685838e-01
2.212370e+02 1.680775e-01
2.248160e+02 1.675729e-01
2.284520e+02 1.670698e-01
2.321470e+02 1.693199e-01
2.359020e+02 1.720435e-01
2.397170e+02 1.748095e-01
2.435950e+02 1.773380e-01
2.475350e+02 1.790627e-01
2.515380e+02 1.808032e-01
2.556070e+02 1.825620e-01
2.597410e+02 1.843368e-01
2.639420e+02 1.861296e-01
2.682110e+02 1.879404e-01
2.725490e+02 1.897675e-01
2.769570e+02 1.916130e-01
2.814370e+02 1.938234e-01
2.859890e+02 1.966192e-01
2.906150e+02 1.994562e-01
2.953150e+02 2.023331e-01
3.000920e+02 2.052518e-01
3.049450e+02 2.082123e-01
3.098780e+02 2.112161e-01
3.148900e+02 2.142633e-01
3.199830e+02 2.188779e-01
3.251580e+02 2.245379e-01
3.304180e+02 2.303466e-01
3.357620e+02 2.363038e-01
3.411920e+02 2.424160e-01
3.467110e+02 2.486855e-01
3.523190e+02 2.551179e-01
3.580170e+02 2.617168e-01
3.638080e+02 2.678138e-01
3.696920e+02 2.738161e-01
3.756720e+02 2.799485e-01
3.817480e+02 2.862218e-01
3.879220e+02 2.927765e-01
3.941970e+02 2.998012e-01
4.005730e+02 3.081594e-01
4.070520e+02 3.172228e-01
4.136350e+02 3.265433e-01
4.203260e+02 3.361430e-01
4.271240e+02 3.460254e-01
4.340320e+02 3.562014e-01
4.410520e+02 3.666770e-01
4.481860e+02 3.775132e-01
4.554350e+02 3.889319e-01
4.628020e+02 4.008703e-01
4.702870e+02 4.132778e-01
4.778940e+02 4.260886e-01
4.856230e+02 4.392782e-01
4.934780e+02 4.528756e-01
5.014590e+02 4.668998e-01
5.095700e+02 4.813652e-01
5.178120e+02 4.963374e-01
5.261870e+02 5.119793e-01
5.346980e+02 5.285068e-01
5.433460e+02 5.457746e-01
5.521340e+02 5.636208e-01
5.610650e+02 5.826249e-01
5.701390e+02 6.024958e-01
