# material=Re density=21.02
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.156107e-02
1.016170e+01 1.119148e-02
1.032610e+01 1.083382e-02
1.049310e+01 1.048745e-02
1.066280e+01 1.015222e-02
1.083530e+01 9.971452e-03
1.101060e+01 9.820790e-03
1.118860e+01 9.672282e-03
1.136960e+01 9.526091e-03
1.155350e+01 9.382117e-03
1.174040e+01 9.236008e-03
1.193030e+01 9.090730e-03
1.212320e+01 8.947689e-03
1.231930e+01 8.806965e-03
1.251860e+01 8.668464e-03
1.272100e+01 8.528237e-03
1.292680e+01 8.389704e-03
1.313590e+01 8.253381e-03
1.334830e+01 8.119231e-03
1.356420e+01 7.984619e-03
1.378360e+01 7.831494e-03
1.400660e+01 7.681326e-03
1.423310e+01 7.533988e-03
1.446330e+01 7.389471e-03
1.469730e+01 7.265699e-03
1.493500e+01 7.168949e-03
1.517650e+01 7.073458e-03
1.542200e+01 6.979307e-03
1.567140e+01 6.886370e-03
1.592490e+01 6.793700e-03
1.618250e+01 6.693207e-03
1.644420e+01 6.594181e-03
1.671020e+01 6.496657e-03
1.698050e+01 6.400569e-03
1.725510e+01 6.305864e-03
1.753420e+01 6.212600e-03
1.781780e+01 6.120701e-03
1.810600e+01 6.051044e-03
1.839890e+01 5.990521e-03
1.869640e+01 5.930555e-03
1.899880e+01 5.871226e-03
1.930610e+01 5.825131e-03
1.961840e+01 5.836296e-03
1.993570e+01 5.847469e-03
2.025820e+01 5.858687e-03
2.058580e+01 5.869895e-03
2.091880e+01 5.881149e-03
2.125710e+01 5.892396e-03
2.160090e+01 5.957081e-03
2.195030e+01 6.026376e-03
2.230530e+01 6.096465e-03
2.266610e+01 6.167382e-03
2.303270e+01 6.239125e-03
2.340530e+01 6.344546e-03
2.378380e+01 6.494185e-03
2.416850e+01 6.647373e-03
2.455940e+01 6.804163e-03
2.495660e+01 6.976735e-03
2.536030e+01 7.329626e-03
2.577050e+01 7.700365e-03
2.618730e+01 8.089836e-03
2.661090e+01 8.529026e-03
2.704130e+01 9.034965e-03
2.747860e+01 9.570904e-03
2.792310e+01 1.013869e-02
2.837470e+01 1.072235e-02
2.883370e+01 1.133939e-02
2.930000e+01 1.199188e-02
2.977390e+01 1.268191e-02
3.025550e+01 1.343620e-02
3.074490e+01 1.427370e-02
3.124210e+01 1.516338e-02
3.174750e+01 1.575324e-02
3.226090e+01 1.606658e-02
3.278270e+01 1.638618e-02
3.331300e+01 1.668794e-02
3.385180e+01 1.693922e-02
3.439930e+01 1.719435e-02
3.495570e+01 1.745328e-02
3.552110e+01 1.745290e-02
3.609560e+01 1.742450e-02
3.667940e+01 1.739617e-02
3.727270e+01 1.736789e-02
3.787550e+01 1.719766e-02
3.848820e+01 1.688968e-02
3.911070e+01 1.520749e-02
3.974320e+01 1.369280e-02
4.038610e+01 1.232903e-02
4.103930e+01 1.110106e-02
4.170310e+01 9.995403e-03
4.237760e+01 9.435493e-03
4.306300e+01 8.911355e-03
4.375950e+01 8.416373e-03
4.446730e+01 8.208432e-03
4.518650e+01 8.167658e-03
4.591740e+01 8.127063e-03
4.666000e+01 8.086688e-03
4.741470e+01 8.129741e-03
4.818160e+01 8.220326e-03
4.896090e+01 8.354976e-03
4.975280e+01 8.368281e-03
5.055760e+01 8.347121e-03
5.137530e+01 8.276172e-03
5.220620e+01 7.958333e-03
5.305060e+01 7.688215e-03
5.390870e+01 7.498016e-03
5.478060e+01 7.379597e-03
5.566670e+01 7.263047e-03
5.656700e+01 7.223329e-03
5.748200e+01 7.206537e-03
5.841170e+01 7.353398e-03
5.935640e+01 7.507524e-03
6.031650e+01 7.667472e-03
6.129210e+01 7.830786e-03
6.228340e+01 8.069935e-03
6.329080e+01 8.369316e-03
6.431450e+01 8.711870e-03
6.535470e+01 9.144506e-03
6.641180e+01 9.730185e-03
6.748590e+01 1.045327e-02
6.857750e+01 1.123001e-02
6.968670e+01 1.185427e-02
7.081380e+01 1.249071e-02
7.195910e+01 1.316117e-02
7.312300e+01 1.386767e-02
7.430570e+01 1.461220e-02
7.550760e+01 1.539667e-02
7.672890e+01 1.622314e-02
7.796990e+01 1.709099e-02
7.923100e+01 1.796371e-02
8.051250e+01 1.888104e-02
8.181470e+01 1.984517e-02
8.313800e+01 2.085860e-02
8.448270e+01 2.192370e-02
8.584910e+01 2.304320e-02
8.723770e+01 2.408091e-02
8.864870e+01 2.493531e-02
9.008250e+01 2.582002e-02
9.153950e+01 2.673609e-02
9.302010e+01 2.768473e-02
9.452460e+01 2.842846e-02
9.605350e+01 2.887488e-02
9.760710e+01 2.932826e-02
9.918580e+01 2.978879e-02
1.007900e+02 3.025652e-02
1.024200e+02 3.066145e-02
1.040770e+02 3.061768e-02
1.057600e+02 3.057378e-02
1.074710e+02 3.053013e-02
1.092090e+02 3.048637e-02
1.109750e+02 3.036226e-02
1.127700e+02 3.010901e-02
1.145940e+02 2.985784e-02
1.164480e+02 2.960893e-02
1.183310e+02 2.936183e-02
1.202450e+02 2.911690e-02
1.221900e+02 2.893406e-02
1.241660e+02 2.875748e-02
1.261750e+02 2.858219e-02
1.282150e+02 2.840763e-02
1.302890e+02 2.823441e-02
1.323970e+02 2.806229e-02
1.345380e+02 2.789087e-02
1.367140e+02 2.772093e-02
1.389250e+02 2.757640e-02
1.411720e+02 2.747451e-02
1.434560e+02 2.737342e-02
1.457760e+02 2.727227e-02
1.481340e+02 2.717155e-02
1.505300e+02 2.707112e-02
1.529640e+02 2.711483e-02
1.554390e+02 2.717711e-02
1.579530e+02 2.723931e-02
1.605070e+02 2.730156e-02
1.631030e+02 2.736394e-02
1.657420e+02 2.735605e-02
