# material=Rh density=12.45
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.671151e-02
1.016170e+01 1.609092e-02
1.032610e+01 1.549341e-02
1.049310e+01 1.491804e-02
1.066280e+01 1.436396e-02
1.083530e+01 1.383058e-02
1.101060e+01 1.331702e-02
1.118860e+01 1.282243e-02
1.136960e+01 1.234625e-02
1.155350e+01 1.188776e-02
1.174040e+01 1.152795e-02
1.193030e+01 1.119223e-02
1.212320e+01 1.086620e-02
1.231930e+01 1.054973e-02
1.251860e+01 1.024255e-02
1.272100e+01 9.944183e-03
1.292680e+01 9.654588e-03
1.313590e+01 9.373441e-03
1.334830e+01 9.100408e-03
1.356420e+01 8.835347e-03
1.378360e+01 8.588522e-03
1.400660e+01 8.380436e-03
1.423310e+01 8.177319e-03
1.446330e+01 7.979145e-03
1.469730e+01 7.785821e-03
1.493500e+01 7.597129e-03
1.517650e+01 7.412986e-03
1.542200e+01 7.233355e-03
1.567140e+01 7.058055e-03
1.592490e+01 6.913352e-03
1.618250e+01 6.815296e-03
1.644420e+01 6.718592e-03
1.671020e+01 6.623291e-03
1.698050e+01 6.529342e-03
1.725510e+01 6.436698e-03
1.753420e+01 6.345396e-03
1.781780e+01 6.255377e-03
1.810600e+01 6.166638e-03
1.839890e+01 6.079167e-03
1.869640e+01 5.992903e-03
1.899880e+01 5.907889e-03
1.930610e+01 5.834803e-03
1.961840e+01 5.782907e-03
1.993570e+01 5.731464e-03
2.025820e+01 5.680501e-03
2.058580e+01 5.629952e-03
2.091880e+01 5.579889e-03
2.125710e+01 5.530245e-03
2.160090e+01 5.481044e-03
2.195030e+01 5.432298e-03
2.230530e+01 5.413759e-03
2.266610e+01 5.403998e-03
2.303270e+01 5.394146e-03
2.340530e+01 5.384309e-03
2.378380e+01 5.374453e-03
2.416850e+01 5.364643e-03
2.455940e+01 5.354838e-03
2.495660e+01 5.345051e-03
2.536030e+01 5.364641e-03
2.577050e+01 5.409139e-03
2.618730e+01 5.453997e-03
2.661090e+01 5.499252e-03
2.704130e+01 5.574413e-03
2.747860e+01 5.674380e-03
2.792310e+01 5.776172e-03
2.837470e+01 5.879764e-03
2.883370e+01 5.985232e-03
2.930000e+01 6.113996e-03
2.977390e+01 6.249866e-03
3.025550e+01 6.388757e-03
3.074490e+01 6.530741e-03
3.124210e+01 6.675859e-03
3.174750e+01 6.824232e-03
3.226090e+01 7.089302e-03
3.278270e+01 7.370205e-03
3.331300e+01 7.662240e-03
3.385180e+01 7.965842e-03
3.439930e+01 8.281454e-03
3.495570e+01 8.584368e-03
3.552110e+01 8.869597e-03
3.609560e+01 9.164302e-03
3.667940e+01 9.468791e-03
3.727270e+01 9.783422e-03
3.787550e+01 1.007061e-02
3.848820e+01 1.035242e-02
3.911070e+01 1.064210e-02
3.974320e+01 1.079608e-02
4.038610e+01 1.089013e-02
