# material=Ru density=12.37
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.278090e-02
1.016170e+01 1.302882e-02
1.032610e+01 1.323541e-02
1.049310e+01 1.320119e-02
1.066280e+01 1.316701e-02
1.083530e+01 1.313305e-02
1.101050e+01 1.309911e-02
1.118860e+01 1.306523e-02
1.136960e+01 1.296143e-02
1.155350e+01 1.248955e-02
1.174040e+01 1.204557e-02
1.193030e+01 1.167330e-02
1.212320e+01 1.131239e-02
1.231930e+01 1.096278e-02
1.251860e+01 1.062396e-02
1.272100e+01 1.029556e-02
1.292680e+01 9.979909e-03
1.313590e+01 9.687805e-03
1.334830e+01 9.404200e-03
1.356420e+01 9.128973e-03
1.378360e+01 8.861773e-03
1.400660e+01 8.602433e-03
1.423310e+01 8.396411e-03
1.446330e+01 8.205573e-03
1.469720e+01 8.019071e-03
1.493500e+01 7.836876e-03
1.517650e+01 7.658743e-03
1.542200e+01 7.484710e-03
1.567140e+01 7.319448e-03
1.592490e+01 7.163770e-03
1.618250e+01 7.011411e-03
1.644420e+01 6.862261e-03
1.671020e+01 6.716310e-03
1.698050e+01 6.573463e-03
1.725510e+01 6.448052e-03
1.753420e+01 6.352054e-03
1.781780e+01 6.257486e-03
1.810600e+01 6.164329e-03
1.839880e+01 6.072536e-03
1.869640e+01 5.982131e-03
1.899880e+01 5.932386e-03
1.930610e+01 5.903637e-03
1.961840e+01 5.875050e-03
1.993570e+01 5.846570e-03
2.025810e+01 5.818230e-03
2.058580e+01 5.790046e-03
2.091870e+01 5.761976e-03
2.125710e+01 5.760789e-03
2.160090e+01 5.790812e-03
2.195030e+01 5.821004e-03
2.230530e+01 5.851341e-03
2.266610e+01 5.881844e-03
2.303270e+01 5.912504e-03
2.340520e+01 5.943309e-03
2.378380e+01 5.990677e-03
2.416850e+01 6.047635e-03
2.455940e+01 6.105126e-03
2.495660e+01 6.163165e-03
2.536020e+01 6.221743e-03
2.577040e+01 6.280897e-03
2.618720e+01 6.436663e-03
2.661080e+01 6.627770e-03
2.704120e+01 6.824538e-03
2.747860e+01 7.027152e-03
2.792300e+01 7.245533e-03
2.837470e+01 7.509175e-03
2.883360e+01 7.782376e-03
2.930000e+01 8.065551e-03
2.977390e+01 8.359011e-03
3.025540e+01 8.663121e-03
3.074480e+01 8.987451e-03
3.124210e+01 9.376883e-03
3.174740e+01 9.783175e-03
3.226090e+01 1.020708e-02
3.278270e+01 1.064936e-02
3.331290e+01 1.111078e-02
3.385170e+01 1.159193e-02
3.439920e+01 1.209325e-02
3.495560e+01 1.261624e-02
3.552100e+01 1.315991e-02
3.609550e+01 1.372189e-02
3.667930e+01 1.430783e-02
3.727260e+01 1.494807e-02
3.787540e+01 1.564570e-02
3.848800e+01 1.636319e-02
3.911060e+01 1.707877e-02
3.974310e+01 1.782558e-02
4.000390e+01 1.813928e-02
4.058780e+01 1.864942e-02
4.099790e+01 1.849008e-02
4.130410e+01 1.782222e-02
4.158020e+01 1.688544e-02
4.225270e+01 1.433073e-02
4.283600e+01 1.245636e-02
4.317610e+01 1.028165e-02
4.376750e+01 8.895819e-03
4.420330e+01 8.223973e-03
4.467020e+01 7.780755e-03
4.526160e+01 7.390691e-03
4.572850e+01 7.230397e-03
4.610200e+01 7.105903e-03
4.672450e+01 6.845998e-03
4.712920e+01 6.652778e-03
4.762720e+01 6.476357e-03
4.815640e+01 6.356281e-03
4.893530e+01 6.280832e-03
4.899680e+01 6.274995e-03
4.949480e+01 6.279586e-03
5.005510e+01 6.284680e-03
5.051750e+01 6.330089e-03
5.093250e+01 6.352491e-03
5.175630e+01 6.375341e-03
5.259340e+01 6.393360e-03
5.344410e+01 6.421592e-03
5.430850e+01 6.463458e-03
5.518690e+01 6.543214e-03
5.607950e+01 6.648354e-03
5.698650e+01 6.789751e-03
5.790820e+01 7.005098e-03
5.884480e+01 7.240418e-03
5.979660e+01 7.483677e-03
6.076380e+01 7.735102e-03
6.174660e+01 8.066732e-03
6.274530e+01 8.413219e-03
6.376010e+01 8.764826e-03
6.479140e+01 9.201235e-03
6.583940e+01 9.707114e-03
6.690430e+01 1.028620e-02
6.798640e+01 1.091604e-02
6.908600e+01 1.158841e-02
7.020340e+01 1.243920e-02
7.133890e+01 1.336498e-02
7.249270e+01 1.430815e-02
7.366520e+01 1.548362e-02
7.485670e+01 1.677723e-02
7.606750e+01 1.826549e-02
7.729780e+01 1.989206e-02
7.854800e+01 2.177478e-02
7.981850e+01 2.383564e-02
8.110950e+01 2.624341e-02
8.242140e+01 2.896515e-02
8.375450e+01 3.214565e-02
8.510910e+01 3.567663e-02
8.648570e+01 4.030645e-02
8.788450e+01 4.555457e-02
8.930600e+01 5.143629e-02
