# material=S density=1.96
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 9.594289e-03
1.016170e+01 9.328199e-03
1.032610e+01 9.069529e-03
1.049310e+01 8.818015e-03
1.066280e+01 8.573451e-03
1.083530e+01 8.335736e-03
1.101060e+01 8.104603e-03
1.118860e+01 7.879777e-03
1.136960e+01 7.622443e-03
1.155350e+01 7.296987e-03
1.174040e+01 6.985443e-03
1.193030e+01 6.687177e-03
1.212320e+01 6.520608e-03
1.231930e+01 6.399355e-03
1.251860e+01 6.280374e-03
1.272100e+01 6.163533e-03
1.292680e+01 6.148114e-03
1.313590e+01 6.137300e-03
1.334830e+01 6.126465e-03
1.356420e+01 6.115677e-03
1.378360e+01 6.104914e-03
1.400660e+01 6.094188e-03
1.423310e+01 6.083444e-03
1.446330e+01 6.104176e-03
1.469730e+01 6.171980e-03
1.493500e+01 6.240495e-03
1.517650e+01 6.309755e-03
1.542200e+01 6.379825e-03
1.567140e+01 6.450887e-03
1.592490e+01 6.523560e-03
1.618250e+01 6.597047e-03
1.644420e+01 6.671336e-03
1.671020e+01 6.746487e-03
1.698050e+01 6.947936e-03
1.725510e+01 7.171672e-03
1.753420e+01 7.402632e-03
1.781780e+01 7.641036e-03
1.810600e+01 7.887116e-03
1.839890e+01 8.141135e-03
1.869640e+01 8.403285e-03
1.899880e+01 8.709643e-03
1.930610e+01 9.027633e-03
1.961840e+01 9.357240e-03
1.993570e+01 9.698844e-03
2.025820e+01 1.015753e-02
2.058580e+01 1.063933e-02
2.091880e+01 1.114403e-02
2.125710e+01 1.167265e-02
2.160090e+01 1.222633e-02
2.195030e+01 1.280630e-02
2.230530e+01 1.341376e-02
2.266610e+01 1.405008e-02
2.303270e+01 1.495241e-02
2.340530e+01 1.593057e-02
2.378380e+01 1.697260e-02
2.416850e+01 1.807331e-02
2.455940e+01 1.904445e-02
2.495660e+01 2.006774e-02
2.536030e+01 2.114603e-02
2.577050e+01 2.275579e-02
2.618730e+01 2.461358e-02
2.661090e+01 2.665258e-02
2.704130e+01 2.916369e-02
2.747860e+01 3.191137e-02
2.792310e+01 3.491796e-02
2.837470e+01 3.867720e-02
2.883370e+01 4.298553e-02
2.930000e+01 4.777344e-02
2.977390e+01 5.523247e-02
3.025550e+01 6.422519e-02
3.074490e+01 7.183339e-02
3.124210e+01 7.994949e-02
3.174750e+01 8.898305e-02
3.226090e+01 9.876734e-02
3.278270e+01 1.095423e-01
3.331300e+01 1.214626e-01
3.385180e+01 1.341399e-01
3.439930e+01 1.481407e-01
3.495570e+01 1.636202e-01
3.552110e+01 1.808364e-01
3.609560e+01 1.998638e-01
3.667940e+01 2.202879e-01
3.727270e+01 2.418336e-01
3.787550e+01 2.654861e-01
3.848820e+01 2.907023e-01
3.911070e+01 3.174400e-01
3.974320e+01 3.466366e-01
4.038610e+01 3.753551e-01
4.103930e+01 4.054353e-01
4.170310e+01 4.265456e-01
4.237760e+01 4.347989e-01
4.306300e+01 4.432114e-01
4.375950e+01 4.428232e-01
4.446730e+01 4.300473e-01
4.518650e+01 4.176394e-01
4.591740e+01 4.055903e-01
4.666000e+01 3.938878e-01
4.741470e+01 3.825239e-01
4.818160e+01 3.714876e-01
4.896090e+01 3.536769e-01
4.975280e+01 3.352685e-01
5.055760e+01 3.158291e-01
5.137530e+01 2.982599e-01
5.220620e+01 2.913386e-01
5.305060e+01 2.845779e-01
5.390870e+01 2.785897e-01
5.478060e+01 2.745081e-01
5.566670e+01 2.704869e-01
5.656700e+01 2.661277e-01
5.748200e+01 2.604407e-01
5.841170e+01 2.548749e-01
5.935640e+01 2.534996e-01
6.031650e+01 2.533726e-01
6.129210e+01 2.525949e-01
6.228340e+01 2.502962e-01
6.329080e+01 2.480192e-01
6.431450e+01 2.463375e-01
6.535470e+01 2.461720e-01
6.641180e+01 2.460041e-01
6.748590e+01 2.458369e-01
6.857750e+01 2.469900e-01
6.968670e+01 2.483687e-01
7.081380e+01 2.497550e-01
7.195910e+01 2.511492e-01
7.312300e+01 2.544872e-01
7.430570e+01 2.587979e-01
7.550760e+01 2.628474e-01
7.672890e+01 2.656266e-01
7.796990e+01 2.684360e-01
7.923100e+01 2.714627e-01
8.051250e+01 2.754674e-01
8.181470e+01 2.798489e-01
8.313800e+01 2.844930e-01
8.448270e+01 2.892166e-01
8.584910e+01 2.940212e-01
8.723770e+01 2.989033e-01
8.864870e+01 3.039843e-01
9.008250e+01 3.092938e-01
9.153950e+01 3.148887e-01
9.302010e+01 3.209217e-01
9.452460e+01 3.270701e-01
9.605350e+01 3.333394e-01
9.760710e+01 3.397317e-01
9.918580e+01 3.462495e-01
1.007900e+02 3.541872e-01
1.024200e+02 3.636625e-01
1.040770e+02 3.733204e-01
1.057600e+02 3.832325e-01
1.074710e+02 3.930484e-01
1.092090e+02 4.021245e-01
1.109750e+02 4.106262e-01
1.127700e+02 4.188907e-01
1.145940e+02 4.276559e-01
1.164480e+02 4.374725e-01
1.183310e+02 4.477658e-01
1.202450e+02 4.583318e-01
1.221900e+02 4.691354e-01
1.241660e+02 4.801838e-01
1.261750e+02 4.914992e-01
1.282150e+02 5.030806e-01
1.302890e+02 5.149479e-01
1.323970e+02 5.271363e-01
1.345380e+02 5.401631e-01
1.367140e+02 5.537381e-01
1.389250e+02 5.676534e-01
1.411720e+02 5.819209e-01
1.434560e+02 5.965495e-01
1.457760e+02 6.115378e-01
1.481340e+02 6.265299e-01
1.505300e+02 6.412387e-01
1.529640e+02 6.554401e-01
1.554390e+02 6.699648e-01
1.579530e+02 6.848061e-01
1.605070e+02 6.999709e-01
1.624000e+02 7.112653e-01
1.626000e+02 6.020027e-02
1.631030e+02 6.040778e-02
1.657420e+02 6.149708e-02
1.684220e+02 6.260499e-02
