# material=Sb density=6.697
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 4.341927e-03
1.016170e+01 4.360780e-03
1.032610e+01 4.493289e-03
1.049310e+01 4.810879e-03
1.066280e+01 5.160816e-03
1.083530e+01 5.604676e-03
1.101060e+01 6.067894e-03
1.118860e+01 6.473339e-03
1.136960e+01 6.913924e-03
1.155350e+01 7.407283e-03
1.174040e+01 7.918742e-03
1.193030e+01 8.398895e-03
1.212320e+01 8.908134e-03
1.231930e+01 9.392699e-03
1.251860e+01 9.898145e-03
1.272100e+01 1.045091e-02
1.292680e+01 1.111977e-02
1.313590e+01 1.180809e-02
1.334830e+01 1.236370e-02
1.356420e+01 1.297774e-02
1.378360e+01 1.366642e-02
1.400660e+01 1.439170e-02
1.423310e+01 1.514464e-02
1.446330e+01 1.588884e-02
1.469730e+01 1.666969e-02
1.493500e+01 1.780628e-02
1.517650e+01 1.908325e-02
1.542200e+01 2.057212e-02
1.567140e+01 2.207243e-02
1.592490e+01 2.362074e-02
1.618250e+01 2.531621e-02
1.644420e+01 2.716699e-02
1.671020e+01 2.916891e-02
1.698050e+01 3.136566e-02
1.725510e+01 3.372765e-02
1.753420e+01 3.610607e-02
1.781780e+01 3.864242e-02
1.810600e+01 4.142937e-02
1.839890e+01 4.443095e-02
1.869640e+01 4.764960e-02
1.899880e+01 5.092401e-02
1.930610e+01 5.430823e-02
1.961840e+01 5.766225e-02
1.993570e+01 6.189642e-02
2.025820e+01 6.654287e-02
2.058580e+01 7.143578e-02
2.091880e+01 7.541136e-02
2.125710e+01 7.960795e-02
2.160090e+01 8.403789e-02
2.195030e+01 8.937439e-02
2.230530e+01 9.710952e-02
2.266610e+01 1.049871e-01
2.303270e+01 1.104359e-01
2.340530e+01 1.161682e-01
2.378380e+01 1.242853e-01
2.416850e+01 1.353985e-01
2.455940e+01 1.420730e-01
2.495660e+01 1.491960e-01
2.536030e+01 1.610120e-01
2.577050e+01 1.708915e-01
2.618730e+01 1.787743e-01
2.661090e+01 1.870209e-01
2.704130e+01 1.970252e-01
2.747860e+01 2.081150e-01
2.792310e+01 2.189674e-01
2.837470e+01 2.284091e-01
2.883370e+01 2.322602e-01
2.930000e+01 2.361748e-01
2.977390e+01 2.382532e-01
3.025550e+01 2.375430e-01
3.074490e+01 2.335013e-01
3.124210e+01 2.214492e-01
3.174750e+01 2.012486e-01
3.226090e+01 1.719229e-01
3.278270e+01 1.402695e-01
3.331300e+01 6.643368e-02
3.385180e+01 5.577885e-02
3.439930e+01 5.532824e-02
3.495570e+01 5.708056e-02
3.552110e+01 6.326119e-02
3.609560e+01 6.707544e-02
3.667940e+01 7.111173e-02
3.727270e+01 7.515723e-02
3.787550e+01 7.892914e-02
3.848820e+01 8.084544e-02
3.911070e+01 8.143523e-02
3.974320e+01 7.711531e-02
4.038610e+01 7.201871e-02
4.103930e+01 6.570845e-02
4.170310e+01 6.016125e-02
4.237760e+01 5.526445e-02
4.306300e+01 5.000458e-02
4.375950e+01 4.550183e-02
4.446730e+01 4.174310e-02
4.518650e+01 3.820434e-02
4.591740e+01 3.458144e-02
4.666000e+01 3.269820e-02
4.741470e+01 3.087104e-02
4.818160e+01 2.914606e-02
4.896090e+01 2.751743e-02
4.975280e+01 2.646859e-02
5.055760e+01 2.557097e-02
5.137530e+01 2.470374e-02
5.220620e+01 2.374472e-02
5.305060e+01 2.265962e-02
5.390870e+01 2.162400e-02
5.478060e+01 2.086348e-02
5.566670e+01 2.019228e-02
5.656700e+01 1.954263e-02
5.748200e+01 1.892478e-02
5.841170e+01 1.836932e-02
5.935640e+01 1.783000e-02
6.031650e+01 1.727709e-02
6.129210e+01 1.669026e-02
6.228340e+01 1.612338e-02
6.329080e+01 1.570642e-02
6.431450e+01 1.534915e-02
6.535470e+01 1.500002e-02
6.641180e+01 1.465877e-02
6.748590e+01 1.438114e-02
6.857750e+01 1.426191e-02
6.968670e+01 1.414368e-02
7.081380e+01 1.402645e-02
7.195910e+01 1.391016e-02
7.312300e+01 1.380635e-02
7.430570e+01 1.373442e-02
7.550760e+01 1.366532e-02
7.672890e+01 1.359769e-02
7.796990e+01 1.353042e-02
7.923100e+01 1.346343e-02
8.051250e+01 1.340850e-02
8.181470e+01 1.345551e-02
8.313800e+01 1.350271e-02
8.448270e+01 1.358344e-02
8.584910e+01 1.378493e-02
8.723770e+01 1.411322e-02
8.864870e+01 1.445150e-02
9.008250e+01 1.488791e-02
9.153950e+01 1.579897e-02
9.302010e+01 1.647424e-02
9.452460e+01 1.691178e-02
9.605350e+01 1.770112e-02
9.760710e+01 1.852740e-02
9.918580e+01 1.939224e-02
1.007900e+02 2.029957e-02
1.024200e+02 2.125055e-02
1.040770e+02 2.229487e-02
