# material=Sc density=2.985
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 3.345561e-02
1.016170e+01 3.367893e-02
1.032610e+01 3.390419e-02
1.049310e+01 3.413063e-02
1.066280e+01 3.435849e-02
1.083530e+01 3.458829e-02
1.101050e+01 3.481899e-02
1.118860e+01 3.505174e-02
1.136960e+01 3.528582e-02
1.155350e+01 3.552174e-02
1.174040e+01 3.575908e-02
1.193030e+01 3.599804e-02
1.212320e+01 3.634903e-02
1.231930e+01 3.676789e-02
1.251860e+01 3.719152e-02
1.272100e+01 3.761983e-02
1.292680e+01 3.805330e-02
1.313590e+01 3.849186e-02
1.334830e+01 3.893510e-02
1.356420e+01 3.938350e-02
1.378360e+01 3.991723e-02
1.400660e+01 4.059128e-02
1.423310e+01 4.127642e-02
1.446330e+01 4.197326e-02
1.469720e+01 4.268146e-02
1.493500e+01 4.340234e-02
1.517650e+01 4.435808e-02
1.542200e+01 4.542022e-02
1.567140e+01 4.650799e-02
1.592490e+01 4.762161e-02
1.618250e+01 4.876187e-02
1.644420e+01 5.024419e-02
1.671020e+01 5.179537e-02
1.698050e+01 5.339389e-02
1.725510e+01 5.509475e-02
1.753420e+01 5.706986e-02
1.781780e+01 5.911542e-02
1.810600e+01 6.132802e-02
1.839880e+01 6.379227e-02
1.869640e+01 6.637111e-02
1.899880e+01 6.908612e-02
1.930610e+01 7.191247e-02
1.961840e+01 7.485462e-02
1.993570e+01 7.791692e-02
2.025810e+01 8.110434e-02
2.058580e+01 8.442241e-02
2.091870e+01 8.747066e-02
2.125710e+01 9.061060e-02
2.160090e+01 9.324527e-02
2.195030e+01 9.550365e-02
2.230530e+01 9.781651e-02
2.266610e+01 1.001855e-01
2.303270e+01 1.026119e-01
2.340520e+01 1.054196e-01
2.378380e+01 1.085779e-01
2.416850e+01 1.101969e-01
2.455940e+01 1.117672e-01
2.495660e+01 1.133595e-01
2.536020e+01 1.149745e-01
2.577040e+01 1.166129e-01
2.618720e+01 1.187638e-01
2.661080e+01 1.216000e-01
2.704120e+01 1.255573e-01
2.747860e+01 1.296439e-01
2.760000e+01 1.307898e-01
2.780000e+01 1.307590e-01
2.800000e+01 1.263642e-01
2.820000e+01 1.059161e-01
2.840000e+01 7.829129e-02
2.860000e+01 6.936074e-02
2.900000e+01 6.228108e-02
2.920000e+01 5.763690e-02
2.940000e+01 5.067570e-02
2.987550e+01 4.151454e-02
3.000000e+01 3.942384e-02
3.020000e+01 3.678192e-02
3.040000e+01 3.481153e-02
3.060000e+01 3.331929e-02
3.100000e+01 3.142510e-02
3.150140e+01 2.981595e-02
3.180000e+01 2.890847e-02
3.220000e+01 2.685301e-02
3.272080e+01 2.345279e-02
3.325000e+01 2.007145e-02
3.378780e+01 1.711592e-02
3.380000e+01 1.705487e-02
3.420000e+01 1.514908e-02
