# material=Se density=4.819
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 7.484566e-03
1.016170e+01 7.381909e-03
1.032610e+01 7.280717e-03
1.049310e+01 7.256939e-03
1.066280e+01 7.332574e-03
1.083530e+01 7.409039e-03
1.101060e+01 7.498370e-03
1.118860e+01 7.606991e-03
1.136960e+01 7.717250e-03
1.155350e+01 7.829095e-03
1.174040e+01 7.942642e-03
1.193030e+01 8.087850e-03
1.212320e+01 8.235656e-03
1.231930e+01 8.386225e-03
1.251860e+01 8.539573e-03
1.272100e+01 8.703454e-03
1.292680e+01 8.880428e-03
1.313590e+01 9.060988e-03
1.334830e+01 9.245151e-03
1.356420e+01 9.433127e-03
1.378360e+01 9.624901e-03
1.400660e+01 9.820633e-03
1.423310e+01 1.002026e-02
1.446330e+01 1.022397e-02
1.469730e+01 1.043188e-02
1.493500e+01 1.064273e-02
1.517650e+01 1.079974e-02
1.542200e+01 1.095910e-02
1.567140e+01 1.112080e-02
1.592490e+01 1.128492e-02
1.618250e+01 1.145146e-02
1.644420e+01 1.162041e-02
1.671020e+01 1.186209e-02
1.698050e+01 1.211335e-02
1.725510e+01 1.236989e-02
1.753420e+01 1.263190e-02
1.781780e+01 1.289948e-02
1.810600e+01 1.315320e-02
1.839890e+01 1.340642e-02
1.869640e+01 1.366442e-02
1.899880e+01 1.392744e-02
1.930610e+01 1.419555e-02
1.961840e+01 1.447668e-02
1.993570e+01 1.484425e-02
2.025820e+01 1.522122e-02
2.058580e+01 1.560765e-02
2.091880e+01 1.600400e-02
2.125710e+01 1.641033e-02
2.160090e+01 1.689019e-02
2.195030e+01 1.759872e-02
2.230530e+01 1.833692e-02
2.266610e+01 1.910609e-02
2.303270e+01 1.992451e-02
2.340530e+01 2.128090e-02
2.378380e+01 2.272950e-02
2.416850e+01 2.427672e-02
2.455940e+01 2.592931e-02
2.495660e+01 2.769431e-02
2.536030e+01 2.957961e-02
2.577050e+01 3.159316e-02
2.618730e+01 3.374375e-02
2.661090e+01 3.604080e-02
2.704130e+01 3.849407e-02
2.747860e+01 4.111435e-02
2.792310e+01 4.391316e-02
2.837470e+01 4.690243e-02
2.883370e+01 5.009527e-02
2.930000e+01 5.350528e-02
2.977390e+01 5.714727e-02
3.025550e+01 6.103767e-02
3.074490e+01 6.519260e-02
3.124210e+01 6.971215e-02
3.174750e+01 7.461864e-02
3.226090e+01 7.987028e-02
3.278270e+01 8.549173e-02
3.331300e+01 9.150859e-02
3.385180e+01 9.794933e-02
3.439930e+01 1.048430e-01
3.495570e+01 1.122212e-01
3.552110e+01 1.201203e-01
3.609560e+01 1.285741e-01
3.667940e+01 1.377535e-01
3.727270e+01 1.476642e-01
3.787550e+01 1.582876e-01
3.848820e+01 1.696762e-01
3.911070e+01 1.818833e-01
3.974320e+01 1.949688e-01
4.038610e+01 2.089964e-01
4.103930e+01 2.240325e-01
4.170310e+01 2.394035e-01
4.237760e+01 2.533711e-01
4.306300e+01 2.681544e-01
4.375950e+01 2.837999e-01
4.446730e+01 3.002719e-01
4.518650e+01 3.164124e-01
4.591740e+01 3.334213e-01
4.666000e+01 3.513437e-01
4.741470e+01 3.634419e-01
4.818160e+01 3.720714e-01
4.896090e+01 3.809056e-01
4.975280e+01 3.899500e-01
5.055760e+01 3.966202e-01
5.137530e+01 4.029084e-01
5.220620e+01 4.092944e-01
5.305060e+01 4.136450e-01
5.390870e+01 4.166927e-01
5.478060e+01 4.130395e-01
5.566670e+01 4.078651e-01
5.656700e+01 3.094138e-01
5.748200e+01 1.949959e-01
5.841170e+01 1.537187e-01
5.935640e+01 1.436263e-01
6.031650e+01 1.424061e-01
6.129210e+01 1.438504e-01
6.228340e+01 1.555897e-01
6.329080e+01 1.555692e-01
6.431450e+01 1.555482e-01
6.535470e+01 1.495066e-01
6.641180e+01 1.436116e-01
6.748590e+01 1.377950e-01
6.857750e+01 1.321575e-01
6.968670e+01 1.267497e-01
7.081380e+01 1.215632e-01
7.195910e+01 1.165891e-01
7.312300e+01 1.123467e-01
7.430570e+01 1.085727e-01
7.550760e+01 1.049256e-01
7.672890e+01 1.014008e-01
7.796990e+01 9.799473e-02
7.923100e+01 9.470289e-02
8.051250e+01 9.152152e-02
8.181470e+01 8.844721e-02
8.313800e+01 8.521909e-02
8.448270e+01 8.199099e-02
8.584910e+01 7.888532e-02
8.723770e+01 7.589709e-02
8.864870e+01 7.302209e-02
9.008250e+01 7.025609e-02
9.153950e+01 6.806237e-02
9.302010e+01 6.619750e-02
9.452460e+01 6.438393e-02
9.605350e+01 6.261998e-02
9.760710e+01 6.090428e-02
9.918580e+01 5.923573e-02
1.007900e+02 5.761273e-02
1.024200e+02 5.603416e-02
1.040770e+02 5.498464e-02
1.057600e+02 5.415136e-02
1.074710e+02 5.333115e-02
1.092090e+02 5.252299e-02
1.109750e+02 5.172708e-02
1.127700e+02 5.094338e-02
1.145940e+02 5.017160e-02
1.164480e+02 4.941161e-02
1.183310e+02 4.872040e-02
1.202450e+02 4.830814e-02
1.221900e+02 4.789943e-02
1.241660e+02 4.749402e-02
1.261750e+02 4.709207e-02
1.282150e+02 4.669336e-02
1.302890e+02 4.629856e-02
1.323970e+02 4.590683e-02
1.345380e+02 4.551831e-02
1.367140e+02 4.531890e-02
1.389250e+02 4.522104e-02
1.411720e+02 4.512370e-02
1.434560e+02 4.502691e-02
1.457760e+02 4.492970e-02
1.481340e+02 4.483280e-02
1.505300e+02 4.473834e-02
1.529640e+02 4.480646e-02
1.554390e+02 4.487484e-02
1.579530e+02 4.494318e-02
1.605070e+02 4.501139e-02
1.631030e+02 4.507999e-02
1.657420e+02 4.514888e-02
1.684220e+02 4.521746e-02
1.711460e+02 4.540716e-02
1.739150e+02 4.567868e-02
1.767270e+02 4.595138e-02
1.795860e+02 4.622618e-02
1.824910e+02 4.650237e-02
1.854420e+02 4.677982e-02
1.884420e+02 4.705947e-02
1.914890e+02 4.734038e-02
1.945870e+02 4.771516e-02
1.977340e+02 4.836714e-02
2.009320e+02 4.902804e-02
2.041820e+02 4.969835e-02
2.074850e+02 5.037760e-02
2.108400e+02 5.107055e-02
2.142510e+02 5.192585e-02
2.177160e+02 5.282151e-02
2.212370e+02 5.375448e-02
2.248160e+02 5.470464e-02
2.284520e+02 5.567114e-02
2.321470e+02 5.665454e-02
2.359020e+02 5.765622e-02
2.397170e+02 5.867481e-02
2.435950e+02 5.971110e-02
2.475350e+02 6.076640e-02
2.515380e+02 6.184032e-02
2.556070e+02 6.293406e-02
2.597410e+02 6.404586e-02
2.639420e+02 6.517748e-02
2.682110e+02 6.632799e-02
2.725490e+02 6.749980e-02
2.769570e+02 6.888680e-02
2.814370e+02 7.055364e-02
2.859890e+02 7.242358e-02
2.906150e+02 7.436747e-02
2.953150e+02 7.636413e-02
3.000920e+02 7.841436e-02
3.049450e+02 8.052000e-02
3.098780e+02 8.268208e-02
3.148900e+02 8.490138e-02
3.199830e+02 8.717946e-02
3.251580e+02 8.951893e-02
3.304180e+02 9.192246e-02
3.357620e+02 9.439041e-02
3.411920e+02 9.692105e-02
3.467110e+02 9.952418e-02
3.523190e+02 1.021978e-01
3.580170e+02 1.049404e-01
3.638080e+02 1.077556e-01
3.696920e+02 1.106472e-01
3.756720e+02 1.136178e-01
3.817480e+02 1.166688e-01
3.879220e+02 1.198329e-01
3.941970e+02 1.231509e-01
4.005730e+02 1.268785e-01
4.070520e+02 1.308508e-01
4.136350e+02 1.349513e-01
4.203260e+02 1.391726e-01
4.271240e+02 1.435239e-01
4.340320e+02 1.480205e-01
