# material=Si density=2.33
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 7.254608e-03
1.016170e+01 7.359241e-03
1.032610e+01 7.465449e-03
1.049310e+01 7.573149e-03
1.066280e+01 7.682405e-03
1.083530e+01 7.793262e-03
1.101050e+01 7.905657e-03
1.118860e+01 8.019724e-03
1.136960e+01 8.135475e-03
1.155350e+01 8.252840e-03
1.174040e+01 8.371940e-03
1.193030e+01 8.492725e-03
1.212320e+01 8.681282e-03
1.231930e+01 8.912814e-03
1.251860e+01 9.150536e-03
1.272100e+01 9.394541e-03
1.292680e+01 9.645121e-03
1.313590e+01 9.902351e-03
1.334830e+01 1.016641e-02
1.356420e+01 1.043755e-02
1.378360e+01 1.071591e-02
1.400660e+01 1.100695e-02
1.423310e+01 1.148402e-02
1.446330e+01 1.198181e-02
1.469720e+01 1.250114e-02
1.493500e+01 1.304311e-02
1.517650e+01 1.360847e-02
1.542200e+01 1.419834e-02
1.567140e+01 1.481380e-02
1.592490e+01 1.545596e-02
1.618250e+01 1.637312e-02
1.644420e+01 1.745448e-02
1.671020e+01 1.860731e-02
1.698050e+01 1.983625e-02
1.725510e+01 2.114635e-02
1.753420e+01 2.254302e-02
1.781780e+01 2.403188e-02
1.810600e+01 2.625330e-02
1.839880e+01 2.992152e-02
1.869640e+01 3.410253e-02
1.899880e+01 3.886748e-02
1.930610e+01 4.429840e-02
1.961840e+01 5.048847e-02
1.993570e+01 5.754316e-02
2.025810e+01 6.729292e-02
2.058580e+01 7.825189e-02
2.091870e+01 8.574028e-02
2.125710e+01 9.394573e-02
2.160090e+01 1.026907e-01
2.195030e+01 1.119762e-01
2.230530e+01 1.221013e-01
2.266610e+01 1.306650e-01
2.303270e+01 1.380065e-01
2.340520e+01 1.457597e-01
2.378380e+01 1.539494e-01
2.416850e+01 1.625990e-01
2.455940e+01 1.702997e-01
2.495660e+01 1.773713e-01
2.536020e+01 1.847363e-01
2.577040e+01 1.924074e-01
2.618720e+01 2.003974e-01
2.661080e+01 2.087192e-01
2.704120e+01 2.114708e-01
2.747860e+01 2.142562e-01
2.792300e+01 2.170778e-01
2.837470e+01 2.199376e-01
2.883360e+01 2.228343e-01
2.930000e+01 2.257694e-01
2.977390e+01 2.287429e-01
3.025540e+01 2.317553e-01
3.074480e+01 2.348083e-01
3.124210e+01 2.379010e-01
3.174740e+01 2.405262e-01
3.226090e+01 2.419162e-01
3.278270e+01 2.433137e-01
3.331290e+01 2.447189e-01
3.385170e+01 2.461331e-01
3.439920e+01 2.475546e-01
3.495560e+01 2.489853e-01
3.552100e+01 2.504240e-01
3.609550e+01 2.518707e-01
3.667930e+01 2.533254e-01
3.727260e+01 2.547894e-01
3.787540e+01 2.562609e-01
3.848800e+01 2.577416e-01
3.911060e+01 2.592311e-01
3.974310e+01 2.613869e-01
4.038600e+01 2.646436e-01
4.103920e+01 2.679402e-01
4.170290e+01 2.712779e-01
4.237740e+01 2.746570e-01
4.306290e+01 2.780793e-01
4.375940e+01 2.815437e-01
4.446710e+01 2.850508e-01
4.518640e+01 2.886020e-01
4.591720e+01 2.921971e-01
4.665990e+01 2.962265e-01
4.741460e+01 3.004976e-01
4.818150e+01 3.048299e-01
4.896080e+01 3.092242e-01
4.975270e+01 3.136827e-01
5.055740e+01 3.182050e-01
5.137510e+01 3.227919e-01
5.220610e+01 3.274457e-01
5.305050e+01 3.315781e-01
5.390850e+01 3.342807e-01
5.478040e+01 3.370055e-01
5.566650e+01 3.397541e-01
5.656680e+01 3.425238e-01
5.748170e+01 3.453161e-01
5.841150e+01 3.481318e-01
5.935620e+01 3.509698e-01
6.031630e+01 3.490786e-01
6.129180e+01 3.466304e-01
6.228320e+01 3.441994e-01
6.329060e+01 3.417853e-01
6.431420e+01 3.393881e-01
6.535450e+01 3.373809e-01
6.641150e+01 3.403326e-01
6.748570e+01 3.433113e-01
6.857720e+01 3.463158e-01
6.968640e+01 3.493466e-01
7.081350e+01 3.578679e-01
7.195880e+01 3.727541e-01
7.312270e+01 3.882591e-01
7.430540e+01 4.044092e-01
7.550720e+01 4.284811e-01
7.672850e+01 4.603690e-01
7.796950e+01 4.946301e-01
7.923060e+01 5.310583e-01
8.051210e+01 5.457016e-01
8.181430e+01 5.607466e-01
8.313760e+01 5.762080e-01
8.448230e+01 5.912125e-01
8.584870e+01 5.912130e-01
8.723730e+01 5.912129e-01
8.864830e+01 5.912135e-01
9.008210e+01 5.912134e-01
9.153910e+01 5.893402e-01
9.301970e+01 5.836530e-01
9.452420e+01 5.780186e-01
9.605300e+01 5.724390e-01
9.760660e+01 5.647945e-01
9.918530e+01 5.488622e-01
9.950000e+01 5.457706e-01
9.952400e+01 5.507365e-01
9.954900e+01 5.506653e-01
9.957600e+01 5.471766e-01
9.960100e+01 5.329864e-01
9.962600e+01 5.169678e-01
9.964900e+01 4.906652e-01
9.967600e+01 4.532070e-01
9.969900e+01 4.029249e-01
9.972600e+01 3.511910e-01
9.974900e+01 3.034615e-01
9.977500e+01 2.653191e-01
9.982600e+01 2.079443e-01
9.985100e+01 1.879215e-01
9.987500e+01 1.723512e-01
9.989900e+01 1.607683e-01
9.992600e+01 1.522796e-01
9.995100e+01 1.450045e-01
9.997400e+01 1.391417e-01
1.000000e+02 1.342870e-01
1.000300e+02 1.301420e-01
1.001200e+02 1.186727e-01
1.001800e+02 1.149104e-01
1.002200e+02 1.110536e-01
1.002500e+02 1.095678e-01
1.002800e+02 1.074876e-01
1.003000e+02 1.052134e-01
1.003500e+02 9.865853e-02
1.003800e+02 9.522400e-02
1.004500e+02 8.472300e-02
1.004800e+02 8.161628e-02
1.005000e+02 7.892951e-02
1.005500e+02 7.445435e-02
1.006000e+02 7.017046e-02
1.006200e+02 6.802924e-02
1.006800e+02 6.607573e-02
1.007000e+02 6.417092e-02
1.007500e+02 6.065976e-02
1.007700e+02 5.939872e-02
1.008000e+02 5.837423e-02
1.008500e+02 5.693076e-02
1.009000e+02 5.641367e-02
1.010000e+02 5.639286e-02
1.010200e+02 5.651242e-02
1.012500e+02 5.621774e-02
1.013200e+02 5.581787e-02
1.013800e+02 5.583085e-02
1.014000e+02 5.596635e-02
1.014500e+02 5.659888e-02
1.015000e+02 5.780496e-02
1.016000e+02 6.080676e-02
1.016300e+02 6.159299e-02
1.016500e+02 6.250262e-02
1.017500e+02 6.562607e-02
1.018200e+02 6.780243e-02
1.018800e+02 6.971339e-02
1.019000e+02 7.062665e-02
1.019500e+02 7.142832e-02
1.020000e+02 7.348428e-02
1.020300e+02 7.436550e-02
1.020500e+02 7.499567e-02
1.021000e+02 7.562475e-02
1.021500e+02 7.688485e-02
1.021800e+02 7.734478e-02
1.022500e+02 7.773155e-02
1.023000e+02 7.817475e-02
1.023500e+02 7.833584e-02
1.024000e+02 7.799420e-02
1.024500e+02 7.735313e-02
1.025300e+02 7.579567e-02
1.025500e+02 7.544267e-02
1.026000e+02 7.532353e-02
1.026500e+02 7.573681e-02
1.027000e+02 7.661855e-02
1.027800e+02 7.821459e-02
1.028800e+02 8.008268e-02
1.029500e+02 8.089647e-02
1.030000e+02 8.121491e-02
1.031200e+02 8.072446e-02
1.032000e+02 8.087505e-02
1.032800e+02 8.159471e-02
1.033200e+02 8.272396e-02
1.033500e+02 8.315193e-02
1.034300e+02 8.515998e-02
1.034500e+02 8.609280e-02
1.035500e+02 8.787688e-02
1.036000e+02 8.849849e-02
1.036200e+02 8.853854e-02
1.037000e+02 8.919382e-02
1.038000e+02 8.923455e-02
1.038800e+02 8.910677e-02
1.040000e+02 8.933490e-02
1.041000e+02 8.993212e-02
1.042200e+02 9.119312e-02
1.042800e+02 9.123196e-02
1.044300e+02 9.103261e-02
1.044700e+02 9.124185e-02
1.045000e+02 9.104238e-02
1.045300e+02 9.104248e-02
1.045700e+02 9.083813e-02
1.046500e+02 9.060401e-02
1.047300e+02 9.075557e-02
1.047500e+02 9.062129e-02
1.048000e+02 9.092075e-02
1.049000e+02 9.020429e-02
1.049300e+02 9.016432e-02
1.049500e+02 8.974216e-02
1.050300e+02 8.946152e-02
1.051500e+02 8.871797e-02
1.051800e+02 8.835992e-02
1.052500e+02 8.776546e-02
1.053200e+02 8.690347e-02
1.053500e+02 8.679447e-02
1.054300e+02 8.570430e-02
1.055000e+02 8.477983e-02
1.055500e+02 8.393907e-02
1.056000e+02 8.292375e-02
1.056300e+02 8.254272e-02
1.057500e+02 8.021304e-02
1.057800e+02 7.979230e-02
1.058500e+02 7.806384e-02
1.058700e+02 7.744532e-02
1.059700e+02 7.558213e-02
1.060300e+02 7.504548e-02
1.060700e+02 7.472538e-02
1.061000e+02 7.469691e-02
1.062300e+02 7.386744e-02
1.062700e+02 7.329724e-02
1.063200e+02 7.306764e-02
1.064000e+02 7.232752e-02
1.064300e+02 7.223255e-02
1.064500e+02 7.191913e-02
1.065500e+02 7.127526e-02
1.066200e+02 7.087865e-02
1.066500e+02 7.062781e-02
1.067000e+02 7.032341e-02
1.067500e+02 6.982683e-02
1.068000e+02 6.960363e-02
1.068700e+02 6.898052e-02
1.069200e+02 6.881355e-02
1.069700e+02 6.848076e-02
1.070000e+02 6.853872e-02
1.071500e+02 6.789361e-02
1.071700e+02 6.788826e-02
1.072000e+02 6.770290e-02
1.072800e+02 6.776717e-02
1.073000e+02 6.759734e-02
1.073200e+02 6.758987e-02
1.073500e+02 6.743589e-02
1.074000e+02 6.738927e-02
1.074200e+02 6.711104e-02
1.075000e+02 6.694158e-02
1.075300e+02 6.683937e-02
1.075500e+02 6.662453e-02
1.075800e+02 6.652744e-02
1.076000e+02 6.658121e-02
