# material=Sm density=7.353
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.589741e-01
1.016170e+01 2.527975e-01
1.032610e+01 2.467695e-01
1.049310e+01 2.408855e-01
1.066280e+01 2.351404e-01
1.083530e+01 2.295343e-01
1.101060e+01 2.240615e-01
1.118860e+01 2.187170e-01
1.136960e+01 2.135018e-01
1.155350e+01 2.084103e-01
1.174040e+01 2.034414e-01
1.193030e+01 1.985898e-01
1.212320e+01 1.938530e-01
1.231930e+01 1.899748e-01
1.251860e+01 1.865545e-01
1.272100e+01 1.831938e-01
1.292680e+01 1.798961e-01
1.313590e+01 1.766567e-01
1.334830e+01 1.734751e-01
1.356420e+01 1.703515e-01
1.378360e+01 1.675337e-01
1.400660e+01 1.653696e-01
1.423310e+01 1.632323e-01
1.446330e+01 1.611230e-01
1.469730e+01 1.590418e-01
1.493500e+01 1.569866e-01
1.517650e+01 1.549572e-01
1.542200e+01 1.532878e-01
1.567140e+01 1.519713e-01
1.592490e+01 1.506671e-01
1.618250e+01 1.493739e-01
1.644420e+01 1.480913e-01
1.671020e+01 1.468204e-01
1.698050e+01 1.455720e-01
1.725510e+01 1.446299e-01
1.753420e+01 1.436946e-01
1.781780e+01 1.427651e-01
1.810600e+01 1.418417e-01
1.839890e+01 1.409245e-01
1.869640e+01 1.391207e-01
1.899880e+01 1.365452e-01
1.930610e+01 1.340174e-01
1.961840e+01 1.315364e-01
1.993570e+01 1.235586e-01
2.025820e+01 1.114463e-01
2.058580e+01 9.169794e-02
2.091880e+01 6.922176e-02
2.125710e+01 6.185150e-02
2.160090e+01 6.193914e-02
2.195030e+01 6.202747e-02
2.230530e+01 5.819949e-02
2.266610e+01 4.652738e-02
2.303270e+01 4.018521e-02
2.340530e+01 3.878113e-02
2.378380e+01 4.186861e-02
2.416850e+01 3.610614e-02
2.455940e+01 1.957384e-02
2.495660e+01 1.768047e-02
2.536030e+01 1.467888e-02
2.577050e+01 1.314181e-02
2.618730e+01 1.218825e-02
2.661090e+01 1.167080e-02
2.704130e+01 1.151172e-02
2.747860e+01 1.148548e-02
2.792310e+01 1.145946e-02
2.837470e+01 1.143333e-02
2.883370e+01 1.155590e-02
2.930000e+01 1.169638e-02
2.977390e+01 1.183859e-02
3.025550e+01 1.241121e-02
3.074490e+01 1.308494e-02
3.124210e+01 1.362934e-02
3.174750e+01 1.418330e-02
3.226090e+01 1.475684e-02
3.278270e+01 1.528193e-02
3.331300e+01 1.582562e-02
3.385180e+01 1.638888e-02
3.439930e+01 1.703117e-02
3.495570e+01 1.771775e-02
3.552110e+01 1.837396e-02
3.609560e+01 1.904229e-02
3.667940e+01 1.967985e-02
3.727270e+01 2.022869e-02
3.787550e+01 2.079273e-02
3.848820e+01 2.137266e-02
3.911070e+01 2.204172e-02
3.974320e+01 2.274166e-02
4.038610e+01 2.346391e-02
4.103930e+01 2.418757e-02
4.170310e+01 2.492027e-02
4.237760e+01 2.567514e-02
4.306300e+01 2.645289e-02
4.375950e+01 2.706759e-02
4.446730e+01 2.756249e-02
4.518650e+01 2.806648e-02
4.591740e+01 2.851868e-02
4.666000e+01 2.892278e-02
4.741470e+01 2.933271e-02
4.818160e+01 2.974845e-02
4.896090e+01 3.017004e-02
4.975280e+01 3.059764e-02
5.055760e+01 3.103132e-02
5.137530e+01 3.147108e-02
5.220620e+01 3.191710e-02
5.305060e+01 3.236940e-02
5.390870e+01 3.282823e-02
5.478060e+01 3.329342e-02
5.566670e+01 3.376532e-02
5.656700e+01 3.424383e-02
5.748200e+01 3.472921e-02
5.841170e+01 3.522138e-02
5.935640e+01 3.572050e-02
6.031650e+01 3.622682e-02
6.129210e+01 3.674025e-02
6.228340e+01 3.726208e-02
6.329080e+01 3.813577e-02
6.431450e+01 3.902995e-02
6.535470e+01 3.994499e-02
6.641180e+01 4.088162e-02
6.748590e+01 4.184015e-02
6.857750e+01 4.282117e-02
6.968670e+01 4.382519e-02
7.081380e+01 4.485274e-02
7.195910e+01 4.590431e-02
7.312300e+01 4.698062e-02
7.430570e+01 4.808219e-02
7.550760e+01 4.920957e-02
7.672890e+01 5.036336e-02
7.796990e+01 5.154421e-02
7.923100e+01 5.266138e-02
8.051250e+01 5.379967e-02
8.181470e+01 5.496261e-02
8.313800e+01 5.615061e-02
8.448270e+01 5.736440e-02
8.584910e+01 5.860427e-02
8.723770e+01 5.987112e-02
8.864870e+01 6.136467e-02
9.008250e+01 6.290332e-02
9.153950e+01 6.448064e-02
9.302010e+01 6.609759e-02
9.452460e+01 6.775495e-02
9.605350e+01 6.945397e-02
9.760710e+01 7.130262e-02
9.918580e+01 7.385046e-02
1.007900e+02 7.648935e-02
1.024200e+02 7.922238e-02
1.040770e+02 8.205362e-02
1.057600e+02 8.498540e-02
1.074710e+02 9.055098e-02
1.092090e+02 9.989753e-02
1.109750e+02 1.102086e-01
1.127700e+02 1.200496e-01
1.145940e+02 1.291514e-01
1.164480e+02 1.385825e-01
1.183310e+02 1.481498e-01
1.202450e+02 1.583790e-01
1.221900e+02 1.641396e-01
1.241660e+02 1.673041e-01
1.261750e+02 1.067954e-01
1.282150e+02 6.198952e-02
1.302890e+02 3.574228e-02
1.323970e+02 1.582973e-02
1.345380e+02 1.060350e-02
1.367140e+02 1.375387e-02
1.389250e+02 1.750451e-02
1.411720e+02 1.746604e-02
1.434560e+02 1.790636e-02
1.457760e+02 2.035287e-02
1.481340e+02 2.191505e-02
1.505300e+02 2.349477e-02
1.529640e+02 2.518819e-02
1.554390e+02 2.700401e-02
1.579530e+02 2.895050e-02
1.605070e+02 3.103713e-02
1.631030e+02 3.327444e-02
1.657420e+02 3.551868e-02
1.684220e+02 3.756179e-02
1.711460e+02 3.972234e-02
1.739150e+02 4.200761e-02
1.767270e+02 4.442371e-02
1.795860e+02 4.697931e-02
1.824910e+02 4.968174e-02
1.854420e+02 5.222238e-02
1.884420e+02 5.467685e-02
1.914890e+02 5.724606e-02
1.945870e+02 5.993657e-02
1.977340e+02 6.275353e-02
2.009320e+02 6.570237e-02
2.041820e+02 6.879019e-02
2.074850e+02 7.172141e-02
2.108400e+02 7.424906e-02
2.142510e+02 7.686570e-02
2.177160e+02 7.957459e-02
2.212370e+02 8.237890e-02
2.248160e+02 8.528252e-02
2.284520e+02 8.785445e-02
2.321470e+02 8.969420e-02
2.359020e+02 9.157240e-02
2.397170e+02 9.348944e-02
2.435950e+02 9.544768e-02
2.475350e+02 9.744642e-02
2.515380e+02 9.948650e-02
2.556070e+02 1.015695e-01
2.597410e+02 1.036964e-01
2.639420e+02 1.058021e-01
2.682110e+02 1.076243e-01
2.725490e+02 1.094789e-01
2.769570e+02 1.113646e-01
2.814370e+02 1.132841e-01
2.859890e+02 1.152357e-01
2.906150e+02 1.172212e-01
2.953150e+02 1.192407e-01
3.000920e+02 1.212955e-01
3.049450e+02 1.225669e-01
3.098780e+02 1.235867e-01
3.148900e+02 1.246150e-01
3.199830e+02 1.256523e-01
3.251580e+02 1.266975e-01
3.304180e+02 1.277514e-01
3.357620e+02 1.288142e-01
3.411920e+02 1.298863e-01
3.467110e+02 1.312654e-01
3.523190e+02 1.327834e-01
3.580170e+02 1.342500e-01
3.638080e+02 1.357323e-01
3.696920e+02 1.372311e-01
3.756720e+02 1.390198e-01
3.817480e+02 1.410459e-01
3.879220e+02 1.431018e-01
