# material=Sn density=7.31
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 9.712348e-03
1.016170e+01 9.950762e-03
1.032610e+01 1.019515e-02
1.049310e+01 1.044544e-02
1.066280e+01 1.070191e-02
1.083530e+01 1.096473e-02
1.101060e+01 1.123400e-02
1.118860e+01 1.150976e-02
1.136960e+01 1.179240e-02
1.155350e+01 1.222596e-02
1.174040e+01 1.268457e-02
1.193030e+01 1.316032e-02
1.212320e+01 1.365384e-02
1.231930e+01 1.438163e-02
1.251860e+01 1.533252e-02
1.272100e+01 1.634607e-02
1.292680e+01 1.742682e-02
1.313590e+01 1.860230e-02
1.334830e+01 2.074494e-02
1.356420e+01 2.313439e-02
1.378360e+01 2.579912e-02
1.400660e+01 2.845114e-02
1.423310e+01 3.130686e-02
1.446330e+01 3.444918e-02
1.469730e+01 3.790717e-02
1.493500e+01 4.171194e-02
1.517650e+01 4.589847e-02
1.542200e+01 5.033381e-02
1.567140e+01 5.488237e-02
1.592490e+01 5.984193e-02
1.618250e+01 6.524946e-02
1.644420e+01 7.106680e-02
1.671020e+01 7.591544e-02
1.698050e+01 8.109489e-02
1.725510e+01 8.662721e-02
1.753420e+01 9.192973e-02
1.781780e+01 9.675239e-02
1.810600e+01 1.018278e-01
1.839890e+01 1.071700e-01
1.869640e+01 1.116421e-01
1.899880e+01 1.156850e-01
1.930610e+01 1.198743e-01
1.961840e+01 1.242155e-01
1.993570e+01 1.276806e-01
2.025820e+01 1.301411e-01
2.058580e+01 1.326484e-01
2.091880e+01 1.349095e-01
2.125710e+01 1.340500e-01
2.160090e+01 1.331960e-01
2.195030e+01 1.321587e-01
2.230530e+01 1.281059e-01
2.266610e+01 1.241778e-01
2.303270e+01 1.170631e-01
2.340530e+01 1.056007e-01
2.378380e+01 8.059100e-02
2.416850e+01 5.034883e-02
2.455940e+01 3.100601e-02
2.495660e+01 2.593023e-02
2.536030e+01 2.442671e-02
2.577050e+01 2.387013e-02
2.618730e+01 2.332620e-02
2.661090e+01 2.279468e-02
2.704130e+01 2.248069e-02
2.747860e+01 2.248359e-02
2.792310e+01 2.248657e-02
2.837470e+01 2.248950e-02
2.883370e+01 2.251641e-02
2.930000e+01 2.334365e-02
2.977390e+01 2.420136e-02
3.025550e+01 2.509064e-02
3.074490e+01 2.615182e-02
3.124210e+01 2.725914e-02
3.174750e+01 2.815584e-02
3.226090e+01 2.859249e-02
3.278270e+01 2.903602e-02
3.331300e+01 2.948649e-02
3.385180e+01 2.943718e-02
3.439930e+01 2.899353e-02
3.495570e+01 2.855659e-02
3.552110e+01 2.812622e-02
3.609560e+01 2.760335e-02
3.667940e+01 2.691540e-02
3.727270e+01 2.624461e-02
3.787550e+01 2.559049e-02
3.848820e+01 2.495275e-02
3.911070e+01 2.432337e-02
3.974320e+01 2.349601e-02
4.038610e+01 2.269690e-02
4.103930e+01 2.192494e-02
4.170310e+01 2.117923e-02
4.237760e+01 2.045887e-02
4.306300e+01 1.976302e-02
4.375950e+01 1.909085e-02
4.446730e+01 1.843314e-02
4.518650e+01 1.778741e-02
4.591740e+01 1.716423e-02
4.666000e+01 1.656297e-02
4.741470e+01 1.598275e-02
4.818160e+01 1.542287e-02
4.896090e+01 1.488265e-02
4.975280e+01 1.446886e-02
5.055760e+01 1.407063e-02
5.137530e+01 1.368333e-02
5.220620e+01 1.330669e-02
5.305060e+01 1.294039e-02
5.390870e+01 1.261040e-02
5.478060e+01 1.236908e-02
5.566670e+01 1.213246e-02
5.656700e+01 1.190029e-02
5.748200e+01 1.167257e-02
5.841170e+01 1.144922e-02
5.935640e+01 1.142098e-02
6.031650e+01 1.141029e-02
6.129210e+01 1.139966e-02
6.228340e+01 1.138901e-02
6.329080e+01 1.137838e-02
6.431450e+01 1.136853e-02
6.535470e+01 1.138161e-02
6.641180e+01 1.139479e-02
6.748590e+01 1.140790e-02
6.857750e+01 1.142108e-02
6.968670e+01 1.143429e-02
7.081380e+01 1.144746e-02
7.195910e+01 1.150427e-02
7.312300e+01 1.156321e-02
7.430570e+01 1.162246e-02
7.550760e+01 1.168205e-02
7.672890e+01 1.181341e-02
7.796990e+01 1.194828e-02
7.923100e+01 1.208467e-02
8.051250e+01 1.222264e-02
8.181470e+01 1.248437e-02
8.313800e+01 1.275443e-02
8.448270e+01 1.303034e-02
8.584910e+01 1.331222e-02
8.723770e+01 1.360017e-02
8.864870e+01 1.389440e-02
9.008250e+01 1.424205e-02
9.153950e+01 1.469185e-02
9.302010e+01 1.515589e-02
9.452460e+01 1.563456e-02
9.605350e+01 1.612835e-02
9.760710e+01 1.663780e-02
9.918580e+01 1.716329e-02
1.007900e+02 1.770533e-02
1.024200e+02 1.826452e-02
1.040770e+02 1.958447e-02
1.057600e+02 2.116672e-02
1.074710e+02 2.287686e-02
1.092090e+02 2.472504e-02
1.109750e+02 2.672252e-02
1.127700e+02 2.888153e-02
1.145940e+02 3.121517e-02
1.164480e+02 3.373719e-02
1.183310e+02 3.646279e-02
1.202450e+02 3.985902e-02
1.221900e+02 4.398816e-02
1.241660e+02 4.854473e-02
1.261750e+02 5.357409e-02
1.282150e+02 5.912381e-02
1.302890e+02 6.524871e-02
1.323970e+02 7.200837e-02
1.345380e+02 7.946782e-02
1.367140e+02 8.770016e-02
1.389250e+02 9.678529e-02
1.411720e+02 1.068115e-01
1.434560e+02 1.178772e-01
1.457760e+02 1.370512e-01
1.481340e+02 1.608106e-01
1.505300e+02 1.886896e-01
1.529640e+02 2.214000e-01
1.554390e+02 2.446506e-01
1.579530e+02 2.686271e-01
1.605070e+02 2.882362e-01
1.631030e+02 3.050755e-01
1.657420e+02 3.063955e-01
1.684220e+02 3.064093e-01
1.711460e+02 3.014748e-01
1.739150e+02 2.955857e-01
1.767270e+02 2.898096e-01
1.795860e+02 2.798577e-01
1.824910e+02 2.673815e-01
1.854420e+02 2.554597e-01
1.884420e+02 2.458169e-01
1.914890e+02 2.397507e-01
1.945870e+02 2.338369e-01
1.977340e+02 2.280674e-01
2.009320e+02 2.224399e-01
2.041820e+02 2.169520e-01
2.074850e+02 2.116002e-01
2.108400e+02 2.063785e-01
2.142510e+02 2.033890e-01
2.177160e+02 2.006144e-01
2.212370e+02 1.978778e-01
2.248160e+02 1.951793e-01
2.284520e+02 1.925169e-01
2.321470e+02 1.898910e-01
2.359020e+02 1.873009e-01
2.397170e+02 1.847459e-01
2.435950e+02 1.837409e-01
2.475350e+02 1.839140e-01
2.515380e+02 1.840865e-01
2.556070e+02 1.842602e-01
2.597410e+02 1.844335e-01
2.639420e+02 1.846071e-01
