# material=Sr density=2.63
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 4.622825e-01
1.016170e+01 4.599970e-01
1.032610e+01 4.577242e-01
1.049310e+01 4.554621e-01
1.066280e+01 4.532097e-01
1.083530e+01 4.500436e-01
1.101060e+01 4.467269e-01
1.118860e+01 4.434275e-01
1.136960e+01 4.401591e-01
1.155350e+01 4.369126e-01
1.174040e+01 4.336911e-01
1.193030e+01 4.304903e-01
1.212320e+01 4.258540e-01
1.231930e+01 4.212717e-01
1.251860e+01 4.167380e-01
1.272100e+01 4.122502e-01
1.292680e+01 4.078154e-01
1.313590e+01 4.030742e-01
1.334830e+01 3.959179e-01
1.356420e+01 3.888902e-01
1.378360e+01 3.819880e-01
1.400660e+01 3.752102e-01
1.423310e+01 3.685483e-01
1.446330e+01 3.618976e-01
1.469730e+01 3.536077e-01
1.493500e+01 3.455060e-01
1.517650e+01 3.375885e-01
1.542200e+01 3.298551e-01
1.567140e+01 3.222969e-01
1.592490e+01 3.149135e-01
1.618250e+01 3.072977e-01
1.644420e+01 2.998571e-01
1.671020e+01 2.925974e-01
1.698050e+01 2.855138e-01
1.725510e+01 2.786008e-01
1.753420e+01 2.718559e-01
1.781780e+01 2.648118e-01
1.810600e+01 2.557284e-01
1.839890e+01 2.469568e-01
1.869640e+01 2.384841e-01
1.899880e+01 2.303034e-01
1.930610e+01 2.224033e-01
1.961840e+01 2.145733e-01
1.993570e+01 2.050714e-01
2.025820e+01 1.959905e-01
2.058580e+01 1.873111e-01
2.091880e+01 1.790169e-01
2.125710e+01 1.710890e-01
2.160090e+01 1.606838e-01
2.195030e+01 1.488027e-01
2.230530e+01 1.377995e-01
2.266610e+01 6.950498e-02
2.303270e+01 3.215192e-02
2.340530e+01 1.502035e-02
2.378380e+01 1.403986e-02
2.416850e+01 1.314321e-02
2.455940e+01 1.232335e-02
2.495660e+01 1.169391e-02
2.536030e+01 1.130435e-02
2.577050e+01 1.092781e-02
2.618730e+01 1.078163e-02
2.661090e+01 1.065413e-02
2.704130e+01 1.052815e-02
2.747860e+01 1.063512e-02
2.792310e+01 1.084309e-02
2.837470e+01 1.105506e-02
2.883370e+01 1.136431e-02
2.930000e+01 1.172708e-02
2.977390e+01 1.210145e-02
3.025550e+01 1.248779e-02
3.074490e+01 1.298577e-02
3.124210e+01 1.369265e-02
3.174750e+01 1.443815e-02
3.226090e+01 1.522416e-02
3.278270e+01 1.605293e-02
3.331300e+01 1.692694e-02
3.385180e+01 1.784838e-02
3.439930e+01 1.882013e-02
3.495570e+01 1.986828e-02
3.552110e+01 2.134524e-02
3.609560e+01 2.293200e-02
3.667940e+01 2.463656e-02
3.727270e+01 2.646790e-02
3.787550e+01 2.843542e-02
3.848820e+01 3.054910e-02
3.911070e+01 3.281991e-02
3.974320e+01 3.525946e-02
4.038610e+01 3.788055e-02
4.103930e+01 4.069635e-02
4.170310e+01 4.372149e-02
4.237760e+01 4.697144e-02
4.306300e+01 5.046297e-02
4.375950e+01 5.485018e-02
4.446730e+01 5.989614e-02
4.518650e+01 6.540601e-02
4.591740e+01 7.142302e-02
4.666000e+01 7.799334e-02
4.741470e+01 8.516817e-02
4.818160e+01 9.300310e-02
4.896090e+01 1.015585e-01
4.975280e+01 1.109012e-01
5.055760e+01 1.211036e-01
5.137530e+01 1.322440e-01
5.220620e+01 1.442631e-01
5.305060e+01 1.572809e-01
5.390870e+01 1.714736e-01
5.478060e+01 1.869470e-01
5.566670e+01 2.038177e-01
5.656700e+01 2.222091e-01
5.748200e+01 2.422616e-01
5.841170e+01 2.641219e-01
5.935640e+01 2.879563e-01
6.031650e+01 3.134867e-01
6.129210e+01 3.411666e-01
6.228340e+01 3.712872e-01
6.329080e+01 4.040660e-01
6.431450e+01 4.397429e-01
6.535470e+01 4.785676e-01
6.641180e+01 5.208179e-01
6.748590e+01 5.512679e-01
6.857750e+01 5.808872e-01
6.968670e+01 6.120988e-01
7.081380e+01 6.449851e-01
7.195910e+01 6.765804e-01
7.312300e+01 7.026875e-01
7.430570e+01 7.196695e-01
7.550760e+01 7.370620e-01
7.672890e+01 7.437794e-01
7.796990e+01 7.499545e-01
7.923100e+01 7.561810e-01
8.051250e+01 7.624593e-01
8.181470e+01 7.657915e-01
8.313800e+01 7.690232e-01
8.448270e+01 7.722692e-01
8.584910e+01 7.755278e-01
8.723770e+01 7.778772e-01
8.864870e+01 7.772131e-01
9.008250e+01 7.765509e-01
9.153950e+01 7.758879e-01
9.302010e+01 7.752263e-01
9.452460e+01 7.745644e-01
9.605350e+01 7.739050e-01
9.760710e+01 7.749749e-01
9.918580e+01 7.764784e-01
1.007900e+02 7.779824e-01
1.024200e+02 7.794914e-01
1.040770e+02 7.809985e-01
1.057600e+02 7.825100e-01
1.074710e+02 7.840323e-01
1.092090e+02 7.846658e-01
1.109750e+02 7.847910e-01
1.127700e+02 7.849209e-01
1.145940e+02 7.850485e-01
1.164480e+02 7.851805e-01
1.183310e+02 7.789891e-01
1.202450e+02 7.705606e-01
1.221900e+02 7.531770e-01
1.241660e+02 7.340775e-01
1.261750e+02 6.911157e-01
1.282150e+02 6.438843e-01
1.302890e+02 5.170898e-01
1.323970e+02 4.733033e-01
1.345380e+02 4.660436e-01
1.367140e+02 4.474419e-01
1.389250e+02 4.270468e-01
1.411720e+02 3.896823e-01
1.434560e+02 3.545621e-01
1.457760e+02 3.187393e-01
1.481340e+02 2.842802e-01
1.505300e+02 2.575480e-01
1.529640e+02 2.360122e-01
1.554390e+02 2.162803e-01
1.579530e+02 1.981961e-01
1.605070e+02 1.858625e-01
1.631030e+02 1.759493e-01
1.657420e+02 1.665664e-01
1.684220e+02 1.584049e-01
1.711460e+02 1.523402e-01
1.739150e+02 1.465085e-01
1.767270e+02 1.408986e-01
1.795860e+02 1.355045e-01
1.824910e+02 1.322684e-01
1.854420e+02 1.292313e-01
1.884420e+02 1.262661e-01
1.914890e+02 1.233671e-01
1.945870e+02 1.213948e-01
1.977340e+02 1.195321e-01
2.009320e+02 1.176972e-01
2.041820e+02 1.160572e-01
2.074850e+02 1.144507e-01
2.108400e+02 1.128650e-01
2.142510e+02 1.113029e-01
2.177160e+02 1.108196e-01
2.212370e+02 1.103633e-01
2.248160e+02 1.099097e-01
2.284520e+02 1.094575e-01
2.321470e+02 1.090695e-01
2.359020e+02 1.089484e-01
2.397170e+02 1.088274e-01
2.435950e+02 1.087073e-01
2.475350e+02 1.085865e-01
2.515380e+02 1.084663e-01
2.556070e+02 1.083403e-01
2.597410e+02 1.081818e-01
2.639420e+02 1.080244e-01
2.682110e+02 1.078667e-01
2.725490e+02 1.077671e-01
2.769570e+02 1.087664e-01
2.814370e+02 1.097748e-01
2.859890e+02 1.107933e-01
2.906150e+02 1.123199e-01
2.953150e+02 1.149874e-01
3.000920e+02 1.177188e-01
3.049450e+02 1.205146e-01
3.098780e+02 1.231186e-01
3.148900e+02 1.254973e-01
3.199830e+02 1.279225e-01
3.251580e+02 1.303930e-01
3.304180e+02 1.329109e-01
3.357620e+02 1.354777e-01
3.411920e+02 1.380945e-01
3.467110e+02 1.407614e-01
3.523190e+02 1.434797e-01
3.580170e+02 1.462515e-01
3.638080e+02 1.490779e-01
3.696920e+02 1.519586e-01
3.756720e+02 1.548959e-01
3.817480e+02 1.578879e-01
3.879220e+02 1.610725e-01
3.941970e+02 1.646286e-01
4.005730e+02 1.690653e-01
4.070520e+02 1.739493e-01
4.136350e+02 1.789737e-01
4.203260e+02 1.841432e-01
4.271240e+02 1.894614e-01
4.340320e+02 1.949382e-01
4.410520e+02 2.005705e-01
4.481860e+02 2.063860e-01
4.554350e+02 2.124851e-01
4.628020e+02 2.188563e-01
4.702870e+02 2.254664e-01
4.778940e+02 2.322639e-01
4.856230e+02 2.392767e-01
4.934780e+02 2.465053e-01
5.014590e+02 2.539513e-01
5.095700e+02 2.616201e-01
5.178120e+02 2.695433e-01
5.261870e+02 2.777987e-01
5.346980e+02 2.865067e-01
5.433460e+02 2.955878e-01
5.521340e+02 3.049512e-01
5.610650e+02 3.148055e-01
5.701390e+02 3.250757e-01
5.793610e+02 3.356911e-01
5.887320e+02 3.466385e-01
5.982540e+02 3.579335e-01
6.079300e+02 3.695935e-01
6.177630e+02 3.816378e-01
6.277550e+02 3.941024e-01
6.379080e+02 4.073206e-01
6.482260e+02 4.215171e-01
6.587110e+02 4.365752e-01
6.693650e+02 4.521683e-01
6.801910e+02 4.673450e-01
6.911930e+02 4.822534e-01
7.023720e+02 4.974976e-01
7.137330e+02 5.142868e-01
7.252770e+02 5.324075e-01
7.370080e+02 5.511734e-01
7.489280e+02 5.705926e-01
7.610420e+02 5.907020e-01
7.733510e+02 6.116064e-01
7.858590e+02 6.335202e-01
7.985700e+02 6.564586e-01
8.114860e+02 6.802315e-01
8.246110e+02 7.048625e-01
8.379490e+02 7.303844e-01
8.515020e+02 7.568971e-01
8.652740e+02 7.844372e-01
8.792690e+02 8.130382e-01
8.934910e+02 8.426942e-01
9.079430e+02 8.734303e-01
9.226280e+02 9.052867e-01
9.375510e+02 9.388866e-01
9.527150e+02 9.738979e-01
9.681240e+02 1.010363e+00
9.837830e+02 1.048177e+00
9.996950e+02 1.087397e+00
1.015860e+03 1.128067e+00
1.032290e+03 1.169988e+00
1.048990e+03 1.213953e+00
1.065960e+03 1.260121e+00
1.083200e+03 1.308024e+00
1.100720e+03 1.357742e+00
1.118520e+03 1.409341e+00
1.136610e+03 1.462942e+00
1.155000e+03 1.518568e+00
1.173680e+03 1.576260e+00
1.192660e+03 1.636217e+00
1.211950e+03 1.698424e+00
1.231550e+03 1.762939e+00
1.251470e+03 1.830661e+00
1.271720e+03 1.901716e+00
1.292290e+03 1.976437e+00
1.313190e+03 2.054171e+00
1.334430e+03 2.134952e+00
1.356010e+03 2.218868e+00
1.377940e+03 2.306075e+00
1.400230e+03 2.396706e+00
1.422880e+03 2.490867e+00
1.445890e+03 2.588778e+00
1.469280e+03 2.690522e+00
1.493040e+03 2.796169e+00
1.517190e+03 2.905734e+00
1.541730e+03 3.019510e+00
1.566670e+03 3.137701e+00
1.592010e+03 3.260430e+00
1.617760e+03 3.387966e+00
1.643920e+03 3.520510e+00
1.670510e+03 3.658350e+00
1.697530e+03 3.801573e+00
1.724990e+03 3.950384e+00
1.752890e+03 4.100568e+00
1.781240e+03 4.254828e+00
1.810050e+03 4.413653e+00
1.839320e+03 4.578374e+00
1.869070e+03 4.749274e+00
1.899300e+03 4.926571e+00
1.930020e+03 5.110484e+00
1.939500e+03 5.167994e+00
1.939700e+03 1.305413e+00
1.961240e+03 1.354639e+00
1.992960e+03 1.429488e+00
2.006700e+03 1.462801e+00
2.006900e+03 1.050021e+00
