# material=Ta density=16.65
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 8.171188e-03
1.011520e+01 8.070119e-03
1.023170e+01 7.970277e-03
1.034960e+01 7.871723e-03
1.046880e+01 7.774322e-03
1.058940e+01 7.667419e-03
1.071140e+01 7.560904e-03
1.083480e+01 7.455863e-03
1.095960e+01 7.352267e-03
1.108590e+01 7.250156e-03
1.121360e+01 7.149422e-03
1.134280e+01 7.050110e-03
1.147340e+01 6.952108e-03
1.160560e+01 6.866755e-03
1.173930e+01 6.784037e-03
1.187450e+01 6.702283e-03
1.201130e+01 6.621543e-03
1.214970e+01 6.541793e-03
1.228970e+01 6.463001e-03
1.243120e+01 6.385099e-03
1.257440e+01 6.313721e-03
1.271930e+01 6.269989e-03
1.286580e+01 6.226520e-03
1.301400e+01 6.183369e-03
1.316400e+01 6.140562e-03
1.331560e+01 6.097998e-03
1.346900e+01 6.055745e-03
1.362420e+01 6.013805e-03
1.378110e+01 5.972099e-03
1.393990e+01 5.950927e-03
1.410050e+01 5.963379e-03
1.426290e+01 5.975832e-03
1.442720e+01 5.988324e-03
1.459340e+01 6.000851e-03
1.476150e+01 6.013398e-03
1.493160e+01 6.025984e-03
1.510360e+01 6.038584e-03
1.527760e+01 6.056601e-03
1.545360e+01 6.074881e-03
1.563160e+01 6.093194e-03
1.581170e+01 6.111593e-03
1.599380e+01 6.130015e-03
1.617810e+01 6.148523e-03
1.636440e+01 6.167053e-03
1.655290e+01 6.235834e-03
1.674360e+01 6.317323e-03
1.693650e+01 6.399883e-03
1.713160e+01 6.483511e-03
1.732900e+01 6.568256e-03
1.752860e+01 6.654068e-03
1.773050e+01 6.773112e-03
1.793480e+01 6.905567e-03
1.814140e+01 7.040590e-03
1.835040e+01 7.178269e-03
1.856180e+01 7.318629e-03
1.877560e+01 7.461720e-03
1.899190e+01 7.607619e-03
1.921070e+01 7.809954e-03
1.943200e+01 8.042770e-03
1.965580e+01 8.282511e-03
1.988230e+01 8.529449e-03
2.011130e+01 8.783706e-03
2.034300e+01 9.045569e-03
2.057730e+01 9.315201e-03
2.081440e+01 9.592920e-03
2.105420e+01 9.878921e-03
2.129670e+01 1.021967e-02
2.154210e+01 1.059283e-02
2.179020e+01 1.097959e-02
2.204120e+01 1.138045e-02
2.229520e+01 1.179601e-02
2.255200e+01 1.222670e-02
2.281180e+01 1.267312e-02
2.307460e+01 1.313585e-02
2.334040e+01 1.361547e-02
2.360930e+01 1.411258e-02
2.388120e+01 1.462779e-02
2.415640e+01 1.516196e-02
2.443460e+01 1.571549e-02
2.471610e+01 1.618822e-02
2.500080e+01 1.663507e-02
2.528890e+01 1.709436e-02
2.558020e+01 1.756626e-02
2.587490e+01 1.805120e-02
2.617290e+01 1.854946e-02
2.647440e+01 1.906157e-02
2.677940e+01 1.958774e-02
2.708790e+01 2.019302e-02
2.740000e+01 2.096157e-02
2.771560e+01 2.175932e-02
2.803490e+01 2.258747e-02
2.835790e+01 2.344715e-02
2.868450e+01 2.433948e-02
2.901500e+01 2.536676e-02
2.934920e+01 2.646358e-02
2.968730e+01 2.760789e-02
3.002930e+01 2.880166e-02
3.037530e+01 3.004708e-02
