# material=Tb density=8.219
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 2.876577e-01
1.016170e+01 2.808749e-01
1.032610e+01 2.742555e-01
1.049310e+01 2.677897e-01
1.066280e+01 2.614759e-01
1.083530e+01 2.553128e-01
1.101060e+01 2.492946e-01
1.118860e+01 2.434155e-01
1.136960e+01 2.376780e-01
1.155350e+01 2.326182e-01
1.174040e+01 2.278695e-01
1.193030e+01 2.232178e-01
1.212320e+01 2.186591e-01
1.231930e+01 2.141947e-01
1.251860e+01 2.100115e-01
1.272100e+01 2.060339e-01
1.292680e+01 2.021342e-01
1.313590e+01 1.983080e-01
1.334830e+01 1.945532e-01
1.356420e+01 1.908697e-01
1.378360e+01 1.875336e-01
1.400660e+01 1.848010e-01
1.423310e+01 1.821068e-01
1.446330e+01 1.794518e-01
1.469730e+01 1.768369e-01
1.493500e+01 1.742593e-01
1.517650e+01 1.718864e-01
1.542200e+01 1.697580e-01
1.567140e+01 1.676558e-01
1.592490e+01 1.655799e-01
1.618250e+01 1.635297e-01
1.644420e+01 1.615045e-01
1.671020e+01 1.593895e-01
1.698050e+01 1.571990e-01
1.725510e+01 1.550381e-01
1.753420e+01 1.529073e-01
1.781780e+01 1.508056e-01
1.810600e+01 1.487331e-01
1.839890e+01 1.466891e-01
1.869640e+01 1.448405e-01
1.899880e+01 1.434258e-01
1.930610e+01 1.420248e-01
1.961840e+01 1.406376e-01
1.993570e+01 1.392637e-01
2.025820e+01 1.379038e-01
2.058580e+01 1.365562e-01
2.091880e+01 1.327601e-01
2.125710e+01 1.257658e-01
2.160090e+01 1.191402e-01
2.195030e+01 1.128638e-01
2.230530e+01 1.046411e-01
2.266610e+01 9.434922e-02
2.303270e+01 8.507026e-02
2.340530e+01 7.643633e-02
2.378380e+01 6.852103e-02
2.416850e+01 6.119873e-02
2.455940e+01 5.425362e-02
2.495660e+01 4.796422e-02
2.536030e+01 4.225738e-02
2.577050e+01 3.707250e-02
2.618730e+01 3.260200e-02
2.661090e+01 2.977184e-02
2.704130e+01 2.718727e-02
2.747860e+01 2.408567e-02
2.792310e+01 2.132471e-02
2.837470e+01 1.975043e-02
2.883370e+01 1.838897e-02
2.930000e+01 1.711659e-02
2.977390e+01 1.586812e-02
3.025550e+01 1.497350e-02
3.074490e+01 1.461927e-02
3.124210e+01 1.427342e-02
3.174750e+01 1.400365e-02
3.226090e+01 1.388841e-02
3.278270e+01 1.377417e-02
3.331300e+01 1.396850e-02
3.385180e+01 1.422832e-02
3.439930e+01 1.449304e-02
3.495570e+01 1.476659e-02
3.552110e+01 1.505151e-02
3.609560e+01 1.534191e-02
3.667940e+01 1.563793e-02
3.727270e+01 1.598028e-02
3.787550e+01 1.639537e-02
3.848820e+01 1.682128e-02
3.911070e+01 1.726013e-02
3.974320e+01 1.772258e-02
4.038610e+01 1.819734e-02
4.103930e+01 1.868495e-02
4.170310e+01 1.915993e-02
4.237760e+01 1.962248e-02
4.306300e+01 2.009612e-02
4.375950e+01 2.058116e-02
4.446730e+01 2.105502e-02
4.518650e+01 2.151657e-02
4.591740e+01 2.198828e-02
4.666000e+01 2.247027e-02
4.741470e+01 2.289802e-02
4.818160e+01 2.330299e-02
4.896090e+01 2.371507e-02
4.975280e+01 2.413971e-02
5.055760e+01 2.466601e-02
5.137530e+01 2.520375e-02
5.220620e+01 2.575325e-02
5.305060e+01 2.631471e-02
5.390870e+01 2.688844e-02
5.478060e+01 2.747465e-02
5.566670e+01 2.807365e-02
5.656700e+01 2.868567e-02
5.748200e+01 2.931108e-02
5.841170e+01 2.996555e-02
5.935640e+01 3.065460e-02
6.031650e+01 3.135959e-02
6.129210e+01 3.208077e-02
6.228340e+01 3.281845e-02
6.329080e+01 3.357314e-02
6.431450e+01 3.434526e-02
6.535470e+01 3.513500e-02
6.641180e+01 3.594300e-02
6.748590e+01 3.676891e-02
6.857750e+01 3.742467e-02
6.968670e+01 3.806055e-02
7.081380e+01 3.870719e-02
7.195910e+01 3.936487e-02
7.312300e+01 4.003370e-02
7.430570e+01 4.071386e-02
7.550760e+01 4.140563e-02
7.672890e+01 4.207640e-02
7.796990e+01 4.271952e-02
7.923100e+01 4.337252e-02
8.051250e+01 4.403547e-02
8.181470e+01 4.470853e-02
8.313800e+01 4.539193e-02
8.448270e+01 4.608204e-02
8.584910e+01 4.655991e-02
8.723770e+01 4.704284e-02
8.864870e+01 4.753068e-02
9.008250e+01 4.802364e-02
9.153950e+01 4.852161e-02
9.302010e+01 4.902485e-02
9.452460e+01 4.953331e-02
9.605350e+01 4.988270e-02
9.760710e+01 5.023404e-02
9.918580e+01 5.058776e-02
1.007900e+02 5.094398e-02
1.024200e+02 5.158797e-02
1.040770e+02 5.262964e-02
1.057600e+02 5.369199e-02
1.074710e+02 5.477619e-02
1.092090e+02 5.594604e-02
1.109750e+02 5.741440e-02
1.127700e+02 5.892148e-02
1.145940e+02 6.046808e-02
1.164480e+02 6.205552e-02
1.183310e+02 6.368416e-02
1.202450e+02 6.535586e-02
1.221900e+02 6.755300e-02
1.241660e+02 7.111249e-02
1.261750e+02 7.486020e-02
1.282150e+02 7.880456e-02
1.302890e+02 8.295731e-02
1.323970e+02 8.822170e-02
1.345380e+02 9.436436e-02
1.367140e+02 1.056791e-01
1.389250e+02 1.170612e-01
1.411720e+02 1.269727e-01
1.434560e+02 1.269506e-01
1.457760e+02 5.199289e-02
1.481340e+02 2.026728e-02
1.505300e+02 1.485006e-02
1.529640e+02 1.651244e-02
1.554390e+02 1.966364e-02
1.579530e+02 2.426696e-02
1.605070e+02 2.841284e-02
1.631030e+02 3.053821e-02
1.657420e+02 3.217024e-02
1.684220e+02 3.388915e-02
1.711460e+02 3.545479e-02
1.739150e+02 3.708128e-02
1.767270e+02 3.878177e-02
1.795860e+02 4.047061e-02
1.824910e+02 4.203185e-02
1.854420e+02 4.365305e-02
1.884420e+02 4.533728e-02
1.914890e+02 4.708607e-02
1.945870e+02 4.868041e-02
1.977340e+02 5.030327e-02
2.009320e+02 5.198047e-02
2.041820e+02 5.362795e-02
2.074850e+02 5.523648e-02
