# material=Tc density=11.5
# Photon Energy [eV]  Attenuation Length [um]
1.000000e+01 1.732494e-02
1.016170e+01 1.678104e-02
1.032610e+01 1.625445e-02
1.049310e+01 1.574426e-02
1.066280e+01 1.525010e-02
1.083530e+01 1.477156e-02
1.101060e+01 1.430798e-02
1.118860e+01 1.385881e-02
1.136960e+01 1.342393e-02
1.155350e+01 1.306665e-02
1.174040e+01 1.279491e-02
1.193030e+01 1.252882e-02
1.212320e+01 1.226812e-02
1.231930e+01 1.201299e-02
1.251860e+01 1.175627e-02
1.272100e+01 1.149639e-02
1.292680e+01 1.124234e-02
1.313590e+01 1.099393e-02
1.334830e+01 1.076656e-02
1.356420e+01 1.057661e-02
1.378360e+01 1.038999e-02
1.400660e+01 1.020674e-02
1.423310e+01 1.002662e-02
1.446330e+01 9.859467e-03
1.469730e+01 9.705129e-03
1.493500e+01 9.553143e-03
1.517650e+01 9.403531e-03
1.542200e+01 9.256293e-03
1.567140e+01 9.148928e-03
1.592490e+01 9.089420e-03
1.618250e+01 9.030318e-03
1.644420e+01 8.971561e-03
1.671020e+01 8.913225e-03
1.698050e+01 8.856074e-03
1.725510e+01 8.803935e-03
1.753420e+01 8.752137e-03
1.781780e+01 8.700624e-03
1.810600e+01 8.649437e-03
1.839890e+01 8.598572e-03
1.869640e+01 8.547918e-03
1.899880e+01 8.497628e-03
1.930610e+01 8.533227e-03
1.961840e+01 8.569349e-03
1.993570e+01 8.605377e-03
2.025820e+01 8.639381e-03
2.058580e+01 8.673445e-03
2.091880e+01 8.707711e-03
2.125710e+01 8.742065e-03
2.160090e+01 8.776568e-03
2.195030e+01 8.811224e-03
2.230530e+01 8.845995e-03
2.266610e+01 8.886941e-03
2.303270e+01 8.983042e-03
2.340530e+01 9.080217e-03
2.378380e+01 9.178371e-03
2.416850e+01 9.277627e-03
2.455940e+01 9.377962e-03
2.495660e+01 9.518343e-03
2.536030e+01 9.691002e-03
2.577050e+01 9.866762e-03
2.618730e+01 1.004572e-02
2.661090e+01 1.022792e-02
2.704130e+01 1.041342e-02
2.747860e+01 1.064710e-02
2.792310e+01 1.094735e-02
2.837470e+01 1.125602e-02
2.883370e+01 1.157342e-02
2.930000e+01 1.189974e-02
2.977390e+01 1.224212e-02
3.025550e+01 1.272908e-02
3.074490e+01 1.323541e-02
3.124210e+01 1.376183e-02
3.174750e+01 1.432001e-02
3.226090e+01 1.495493e-02
3.278270e+01 1.561803e-02
3.331300e+01 1.634034e-02
3.385180e+01 1.718138e-02
3.439930e+01 1.803223e-02
3.495570e+01 1.868263e-02
3.552110e+01 1.927044e-02
3.609560e+01 1.947080e-02
3.667940e+01 1.938776e-02
3.727270e+01 1.897600e-02
3.787550e+01 1.797389e-02
3.848820e+01 1.663780e-02
3.911070e+01 1.540102e-02
3.974320e+01 1.425614e-02
4.038610e+01 1.313334e-02
4.103930e+01 1.188318e-02
4.170310e+01 1.075206e-02
4.237760e+01 9.728593e-03
4.306300e+01 8.890888e-03
4.375950e+01 8.371238e-03
4.446730e+01 7.943763e-03
4.518650e+01 7.625392e-03
4.591740e+01 7.319750e-03
4.666000e+01 7.189458e-03
4.741470e+01 7.062068e-03
4.818160e+01 6.984579e-03
4.896090e+01 6.990563e-03
4.975280e+01 6.996537e-03
5.055760e+01 7.002540e-03
5.137530e+01 7.179633e-03
5.220620e+01 7.416482e-03
5.305060e+01 7.661177e-03
5.390870e+01 7.913938e-03
5.478060e+01 8.278131e-03
5.566670e+01 8.905585e-03
5.656700e+01 9.561192e-03
5.748200e+01 1.013853e-02
5.841170e+01 1.075063e-02
5.935640e+01 1.139985e-02
6.031650e+01 1.211675e-02
6.129210e+01 1.287875e-02
6.228340e+01 1.368859e-02
6.329080e+01 1.454936e-02
6.431450e+01 1.546431e-02
6.535470e+01 1.643674e-02
6.641180e+01 1.756021e-02
6.748590e+01 1.894019e-02
6.857750e+01 2.042861e-02
6.968670e+01 2.203401e-02
7.081380e+01 2.391582e-02
7.195910e+01 2.620435e-02
